B2c gmv,Old_1_vs_New_Rs
month,Old priority,New priority
1,,0.0899243795002805
2,,0.0934014146085216
3,,0.0765046877841127
4,0.14817976,0.0817798298416682
5,0.07374734,0.0686639106323964
6,0.05548215,0.0649019386257823

B2c per order,Old_1_vs_New_Rs
month,Old priority,New priority
1,,3741.343182568504
2,,3888.2663283318634
3,,3274.4601998883877
4,5861.931499807223,3279.0975964674594
5,2902.772278113123,2699.0988877575
6,2311.970828913472,2714.3425371297285

B2c total burn,Old_1_vs_New_Rs
month,Old priority,New priority
1,,45330114.0
2,,52864869.0
3,,64542885.0
4,45611689.0,65349136.0
5,64920502.0,68918791.0
6,91540173.0,66159385.0

Bad rating rate,Old_1_vs_New_Rs
month,Old priority,New priority
1,,0.0429184549356223
2,,0.0383936451897616
3,,0.0414996702348942
4,0.0303302917362806,0.0342716644086507
5,0.0274536105522021,0.0296075820474661
6,0.0376572207910289,0.0416837613850824

B cancel rate,Old_1_vs_New_Rs
month,Old priority,New priority
1,,0.0422535211267605
2,,0.0416159155501421
3,,0.0472739024052444
4,0.0377226685295144,0.0349381017881705
5,0.0286778398510242,0.0291110788863109
6,0.0239049426984461,0.0310910118711136

B p1p2,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.0,0.0058875528966545
2,0.0,0.0061945271840134
3,0.0,0.0053206452509197
4,0.0054922022910915,0.0059557875618383
5,0.0064020063936917,0.007001691803855
6,0.0072438467001757,0.0069377430210737

Daily online hours,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.0,1833.3023118279589
2,0.0,2496.231867816094
3,0.0,3056.949695340497
4,968.146898148148,2873.053768518522
5,2320.194318996416,2648.6974820788464
6,3225.665842592592,2411.525435185186

Daily orders,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.0,390.8387096774193
2,0.0,468.82758620689657
3,0.0,635.8387096774194
4,259.3666666666667,664.3
5,721.4516129032259,823.6774193548387
6,1319.8,812.4666666666667

Exposure uv,Old_1_vs_New_Rs
month,Old priority,New priority
1,406285,2326943
2,345059,2490747
3,408993,4340451
4,1657987,3936675
5,3968912,4141142
6,6209270,4061119

Healthy stores,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.0,201.4516129032258
2,0.0,274.6896551724138
3,0.0,342.35483870967744
4,101.7,319.6666666666667
5,249.32258064516128,286.5806451612903
6,348.56666666666666,258.06666666666666

Imperfect orders,Old_1_vs_New_Rs
month,Old priority,New priority
1,,492.0
2,,532.0
3,,834.0
4,254.0,687.0
5,625.0,747.0
6,1423.0,989.0

Orders per eff online,Old_1_vs_New_Rs
month,Old priority,New priority
1,,1.5088418430884185
2,,1.3708408953418028
3,,1.5100743124186011
4,2.004379185986605,1.7034789298230617
5,2.333333333333333,2.318322135463955
6,3.082924550338706,2.537372475536124

R burn,Old_1_vs_New_Rs
month,Old priority,New priority
1,,76729850.0
2,,99493615.0
3,,171610734.0
4,35191535.0,138764774.0
5,153393431.0,178515305.0
6,365697705.0,217351488.0

R burn gmv,Old_1_vs_New_Rs
month,Old priority,New priority
1,,0.1522141362891698
2,,0.1757848749330227
3,,0.2034155372055714
4,0.114327561,0.1736543174149624
5,0.174249377,0.1778551070205946
6,0.221647977,0.2132204362903081

R burn per order,Old_1_vs_New_Rs
month,Old priority,New priority
1,,6332.9357873885765
2,,7317.859296852014
3,,8706.343361574754
4,4522.752216938697,6962.957198053088
5,6858.637648110888,6991.2784914232
6,9236.189953023184,8917.349963075409

Ted,Old_1_vs_New_Rs
month,Old priority,New priority
1,,190387400.0
2,,224054220.0
3,,331624389.0
4,117988068.0,297844814.0
5,308491229.0,351900898.0
6,625754883.0,389383886.0

Ted gmv,Old_1_vs_New_Rs
month,Old priority,New priority
1,,0.3776842213472421
2,,0.3958579959218083
3,,0.3930846961991574
4,0.383310588,0.3727317559048267
5,0.350434853,0.3505994731064284
6,0.379267635,0.3819831316606196

