B2c gmv,Old_3_vs_New_2
month,Old priority,New priority
1,0.01813048,0.0272777576033271
2,0.03700477,0.0353597217386458
3,0.04848106,0.0373319742318368
4,0.01945091,0.0316287710409818
5,0.03988017,0.0339869291856051
6,0.09792924,0.0592262724681483

B2c per order,Old_3_vs_New_2
month,Old priority,New priority
1,1226.729595879556,1195.0414786493875
2,2035.082794307891,1547.453178694158
3,2061.186814525957,1670.9422145396304
4,850.901670951157,1386.5981362481143
5,1718.842986425339,1473.6740794844252
6,4400.228198116074,2647.427648101169

B2c total burn,Old_3_vs_New_2
month,Old priority,New priority
1,12385062.0,107522662.0
2,17304309.0,136893898.0
3,16914099.0,171097799.0
4,2648006.0,134214380.0
5,7597286.0,171498821.0
6,28962302.0,415344334.0

Bad rating rate,Old_3_vs_New_2
month,Old priority,New priority
1,0.0339738510301109,0.0244403938915686
2,0.0312830765612136,0.023388044854404
3,0.0354618571776748,0.0264072815344349
4,0.0218508997429305,0.0265822261710436
5,0.0298642533936651,0.0273426423200859
6,0.0309936189608021,0.0268092755249034

B cancel rate,Old_3_vs_New_2
month,Old priority,New priority
1,0.0419516643866849,0.0258575529618842
2,0.0515928349243805,0.0240580298481951
3,0.055433105576372,0.0230127061765625
4,0.1104050833995234,0.0231552113709661
5,0.081357239251976,0.0231438935912938
6,0.0615095353209777,0.0198744081078007

B p1p2,Old_3_vs_New_2
month,Old priority,New priority
1,0.0098597732438603,0.0100745725762305
2,0.0077257396693081,0.0093175181525868
3,0.0063512785511269,0.0090005923111767
4,0.0038788306105535,0.0086203220863636
5,0.0047231684462038,0.0084905138829961
6,0.0057126731180721,0.0097738950603157

Daily online hours,Old_3_vs_New_2
month,Old priority,New priority
1,826.9954390681003,4998.117419354851
2,1102.0541762452108,5651.350804597695
3,1088.4493548387095,5794.670967741926
4,983.1651111111112,6447.805074074086
5,945.813458781362,6891.673978494628
6,925.0512962962964,7436.02258333334

Daily orders,Old_3_vs_New_2
month,Old priority,New priority
1,325.6774193548387,2902.3870967741937
2,293.2068965517241,3050.4827586206898
3,264.7096774193548,3303.0967741935483
4,103.73333333333332,3226.4666666666667
5,142.5806451612903,3754.032258064516
6,219.4,5229.533333333334

Exposure uv,Old_3_vs_New_2
month,Old priority,New priority
1,1179946,9952184
2,1312884,10537892
3,1561103,12689276
4,1083574,12617858
5,1187762,15284705
6,1399695,17871790

Healthy stores,Old_3_vs_New_2
month,Old priority,New priority
1,96.7741935483871,579.4193548387096
2,127.55172413793105,655.1379310344828
3,125.29032258064515,673.5483870967741
4,114.83333333333331,751.1
5,110.12903225806453,797.7741935483871
6,107.36666666666666,861.4666666666667

Imperfect orders,Old_3_vs_New_2
month,Old priority,New priority
1,341.0,2241.0
2,281.0,2234.0
3,296.0,2711.0
4,71.0,2503.0
5,138.0,3069.0
6,187.0,4014.0

Orders per eff online,Old_3_vs_New_2
month,Old priority,New priority
1,2.7360433604336043,4.461004511874659
2,1.849684576897977,4.188834698612624
3,1.696856906534326,4.418763215811505
4,0.7150735294117647,3.859717680835793
5,1.020785219399538,4.180136494252873
6,1.6199852325867583,5.384240510673347

R burn,Old_3_vs_New_2
month,Old priority,New priority
1,63204931.0,727823328.0
2,54868933.0,708661213.0
3,58676953.0,894558184.0
4,16675334.0,864528429.0
5,29636777.0,1037859863.0
6,56388235.0,1523357019.0

R burn gmv,Old_3_vs_New_2
month,Old priority,New priority
1,0.092525648,0.184643757417677
2,0.117335653,0.1830473356719759
3,0.168186377,0.1951844107238737
4,0.122488554,0.2037335473237723
5,0.155571317,0.2056787881262627
6,0.190663609,0.2172240006374091

R burn per order,Old_3_vs_New_2
month,Old priority,New priority
1,6260.393324088748,8089.262764798718
2,6452.891097259791,8010.72993534093
3,7150.493906897392,8736.26102582132
4,5358.397814910026,8931.632425563568
5,6705.153167420815,8918.23727604726
6,8567.036615010635,9709.961494333464

Ted,Old_3_vs_New_2
month,Old priority,New priority
1,125638970.0,1299578772.0
2,114217570.0,1287540146.0
3,114517585.0,1555723933.0
4,34833273.0,1443445838.0
5,57425270.0,1684492169.0
6,113865546.0,2600065864.0

Ted gmv,Old_3_vs_New_2
month,Old priority,New priority
1,0.183922788,0.3296941693002875
2,0.244251026,0.3325718819833405
3,0.328242977,0.3394447276239242
4,0.255867573,0.3401604054659436
5,0.301440499,0.3338257121983911
6,0.385009673,0.370757939113708

