B2c gmv,priority_4
month,Old priority,New priority
1,0.02689316,0.01928322746935
2,0.03849889,0.0358666763008072
3,0.04105209,0.0356853342992599
4,0.02843106,0.0142036061361409
5,0.03154979,0.0062525546040302
6,0.05952828,0.010669957329512

B2c per order,priority_4
month,Old priority,New priority
1,1172.570912568921,842.6821415316094
2,1666.988569090822,1562.0999765391962
3,1838.232000555737,1579.8772935465292
4,1253.947285661613,609.8303105171542
5,1390.023105205203,265.6362680744703
6,2719.439125635132,462.5693276872692

B2c total burn,priority_4
month,Old priority,New priority
1,104206377.0,27245599.0
2,138540086.0,46608377.0
3,185233124.0,57603906.0
4,115631495.0,21720936.0
5,148957656.0,11371623.0
6,359662141.0,22175111.0

Bad rating rate,priority_4
month,Old priority,New priority
1,0.0292337121638348,0.0326611406655944
2,0.0252923906242479,0.0296276435298454
3,0.0289181974257445,0.0325279065302652
4,0.0287483462380983,0.0305182772755348
5,0.0282096265467236,0.0325866056203134
6,0.0262672392934914,0.0317069609295145

B cancel rate,priority_4
month,Old priority,New priority
1,0.034731543624161,0.0405355256772572
2,0.0318544569187068,0.036640219903792
3,0.0314818065088265,0.0340545482248971
4,0.031088238533396,0.0333101296826256
5,0.0293453528563736,0.0317989097516656
6,0.0258146245337462,0.0298725795896369

B p1p2,priority_4
month,Old priority,New priority
1,0.0069620974319521,0.0052670999407413
2,0.0068057026499992,0.0051309962344526
3,0.0066649404227079,0.0050919583458326
4,0.0066743995333501,0.0053998094953587
5,0.006862624113837,0.0055595298352173
6,0.0079712939316879,0.0058589658912004

Daily online hours,priority_4
month,Old priority,New priority
1,8271.682912186381,4096.493127240142
2,9197.392423371646,4589.054090038311
3,9562.821442652332,4652.778862007164
4,9992.100481481482,5008.314064814824
5,9753.78541218638,5268.367894265229
6,9502.959787037038,5347.608046296287

Daily orders,priority_4
month,Old priority,New priority
1,2866.774193548388,1042.967741935484
2,2865.793103448276,1028.8620689655172
3,3250.548387096774,1176.1612903225807
4,3073.8,1187.2666666666669
5,3456.8387096774195,1380.9354838709678
6,4408.533333333334,1597.9666666666667

Exposure uv,priority_4
month,Old priority,New priority
1,14647741,7237759
2,13917740,6792638
3,17371048,8357099
4,15982861,7652307
5,17835743,8890500
6,18873222,9471808

Healthy stores,priority_4
month,Old priority,New priority
1,909.0967741935484,437.64516129032256
2,1015.4827586206897,492.1724137931034
3,1059.451612903226,497.5806451612903
4,1114.3,538.5666666666667
5,1082.8387096774193,568.0322580645161
6,1064.8666666666666,582.9

Imperfect orders,priority_4
month,Old priority,New priority
1,2530.0,998.0
2,2193.0,836.0
3,2960.0,1157.0
4,2631.0,1043.0
5,2967.0,1312.0
6,3351.0,1436.0

Orders per eff online,priority_4
month,Old priority,New priority
1,2.800819413803971,2.1011177540940995
2,2.5339349960363435,1.865745372686343
3,2.75041624587166,2.1024679967708453
4,2.491058404019666,1.9768009768009769
5,2.8662137584251632,2.188151707217338
6,3.722899366643209,2.4468660677827683

R burn,priority_4
month,Old priority,New priority
1,675279395.0,226356144.0
2,595349140.0,193572904.0
3,794950772.0,254197840.0
4,756176464.0,269553587.0
5,921453265.0,346062296.0
6,1237749034.0,422470616.0

R burn gmv,priority_4
month,Old priority,New priority
1,0.174273396,0.1602048468024857
2,0.165441507,0.1489607048186905
3,0.176180088,0.1574743021514857
4,0.185925957,0.1762646408208196
5,0.195167245,0.1902783272129285
6,0.204861915,0.2032794084184148

R burn per order,priority_4
month,Old priority,New priority
1,7598.507876673793,7000.994185327229
2,7163.559946094239,6487.679860575795
3,7888.999096926573,6971.773675982557
4,8200.234931789098,7567.903503846371
5,8598.694173307702,8083.867784811605
6,9358.736344664892,8812.67060222366

Ted,priority_4
month,Old priority,New priority
1,1229133643.0,414588595.0
2,1139705515.0,385422043.0
3,1460990296.0,488159654.0
4,1302867112.0,456288345.0
5,1518447359.0,536933540.0
6,2164983463.0,647273332.0

Ted gmv,priority_4
month,Old priority,New priority
1,0.317209878,0.2934274333107248
2,0.316712639,0.2965949158769641
3,0.323790363,0.3024124864796677
4,0.320344292,0.2983729585544385
5,0.321612825,0.2952266600453811
6,0.358330037,0.3114473173537262

