B2c gmv,Old_1_vs_New_Rs
month,Old priority,New priority
1,,0.0485432552171941
2,,0.0955762935101964
3,,0.1211074274734684
4,0.2498226,0.1524267680193296
5,0.1601212,0.1506700192140674
6,0.10797002,0.1271143299576859

B2c per order,Old_1_vs_New_Rs
month,Old priority,New priority
1,,399.4330518697225
2,,925.3796296296296
3,,1083.9484760522496
4,2080.754807692308,1288.768581081081
5,1342.920693928129,1267.8927536231884
6,867.600851722803,1044.8505572441743

B2c total burn,Old_1_vs_New_Rs
month,Old priority,New priority
1,,331130.0
2,,799528.0
3,,1493681.0
4,1298391.0,1525902.0
5,2167474.0,2187115.0
6,2241013.0,2062535.0

Bad rating rate,Old_1_vs_New_Rs
month,Old priority,New priority
1,,0.0554885404101326
2,,0.0335648148148148
3,,0.0261248185776487
4,0.0352564102564102,0.0320945945945945
5,0.0241635687732342,0.0237681159420289
6,0.0278745644599303,0.0283687943262411

B cancel rate,Old_1_vs_New_Rs
month,Old priority,New priority
1,,0.0502136752136752
2,,0.042149631190727
3,,0.050437121721587
4,0.0436746987951807,0.052466718872357
5,0.046937607326846,0.0496529631607047
6,0.0499645641389085,0.0539916935856022

B p1p2,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.0,0.0052006330300064
2,0.0,0.0053748539441862
3,0.0,0.0053094408495105
4,0.0042257191789322,0.0055024580141242
5,0.0054183755698014,0.0070490180681307
6,0.0058216475084416,0.0076737759271059

Daily online hours,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.0,264.7174999999995
2,0.0,325.068946360153
3,0.0,371.30600358422936
4,102.41521296296295,333.89883333333296
5,229.0952956989248,275.110465949821
6,356.1909814814815,257.6133888888889

Daily orders,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.0,26.741935483870968
2,0.0,29.79310344827586
3,0.0,44.45161290322581
4,20.8,39.46666666666667
5,52.064516129032256,55.64516129032258
6,86.1,65.8

Exposure uv,Old_1_vs_New_Rs
month,Old priority,New priority
1,87649,192092
2,63760,184005
3,89402,289296
4,161156,240438
5,332572,273797
6,505527,293467

Healthy stores,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.0,24.06451612903226
2,0.0,29.89655172413793
3,0.0,34.774193548387096
4,8.933333333333334,33.43333333333333
5,24.83870967741936,29.580645161290324
6,38.66666666666666,27.5

Imperfect orders,Old_1_vs_New_Rs
month,Old priority,New priority
1,,46.0
2,,33.0
3,,39.0
4,14.0,32.0
5,45.0,49.0
6,79.0,65.0

Orders per eff online,Old_1_vs_New_Rs
month,Old priority,New priority
1,,0.8298298298298298
2,,0.7926605504587156
3,,1.0184774575018478
4,1.583756345177665,0.9502407704654896
5,1.7486457204767063,1.568181818181818
6,1.921875,2.008138351983724

R burn,Old_1_vs_New_Rs
month,Old priority,New priority
1,,1120378.0
2,,1388526.0
3,,1450444.0
4,223766.0,732372.0
5,961485.0,1066337.0
6,1943843.0,1268614.0

R burn gmv,Old_1_vs_New_Rs
month,Old priority,New priority
1,,0.1642460519848082
2,,0.1659856421820612
3,,0.1176017781134843
4,0.043054676,0.0731587591784089
5,0.071029285,0.0734597935081927
6,0.093652633,0.078184864055611

R burn per order,Old_1_vs_New_Rs
month,Old priority,New priority
1,,1351.481302774427
2,,1607.0902777777776
3,,1052.5718432510885
4,358.599358974359,618.5574324324324
5,595.7156133828996,618.1663768115942
6,752.5524583817268,642.6616008105369

Ted,Old_1_vs_New_Rs
month,Old priority,New priority
1,,1796081.0
2,,2627791.0
3,,3494821.0
4,1820205.0,2785870.0
5,3957961.0,4124218.0
6,5558043.0,4427666.0

Ted gmv,Old_1_vs_New_Rs
month,Old priority,New priority
1,,0.2633032898672826
2,,0.3141284906838193
3,,0.2833595532046363
4,0.350224503,0.2782886189427695
5,0.292392641,0.2841167498293426
6,0.267781586,0.2728776951016237

