B2c gmv,Old_2_vs_New_1
month,Old priority,New priority
1,0.03187316,0.0322813101305719
2,0.02414825,0.024332049381713
3,0.03921086,0.039744556003376
4,0.04641077,0.047955655914637
5,0.04943135,0.0502546463917813
6,0.042704,0.0437646514631014

B2c per order,Old_2_vs_New_1
month,Old priority,New priority
1,250.708835523335,252.3389841150248
2,195.152494773302,195.19492002516807
3,322.629039295706,325.50569644519913
4,380.315695044601,392.5139174844247
5,408.236584754263,414.1226434965771
6,359.454782285076,367.826381471696

B2c total burn,Old_2_vs_New_1
month,Old priority,New priority
1,8299716.0,8038006.0
2,6254052.0,5894301.0
3,12569950.0,11885515.0
4,15050233.0,14679628.0
5,16280475.0,15728378.0
6,13521970.0,13086527.0

Bad rating rate,Old_2_vs_New_1
month,Old priority,New priority
1,0.0206615314907113,0.0210648584165253
2,0.0195962180547321,0.0201344504420968
3,0.0227663560996894,0.0234156761789998
4,0.0209738963434665,0.0209631273563464
5,0.0217402206619859,0.0215903106898367
6,0.0209474187888776,0.0207712631401427

B cancel rate,Old_2_vs_New_1
month,Old priority,New priority
1,0.0115003072601176,0.010825933584722
2,0.0108047577252504,0.0091580976863753
3,0.0103983124457128,0.008849088596863
4,0.0089241933902128,0.0082477435418611
5,0.0070844554431423,0.0069974554707379
6,0.0077816015203657,0.0072691765216447

B p1p2,Old_2_vs_New_1
month,Old priority,New priority
1,0.013854074599042,0.0143580713335945
2,0.0133442387194182,0.01347900078051
3,0.0151479494434521,0.015304887475775
4,0.0180457382935803,0.0183164126270427
5,0.0163525812476738,0.0166195050017934
6,0.0161467730728731,0.0163470460806395

Daily online hours,Old_2_vs_New_1
month,Old priority,New priority
1,890.728682795699,843.7663709677429
2,932.60311302682,880.4552681992359
3,898.9952329749107,846.6874910394258
4,959.065925925926,909.579925925925
5,955.5958243727598,914.6061290322572
6,948.989101851852,887.7044629629626

Daily orders,Old_2_vs_New_1
month,Old priority,New priority
1,1067.9032258064517,1027.548387096774
2,1105.0689655172414,1041.2758620689656
3,1256.8064516129032,1177.8709677419354
4,1319.1,1246.6333333333334
5,1286.451612903226,1225.1612903225807
6,1253.9333333333334,1185.9333333333334

Exposure uv,Old_2_vs_New_1
month,Old priority,New priority
1,2580757,2388552
2,2579765,2400994
3,2766249,2561404
4,2348754,2183124
5,2625029,2458918
6,2512886,2348253

Healthy stores,Old_2_vs_New_1
month,Old priority,New priority
1,80.3225806451613,76.54838709677419
2,85.20689655172414,80.03448275862068
3,81.61290322580645,76.51612903225806
4,85.93333333333334,81.2
5,85.03225806451613,81.54838709677419
6,83.9,79.03333333333333

Imperfect orders,Old_2_vs_New_1
month,Old priority,New priority
1,692.0,674.0
2,678.0,648.0
3,889.0,853.0
4,821.0,766.0
5,792.0,736.0
6,716.0,659.0

Orders per eff online,Old_2_vs_New_1
month,Old priority,New priority
1,12.478326422917451,12.721246006389777
2,12.27384144006128,12.391054575297495
3,14.505212211466866,14.588094286855773
4,14.442700729927008,14.603279968762202
5,14.2174688057041,14.31047475508666
6,13.886304909560724,14.129467831612391

R burn,Old_2_vs_New_1
month,Old priority,New priority
1,44313149.0,44351590.0
2,45067381.0,43634041.0
3,60510755.0,57959684.0
4,64674071.0,63075723.0
5,66858935.0,65378094.0
6,65097692.0,63809591.0

R burn gmv,Old_2_vs_New_1
month,Old priority,New priority
1,0.17017452,0.178119726655339
2,0.174014916,0.1801240961965962
3,0.188758007,0.1938142273747482
4,0.199437019,0.2060568339167013
5,0.202999466,0.2088933134579194
6,0.205586282,0.2133953882583252

R burn per order,Old_2_vs_New_1
month,Old priority,New priority
1,1338.5636308714695,1392.3397375525835
2,1406.2901675663868,1444.9793356955988
3,1553.110931444265,1587.327709919483
4,1634.297905137341,1686.5617529880478
5,1676.5028836509528,1721.38214849921
6,1730.4931681641767,1793.5125920512676

Ted,Old_2_vs_New_1
month,Old priority,New priority
1,63849040.0,63067960.0
2,62994088.0,60339997.0
3,86761034.0,82503206.0
4,93591819.0,90728691.0
5,98833939.0,95766238.0
6,95104812.0,92301872.0

Ted gmv,Old_2_vs_New_1
month,Old priority,New priority
1,0.245197644,0.2532862473681294
2,0.243233813,0.249087344995856
3,0.270643456,0.27588651323271
4,0.288611387,0.2963940153784161
5,0.300083105,0.3059882224957447
6,0.300352349,0.3086807720239146

