B2c gmv,priority_4
month,Old priority,New priority
1,0.01698183,0.0120644671407335
2,0.019027,0.0155828495664254
3,0.02302534,0.0175172442285871
4,0.02008359,0.0118078701067604
5,0.02197914,0.0076566886621278
6,0.01841333,0.0019114984776012

B2c per order,priority_4
month,Old priority,New priority
1,135.872094039504,99.72548767967145
2,159.160031378702,131.94365798414495
3,196.177097776715,152.71777717094483
4,169.688003160962,99.6892030848329
5,185.243269323555,64.54445191661063
6,153.732962723979,16.27248111728659

B2c total burn,priority_4
month,Old priority,New priority
1,3109297.0,777061.0
2,3246228.0,932050.0
3,4103044.0,1118505.0
4,3435673.0,775582.0
5,3839352.0,479888.0
6,3097258.0,114184.0

Bad rating rate,priority_4
month,Old priority,New priority
1,0.0273553574549903,0.0242556468172484
2,0.0236811139439105,0.0215175537938844
3,0.0252928520200812,0.0219825232113599
4,0.0235096557514693,0.0208226221079691
5,0.0251857570201679,0.0238063214525891
6,0.0238745222613788,0.0216616787801054

B cancel rate,priority_4
month,Old priority,New priority
1,0.027788084930942,0.028415300546448
2,0.028069850386771,0.0270813782008312
3,0.0269684239056782,0.0256543145892718
4,0.0259387583107032,0.0204357995814354
5,0.0243957944563287,0.0262058488416255
6,0.0236847032390938,0.0252876639015252

B p1p2,priority_4
month,Old priority,New priority
1,0.0081026062337347,0.0057051285758253
2,0.0077912679444057,0.0056422975029592
3,0.0076084850646592,0.0055129384952209
4,0.0084377493984713,0.0063633040639978
5,0.0081469652458637,0.0062237638637267
6,0.0080063660767823,0.005785821990603

Daily online hours,priority_4
month,Old priority,New priority
1,2272.406765232975,1128.920430107529
2,2419.136522988505,1178.361992337166
3,2321.32729390681,1140.3934677419354
4,2491.3323240740738,1256.2997685185178
5,2514.0058333333336,1332.924829749108
6,2409.46250925926,1336.7841018518543

Daily orders,priority_4
month,Old priority,New priority
1,738.1935483870968,251.3548387096774
2,703.3103448275862,243.5862068965517
3,674.6774193548387,236.25806451612905
4,674.9,259.3333333333333
5,668.5806451612904,239.83870967741936
6,671.5666666666667,233.9

Exposure uv,priority_4
month,Old priority,New priority
1,3186629,1556319
2,2954333,1419280
3,3117572,1505005
4,2691476,1359671
5,2869903,1357860
6,2850107,1384073

Healthy stores,priority_4
month,Old priority,New priority
1,221.51612903225808,108.0
2,237.3793103448276,112.51724137931036
3,226.2258064516129,109.09677419354838
4,242.46666666666667,119.53333333333332
5,245.74193548387092,124.25806451612904
6,233.4333333333333,123.8

Imperfect orders,priority_4
month,Old priority,New priority
1,616.0,190.0
2,513.0,162.0
3,524.0,163.0
4,511.0,169.0
5,517.0,166.0
6,483.0,163.0

Orders per eff online,priority_4
month,Old priority,New priority
1,3.0170072511535926,2.123739438539112
2,2.7093517534537725,1.9492273730684329
3,2.684852374839538,1.953587623366231
4,2.509854964670881,1.956740442655936
5,2.4857279923242985,1.7404026217228463
6,2.599612903225806,1.685968284478616

R burn,priority_4
month,Old priority,New priority
1,27537098.0,6729825.0
2,24271802.0,6144307.0
3,25115189.0,7266845.0
4,25924539.0,7924493.0
5,26930515.0,7661008.0
6,26479824.0,7564181.0

R burn gmv,priority_4
month,Old priority,New priority
1,0.15039744,0.1044856871923656
2,0.142263409,0.1027260465328414
3,0.140940647,0.113808251761313
4,0.15154464,0.1206466679292875
5,0.154169106,0.1222325898836195
6,0.157423712,0.126628253221117

R burn per order,priority_4
month,Old priority,New priority
1,1203.334119909107,863.6839065708419
2,1190.0275544224355,869.8056342015855
3,1200.8218503466412,992.1962042599672
4,1280.4138390872722,1018.5723650385604
5,1299.3590176589792,1030.3978480161395
6,1314.330868119323,1077.979335898532

Ted,priority_4
month,Old priority,New priority
1,39201313.0,10744505.0
2,35534820.0,10096026.0
3,37036502.0,11338509.0
4,36881807.0,11746432.0
5,39378051.0,11352452.0
6,38906432.0,11144337.0

Ted gmv,priority_4
month,Old priority,New priority
1,0.214103066,0.1668166688534707
2,0.208278916,0.1687944363250041
3,0.207840306,0.1775758099794221
4,0.215596512,0.1788338863896979
5,0.225427509,0.1811301606119556
6,0.23130044,0.1865618931669487

