B2c gmv,Old_1_vs_New_Rs
month,Old priority,New priority
1,,0.1259741312606347
2,,0.1410163218845742
3,,0.1187371894144117
4,0.2238641,0.1277580882861405
5,0.15035879,0.136290846341335
6,0.11331841,0.1339882249420916

B2c per order,Old_1_vs_New_Rs
month,Old priority,New priority
1,,32.25872537081322
2,,35.17987431507909
3,,29.555403195003034
4,58.273906407093,31.65064826591621
5,37.732618962301,34.08981284563122
6,27.937928207948,32.71393462956046

B2c total burn,Old_1_vs_New_Rs
month,Old priority,New priority
1,,2198786.98
2,,2272830.96
3,,2630844.66
4,1912724.43,3160348.88
5,4106705.05,4315088.51
6,4979572.51,4642074.61

Bad rating rate,Old_1_vs_New_Rs
month,Old priority,New priority
1,,0.0232977802555713
2,,0.0245023682010958
3,,0.0234120475430831
4,0.0247692167077963,0.0242661565732942
5,0.0254509036449001,0.0253910570390267
6,0.0225205765357361,0.0229036145427381

B cancel rate,Old_1_vs_New_Rs
month,Old priority,New priority
1,,0.025719072884669
2,,0.0293488541287741
3,,0.0293373691618952
4,0.0267965193338327,0.0248382185001903
5,0.0263283452613315,0.0262710220404996
6,0.0248959800112225,0.0273837981407702

B p1p2,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.0,0.0078532555192652
2,0.0,0.0074832994696599
3,0.0,0.0080196255598499
4,0.0049286166326706,0.0090165959356407
5,0.0064639981502131,0.0084651117281851
6,0.006826868703211,0.0081378492756719

Daily online hours,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.0,6062.451657706104
2,0.0,6961.306570881237
3,0.0,8192.263503584243
4,2638.5379444444447,8692.251055555578
5,7254.420976702509,8797.669919354816
6,12283.700648148144,9818.907379629623

Daily orders,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.0,2198.7419354838707
2,0.0,2227.793103448276
3,0.0,2871.4193548387098
4,1094.1,3328.366666666667
5,3510.870967741936,4083.2258064516127
6,5941.233333333334,4729.966666666666

Exposure uv,Old_1_vs_New_Rs
month,Old priority,New priority
1,4084141,9380823
2,3195205,9522003
3,3815397,12114406
4,7195934,11957506
5,18233452,16209473
6,28345499,18926991

Healthy stores,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.0,637.0322580645161
2,0.0,715.6206896551724
3,0.0,873.1290322580645
4,265.06666666666666,956.6
5,779.2258064516129,956.483870967742
6,1361.4333333333334,1081.8

Imperfect orders,Old_1_vs_New_Rs
month,Old priority,New priority
1,,1906.0
2,,1847.0
3,,2408.0
4,915.0,2698.0
5,2969.0,3456.0
6,4315.0,3542.0

Orders per eff online,Old_1_vs_New_Rs
month,Old priority,New priority
1,,2.575806817322954
2,,2.264176070652555
3,,2.475843462298
4,2.8774436749364427,2.6867667635346035
5,3.3919344282731325,3.2397430319162552
6,3.37506154137474,3.323550767068743

R burn,Old_1_vs_New_Rs
month,Old priority,New priority
1,,1531966.19
2,,1420217.7
3,,2242189.24
4,550325.74,2567979.01
5,2771264.32,3329448.38
6,5459452.3,3747662.93

R burn gmv,Old_1_vs_New_Rs
month,Old priority,New priority
1,,0.0877702622679321
2,,0.0881164854993746
3,,0.1011961110972002
4,0.064409788,0.1038113517000489
5,0.101464299,0.1051596824742737
6,0.124238873,0.1081720450141533

R burn per order,Old_1_vs_New_Rs
month,Old priority,New priority
1,,22.47570003374364
2,,21.982752375940315
3,,25.18917518592581
4,16.7664668068123,25.7181100840252
5,25.4625202826245,26.303115658081843
6,30.6302973007849,26.410777595331886

Ted,Old_1_vs_New_Rs
month,Old priority,New priority
1,,4644552.7
2,,4367281.58
3,,5754800.14
4,2842427.87,6883281.89
5,8193332.38,9169967.71
6,12511949.04,10021432.54

Ted gmv,Old_1_vs_New_Rs
month,Old priority,New priority
1,,0.2660983063837933
2,,0.2709651513396543
3,,0.2597298140230229
4,0.332676022,0.278258815337189
5,0.299982473,0.2896308284806454
6,0.284730109,0.2892572977002446

