B2c gmv,Old_2_vs_New_1
month,Old priority,New priority
1,0.03342353,0.0354627956129445
2,0.02634452,0.0267262931953074
3,0.03299461,0.0335120451461012
4,0.04558209,0.0481235929709153
5,0.03455464,0.0379458040774681
6,0.03302681,0.0356956754119947

B2c per order,Old_2_vs_New_1
month,Old priority,New priority
1,8.043481178812,8.525724084450047
2,6.377066877014,6.48232247369545
3,8.130388188107,8.274105299259382
4,11.200106595367,11.880076024114173
5,8.559132268752,9.443236950999673
6,8.185801313268,8.875879580956274

B2c total burn,Old_2_vs_New_1
month,Old priority,New priority
1,15714782.44,12346493.23
2,11572967.05,8954777.5
3,17258440.05,13389529.53
4,24392286.55,19716233.57
5,19432979.15,16595317.98
6,17321933.23,14495616.11

Bad rating rate,Old_2_vs_New_1
month,Old priority,New priority
1,0.0161035640050385,0.0162069294118134
2,0.0158432514372273,0.0159720286807367
3,0.016354109938814,0.0163405417597458
4,0.0160763170485549,0.0160959987466897
5,0.0172579035410788,0.0173924077715867
6,0.0161604275800472,0.0162489965692004

B cancel rate,Old_2_vs_New_1
month,Old priority,New priority
1,0.0106872975354168,0.0088419330707233
2,0.0099548825922001,0.0079984140954298
3,0.0105472908570507,0.0085678425591402
4,0.0099261794225977,0.0082530844253888
5,0.0106057072230658,0.0087651763223487
6,0.0099250643942195,0.0081501325870228

B p1p2,Old_2_vs_New_1
month,Old priority,New priority
1,0.0151685652802597,0.0163021441101669
2,0.0147480248851335,0.015821445261856
3,0.01618187377004,0.0175363201233372
4,0.0167629294054052,0.0181093737816995
5,0.0161856735280852,0.0175422473679954
6,0.0163596991229766,0.0177063562542107

Daily online hours,Old_2_vs_New_1
month,Old priority,New priority
1,40153.64316308245,25369.513718638063
2,41437.65616858238,26784.884128352503
3,41228.07762544804,26488.285170250896
4,43018.67828703705,27596.40917592596
5,42055.77641577061,27481.11302867382
6,41476.832064814815,27195.987398148125

Daily orders,Old_2_vs_New_1
month,Old priority,New priority
1,63023.51612903226,46714.3870967742
2,62578.58620689655,47635.0
3,68474.45161290323,52201.45161290323
4,72595.4,55320.16666666666
5,73239.93548387097,56689.54838709677
6,70536.5,54438.23333333333

Exposure uv,Old_2_vs_New_1
month,Old priority,New priority
1,136128893,93628911
2,130390138,92199984
3,138551260,97125565
4,136768219,96214978
5,148641760,105843280
6,136956553,97429080

Healthy stores,Old_2_vs_New_1
month,Old priority,New priority
1,4686.774193548387,2923.1612903225805
2,4837.862068965517,3085.172413793104
3,4783.645161290323,3031.0967741935483
4,5013.966666666666,3163.5666666666666
5,4912.387096774193,3158.4193548387098
6,4860.833333333333,3135.733333333333

Imperfect orders,Old_2_vs_New_1
month,Old priority,New priority
1,37950.0,28417.0
2,34582.0,26433.0
3,42318.0,32108.0
4,41716.0,31853.0
5,44396.0,34712.0
6,38540.0,29853.0

Orders per eff online,Old_2_vs_New_1
month,Old priority,New priority
1,12.109615277338738,14.631136526667811
2,11.71535640969362,14.2455038567834
3,13.003761379090651,15.908036372573116
4,13.26880475708872,16.26968021488932
5,13.523285941473931,16.53425160179514
6,13.203972245448078,16.020511864706055

R burn,Old_2_vs_New_1
month,Old priority,New priority
1,75032974.62,60086128.2
2,70120846.16,58404292.32
3,85091870.21,70764152.28
4,90467581.18,74770213.33
5,94895685.79,79491246.38
6,89187276.16,74211917.25

R burn gmv,Old_2_vs_New_1
month,Old priority,New priority
1,0.159586485,0.1725852064902304
2,0.159622013,0.1743125656007383
3,0.162678267,0.1771123817770872
4,0.169057585,0.1824999333603162
5,0.168738204,0.1817596544184582
6,0.170048641,0.1827479763368135

R burn per order,Old_2_vs_New_1
month,Old priority,New priority
1,38.4050063340412,41.4917613279324
2,38.6387797963278,42.27860007311344
3,40.0864698347582,43.728948509032925
4,41.539629774522,45.05301763371405
5,41.7962022261784,45.23291906797407
6,42.1471040572375,45.44105169344829

Ted,Old_2_vs_New_1
month,Old priority,New priority
1,114428705.93,89875470.71
2,99350086.71,80963770.51
3,124649862.64,101548679.87
4,139963850.18,113975138.98
5,139019345.99,115382833.76
6,129473458.09,106528545.22

Ted gmv,Old_2_vs_New_1
month,Old priority,New priority
1,0.243376662,0.2581490459705141
2,0.226159006,0.2416432422634566
3,0.238305064,0.2541615772761526
4,0.261551709,0.2781917336089374
5,0.24719643,0.263827087196315
6,0.246860164,0.2623281648347352

