B2c gmv,priority_5
month,Old priority,New priority
1,0.03488527,0.0264369430791696
2,0.03911323,0.0305906942116279
3,0.02890294,0.0223052102905222
4,0.0065777,0.0051520627517897
5,0.0069229,0.0026513500492491
6,0.00409928,0.0020199165928317

B2c per order,priority_5
month,Old priority,New priority
1,8.900118964186,6.411343744949087
2,10.166437864594,7.5455344075644115
3,7.705885653141,5.59044550371253
4,1.718225996613,1.2402758111374237
5,1.831661842329,0.6466453090861978
6,1.072265010772,0.49106375196939

B2c total burn,priority_5
month,Old priority,New priority
1,2489042.87,1904015.22
2,2255139.58,1852964.43
3,1569927.79,1280709.57
4,240464.01,203211.75
5,311963.15,109804.9
6,190119.02,87271.85

Bad rating rate,priority_5
month,Old priority,New priority
1,0.023782109960524,0.0221128980119605
2,0.0238118852052546,0.0218063207789193
3,0.0247924959873558,0.0225589181497147
4,0.0232370363489556,0.0201655233026537
5,0.0237439597926219,0.0212005394359478
6,0.0231351448907538,0.0210612198964663

B cancel rate,priority_5
month,Old priority,New priority
1,0.0690495610655645,0.0617503073107778
2,0.0722732715902538,0.0623644571647758
3,0.0803453897185099,0.0681288575387328
4,0.0865788877420004,0.0704536463141237
5,0.0840459219986178,0.075869474125288
6,0.0763089482009291,0.0701344507415892

B p1p2,priority_5
month,Old priority,New priority
1,0.0025591114725329,0.0028303984803468
2,0.0024846787167767,0.0028285970938419
3,0.0020711644268684,0.0024143541787658
4,0.0017828647332309,0.00212337186076
5,0.0018638363004436,0.0019371162169684
6,0.0018544740246254,0.0019272961409636

Daily online hours,priority_5
month,Old priority,New priority
1,75771.05795698923,62690.55122759869
2,76498.25875478925,63283.97499999993
3,71882.84659498207,58602.495842294
4,67681.92512962963,54893.6580555554
5,65536.32684587814,53307.28854838686
6,62847.54612962963,51980.8643796297

Daily orders,priority_5
month,Old priority,New priority
1,9021.41935483871,9579.870967741936
2,7649.0344827586205,8467.965517241379
3,6571.967741935484,7389.967741935484
4,4664.966666666666,5461.466666666666
5,5494.096774193548,5477.645161290323
6,5910.2,5924.0

Exposure uv,priority_5
month,Old priority,New priority
1,126746335,119781014
2,104744327,100101920
3,115834840,109408140
4,93851203,89517528
5,109320223,103153336
6,112927977,107537703

Healthy stores,priority_5
month,Old priority,New priority
1,7930.548387096775,6523.677419354839
2,8003.068965517241,6554.310344827586
3,7536.419354838709,6065.258064516129
4,7138.566666666667,5695.166666666667
5,6903.612903225807,5523.967741935484
6,6636.433333333333,5404.533333333334

Imperfect orders,priority_5
month,Old priority,New priority
1,7522.0,7506.0
2,5925.0,6060.0
3,5766.0,5908.0
4,3599.0,3663.0
5,4431.0,3909.0
6,4408.0,3987.0

Orders per eff online,priority_5
month,Old priority,New priority
1,0.8394033076207341,1.0687626183561318
2,0.702982785285095,0.9355477753353474
3,0.6437425547982647,0.8843666881560204
4,0.4847776311368368,0.6962840824097368
5,0.5918819829368733,0.7214103032517355
6,0.6642788902834236,0.7983827493261455

R burn,priority_5
month,Old priority,New priority
1,5468221.31,5892764.05
2,4076097.38,4725129.99
3,3723855.27,4364028.42
4,2295079.58,2688231.24
5,3285537.11,2612330.82
6,3736980.75,2911885.59

R burn gmv,priority_5
month,Old priority,New priority
1,0.076640052,0.0818200748252564
2,0.070696,0.078007437322627
3,0.06855753,0.0760051879849038
4,0.062780104,0.0681551929935235
5,0.072910652,0.0630773621966052
6,0.080575506,0.0673959131113701

R burn per order,priority_5
month,Old priority,New priority
1,19.5528252116826,19.842559836485105
2,18.3755325441119,19.241400613264595
3,18.2782947612293,19.049489150504822
4,16.3993996384397,16.40726080906228
5,19.2907173682016,15.38411738032001
6,21.0764483435417,16.384681465226198

Ted,priority_5
month,Old priority,New priority
1,11753171.4,11642371.98
2,8609063.44,9002121.48
3,7423553.04,7945302.62
4,4102680.6,4612349.59
5,5501402.48,4536901.25
6,5983368.9,4997893.88

Ted gmv,priority_5
month,Old priority,New priority
1,0.164726996,0.1616524501005719
2,0.149315949,0.1486165308907776
3,0.136670312,0.1383777008560473
4,0.112225615,0.1169376993253188
5,0.122083795,0.1095480561671285
6,0.129011362,0.1156768050342007

