B2c gmv,Old_1_vs_New_Rs
month,Old priority,New priority
1,,0.0986747331462616
2,,0.1314627040911947
3,,0.1112200488130576
4,0.22463175,0.1000306310711299
5,0.10285823,0.0824999540068728
6,0.11515042,0.129424629199436

B2c per order,Old_1_vs_New_Rs
month,Old priority,New priority
1,,3.58545233463035
2,,4.858090307248345
3,,4.162697530864198
4,7.98729468599,3.7572151898734174
5,3.776972090574,3.0571546465733763
6,4.265254612546,4.730985237483954

B2c total burn,Old_1_vs_New_Rs
month,Old priority,New priority
1,,22115.07
2,,28619.01
3,,20230.71
4,6613.48,13653.72
5,7172.47,8520.29
6,17338.26,14741.75

Bad rating rate,Old_1_vs_New_Rs
month,Old priority,New priority
1,,0.0350194552529182
2,,0.0371753522322186
3,,0.0440329218106995
4,0.0265700483091787,0.0275178866263071
5,0.029489204844655,0.0304987441693577
6,0.0351783517835178,0.0365853658536585

B cancel rate,Old_1_vs_New_Rs
month,Old priority,New priority
1,,0.071988388969521
2,,0.0725709112854556
3,,0.0769792046698285
4,0.064516129032258,0.0609124537607891
5,0.0735159817351598,0.0625794155019059
6,0.0409982174688057,0.0399184149184149

B p1p2,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.0,0.0054103074240644
2,0.0,0.0047954922929091
3,0.0,0.0041023887254
4,0.0036561938402429,0.0055827633194371
5,0.0049345882702911,0.006795693336742
6,0.0066661946043274,0.0083785655305671

Daily online hours,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.0,1574.9699283154134
2,0.0,1616.6553352490423
3,0.0,1364.5085752688124
4,206.38137037037035,890.197500000002
5,491.092105734767,634.0520519713275
6,660.3606296296296,471.2670000000005

Daily orders,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.0,198.96774193548387
2,0.0,203.1379310344828
3,0.0,156.7741935483871
4,27.6,121.13333333333334
5,61.25806451612903,89.90322580645162
6,135.5,103.86666666666666

Exposure uv,Old_1_vs_New_Rs
month,Old priority,New priority
1,152045,1325433
2,139897,1437183
3,141034,1391872
4,258192,741210
5,457181,477214
6,691999,420239

Healthy stores,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.0,170.06451612903226
2,0.0,167.51724137931035
3,0.0,137.03225806451613
4,22.3,97.9
5,52.903225806451616,69.0
6,68.06666666666666,47.23333333333333

Imperfect orders,Old_1_vs_New_Rs
month,Old priority,New priority
1,,215.0
2,,200.0
3,,195.0
4,17.0,102.0
5,59.0,86.0
6,144.0,114.0

Orders per eff online,Old_1_vs_New_Rs
month,Old priority,New priority
1,,0.8260345520289273
2,,0.851792943898207
3,,0.8014511873350924
4,0.8752642706131079,0.9404761904761904
5,0.9368524913665516,1.0605022831050228
6,1.6437525272947835,1.8147932440302847

R burn,Old_1_vs_New_Rs
month,Old priority,New priority
1,,29556.2
2,,24448.95
3,,22702.75
4,1687.69,23117.97
5,9255.16,17536.47
6,22952.83,16263.55

R burn gmv,Old_1_vs_New_Rs
month,Old priority,New priority
1,,0.1318761436349755
2,,0.1123073467317847
3,,0.1248102989559261
4,0.057323642,0.1693681376345384
5,0.13272546,0.1698014936631153
6,0.15243906,0.1427852139818194

R burn per order,Old_1_vs_New_Rs
month,Old priority,New priority
1,,4.79186121919585
2,,4.150220675606858
3,,4.671347736625513
4,2.0382729468599,6.361576774903687
5,4.8737019483939,6.292238966630785
6,5.6464526445264,5.219367779204108

Ted,Old_1_vs_New_Rs
month,Old priority,New priority
1,,75573.94
2,,76645.88
3,,59158.52
4,10357.62,47735.38
5,23667.81,35861.63
6,54836.75,41898.0

Ted gmv,Old_1_vs_New_Rs
month,Old priority,New priority
1,,0.3372016621386046
2,,0.3520762822420908
3,,0.3252289950332067
4,0.351804243,0.3497215546986605
5,0.339412929,0.3472396861622656
6,0.364193113,0.3678418854069543

