B2c gmv,Old_3_vs_New_2
month,Old priority,New priority
1,0.08491317,0.0733904657657386
2,0.06543063,0.0581977741461547
3,0.06987155,0.0625047471405245
4,0.03352356,0.0474572287907706
5,0.03655139,0.0378335761705733
6,0.04863558,0.0603579601946439

B2c per order,Old_3_vs_New_2
month,Old priority,New priority
1,3.598132396931,3.4115111607142854
2,2.678662840136,2.532187327061428
3,3.02189292543,2.783547192274621
4,1.350403679101,2.0073747869145224
5,1.456005434783,1.5702315683162602
6,1.913252538487,2.568749784445594

B2c total burn,Old_3_vs_New_2
month,Old priority,New priority
1,27666.04,61134.28
2,12600.43,36605.3
3,12643.6,42084.45
4,2642.74,24728.85
5,3750.67,21766.55
6,5841.16,44688.54

Bad rating rate,Old_3_vs_New_2
month,Old priority,New priority
1,0.0379763298218233,0.0308035714285714
2,0.0321003401360544,0.0296762589928057
3,0.032982791586998,0.0308882862623189
4,0.0260602963719979,0.0276808182482344
5,0.0287267080745341,0.0287837252921656
6,0.030789387487717,0.0297177674311662

B cancel rate,Old_3_vs_New_2
month,Old priority,New priority
1,0.0426300578034682,0.0245736680436394
2,0.0586661570800687,0.0293717175646761
3,0.0540948275862068,0.0306324110671936
4,0.0620503597122302,0.0287460389316432
5,0.0662162162162162,0.0324950363997352
6,0.0607010544314619,0.0304981004643309

B p1p2,Old_3_vs_New_2
month,Old priority,New priority
1,0.0082262698420509,0.0085168133462787
2,0.0075852092347369,0.0085651041693502
3,0.0074392112019676,0.0088745683291447
4,0.0051683042612059,0.0087229153146521
5,0.0066558789698399,0.0094772843935103
6,0.0069912823427229,0.0096301120710786

Daily online hours,Old_3_vs_New_2
month,Old priority,New priority
1,749.2794623655913,1445.3946684587852
2,691.2983141762453,1514.343227969351
3,638.1753673835125,1546.787267025088
4,611.2500370370368,1668.167231481482
5,593.836335125448,1706.405080645159
6,587.705638888889,1870.5297962962968

Daily orders,Old_3_vs_New_2
month,Old priority,New priority
1,248.03225806451613,578.0645161290323
2,162.20689655172413,498.4827586206897
3,134.96774193548387,487.7096774193548
4,65.23333333333333,410.6333333333333
5,83.09677419354838,447.1612903225807
6,101.76666666666668,579.9

Exposure uv,Old_3_vs_New_2
month,Old priority,New priority
1,1117639,2394675
2,763855,1940782
3,695235,1967645
4,500938,1651856
5,512930,1733830
6,559554,2117317

Healthy stores,Old_3_vs_New_2
month,Old priority,New priority
1,87.93548387096774,157.03225806451613
2,82.51724137931035,168.68965517241378
3,75.87096774193549,171.80645161290323
4,74.0,184.7
5,71.38709677419355,187.16129032258064
6,68.76666666666667,201.4333333333333

Imperfect orders,Old_3_vs_New_2
month,Old priority,New priority
1,271.0,496.0
2,143.0,405.0
3,135.0,446.0
4,58.0,321.0
5,70.0,369.0
6,79.0,469.0

Orders per eff online,Old_3_vs_New_2
month,Old priority,New priority
1,2.0933841546419822,3.015312131919906
2,1.4677067082683308,2.4275398824517214
3,1.3099561678146523,2.323854903166308
4,0.6683743169398907,1.8334573597261496
5,0.8944444444444445,1.9797200799771493
6,1.151640890230102,2.391668957932362

R burn,Old_3_vs_New_2
month,Old priority,New priority
1,71837.18,205340.0
2,37056.71,146885.35
3,33753.09,157818.14
4,13007.45,122510.42
5,19300.22,133817.98
6,22266.96,177780.99

R burn gmv,Old_3_vs_New_2
month,Old priority,New priority
1,0.22048413,0.2465065138632002
2,0.192425479,0.2335290360870938
3,0.186527627,0.2343949590617888
4,0.165001508,0.2351102065479551
5,0.188086338,0.2325960126580584
6,0.185402648,0.240117442140298

R burn per order,Old_3_vs_New_2
month,Old priority,New priority
1,9.3428508258551,11.458705357142856
2,7.8777019557823,10.160857083563918
3,8.0671821223709,10.43839804219856
4,6.6466274910577,9.944834808020133
5,7.4923214285714,9.653583898427357
6,7.2934687192925,10.219060182790136

Ted,Old_3_vs_New_2
month,Old priority,New priority
1,136947.94,353054.86
2,69446.48,240252.49
3,61518.76,249515.69
4,22580.79,184897.95
5,33742.91,207554.55
6,41290.25,285286.34

Ted gmv,Old_3_vs_New_2
month,Old priority,New priority
1,0.420323395,0.423835213504725
2,0.360616801,0.3819709209068444
3,0.339967343,0.3705861692630771
4,0.286440801,0.3548383493811667
5,0.328834613,0.3607613919970815
6,0.343797343,0.3853180603751132

