B2c gmv,priority_5
month,Old priority,New priority
1,0.04858327,0.0459959816259989
2,0.07397127,0.0509836131264538
3,0.06797173,0.0581599903268022
4,0.02042522,0.0136252077792618
5,0.03724491,0.0067512274535563
6,0.02415628,0.0051712163162035

B2c per order,priority_5
month,Old priority,New priority
1,1.995282440621,1.872200032605152
2,2.945579447875,2.056347159940209
3,2.777483087331,2.423292818704769
4,0.780329697571,0.5191752423564504
5,1.48369324276,0.2502455494168201
6,0.950001103387,0.1938970796711085

B2c total burn,priority_5
month,Old priority,New priority
1,28646.27,22968.15
2,41506.16,22011.14
3,36129.5,26118.25
4,6295.7,3481.07
5,12449.67,1630.6
6,8609.86,1367.75

Bad rating rate,priority_5
month,Old priority,New priority
1,0.0331545587518283,0.033990870557548
2,0.0337804272230501,0.0312967115097159
3,0.0351322263222632,0.0308962701799962
4,0.0292513634110064,0.0295302013422818
5,0.0324156834703849,0.0306936771025168
6,0.0308948471808451,0.0294868159909271

B cancel rate,priority_5
month,Old priority,New priority
1,0.0653455412015552,0.0533214179326779
2,0.0674235697069643,0.0639798488664987
3,0.0629921259842519,0.056757209926224
4,0.0590189347802015,0.0590890983933076
5,0.0615675562092876,0.0711615487316422
6,0.0502463054187192,0.0552700839704223

B p1p2,priority_5
month,Old priority,New priority
1,0.0023225784109956,0.0024356593191515
2,0.0020252321848778,0.0019828572137909
3,0.0017991199097537,0.0018633103442798
4,0.0016421898232027,0.0015979130990111
5,0.0021299498665557,0.0019629684702018
6,0.0023025018060344,0.0020538761763093

Daily online hours,priority_5
month,Old priority,New priority
1,8111.582150537635,5880.489740143369
2,8191.498132183907,6001.992107279718
3,7785.554838709678,5968.360654121859
4,7136.166731481482,5870.957740740737
5,6424.739068100358,5522.704695340503
6,5975.1854722222215,5201.521527777767

Daily orders,priority_5
month,Old priority,New priority
1,463.1290322580645,395.741935483871
2,485.8965517241379,369.1034482758621
3,419.61290322580646,347.6774193548387
4,268.93333333333334,223.5
5,270.6774193548387,210.1935483870968
6,302.1,235.13333333333333

Exposure uv,priority_5
month,Old priority,New priority
1,7508035,6126062
2,8495816,6686311
3,8752057,7050892
4,6025491,5211172
5,4885561,4243573
6,4879475,4320611

Healthy stores,priority_5
month,Old priority,New priority
1,794.516129032258,576.741935483871
2,805.2758620689655,593.0344827586207
3,767.0645161290323,590.0967741935484
4,704.6333333333333,579.2666666666667
5,639.1290322580645,554.6451612903226
6,591.5,518.0333333333333

Imperfect orders,priority_5
month,Old priority,New priority
1,428.0,368.0
2,459.0,330.0
3,420.0,321.0
4,226.0,203.0
5,222.0,172.0
6,269.0,201.0

Orders per eff online,priority_5
month,Old priority,New priority
1,0.4189867507149944,0.4861887211191693
2,0.4344648968643049,0.4445182724252491
3,0.3971908396946564,0.4245145535468116
4,0.277718495060411,0.2766545634593167
5,0.3124906897065395,0.2766291657822118
6,0.3787296280819056,0.3325162628452908

R burn,priority_5
month,Old priority,New priority
1,81152.79,73967.15
2,62791.98,57834.51
3,59650.64,59433.76
4,33504.97,30267.55
5,40999.05,23857.56
6,47378.09,28725.34

R burn gmv,priority_5
month,Old priority,New priority
1,0.137632842,0.1481265000588864
2,0.111906338,0.1339599985824463
3,0.112222895,0.1323468037362949
4,0.108700598,0.1184697974241242
5,0.122654342,0.0987782497527703
6,0.132926456,0.1086053349636228

R burn per order,priority_5
month,Old priority,New priority
1,5.6524893780038,6.02927535050538
2,4.4561762827337,5.403074551569507
3,4.5856888068881,5.514358879198367
4,4.1528222607833,4.514175988068605
5,4.8860743653915,3.661381215469613
6,5.2276387509655,4.072205840657783

Ted,priority_5
month,Old priority,New priority
1,177092.3,157043.32
2,164005.32,124786.57
3,142002.44,123335.36
4,66426.45,55767.08
5,85290.78,50655.6
6,91303.49,59552.47

Ted gmv,priority_5
month,Old priority,New priority
1,0.300343545,0.3144947094653196
2,0.292286288,0.2890386508039636
3,0.267154299,0.2746425715563894
4,0.215508171,0.2182771539333355
5,0.255159193,0.2097310667216778
6,0.256165863,0.2251571592280927

