Exposure uv,Old_1_vs_New_Rs
month,Old priority,New priority
1,2326943,2326943
2,2490747,2490747
3,4340451,4340451
4,3936675,3936675
5,4141142,4141142
6,4061119,4061119

B p1p2,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.0058875528966545,0.0058875528966545
2,0.0061945271840134,0.0061945271840134
3,0.0053206452509197,0.0053206452509197
4,0.0059557875618383,0.0059557875618383
5,0.007001691803855,0.007001691803855
6,0.0069377430210737,0.0069377430210737

Imperfect orders,Old_1_vs_New_Rs
month,Old priority,New priority
1,492,492.0
2,532,532.0
3,834,834.0
4,687,687.0
5,747,747.0
6,989,989.0

Orders per eff online,Old_1_vs_New_Rs
month,Old priority,New priority
1,1.5088418430884185,1.5088418430884185
2,1.3708408953418028,1.3708408953418028
3,1.5100743124186011,1.5100743124186011
4,1.7034789298230617,1.7034789298230617
5,2.318322135463955,2.318322135463955
6,2.537372475536124,2.537372475536124

Ted gmv,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.377684221,0.377684221
2,0.395857996,0.395857996
3,0.393084696,0.393084696
4,0.372731756,0.372731756
5,0.350599473,0.350599473
6,0.381983132,0.381983132

Bad rating rate,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.0429184549356223,0.0429184549356223
2,0.0383936451897616,0.0383936451897616
3,0.0414996702348942,0.0414996702348942
4,0.0342716644086507,0.0342716644086507
5,0.0296075820474661,0.0296075820474661
6,0.0416837613850824,0.0416837613850824

P2c burn per order,Old_1_vs_New_Rs
month,Old priority,New priority
1,5639.438428524265,5639.438428524265
2,5273.296263606943,5273.296263606943
3,4843.527471969966,4843.527471969966
4,4703.241708063626,4703.241708063626
5,4091.282290279627,4091.282290279627
6,4343.686428161155,4343.686428161155

B cancel rate,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.0422535211267605,0.0422535211267605
2,0.0416159155501421,0.0416159155501421
3,0.0472739024052444,0.0472739024052444
4,0.0349381017881705,0.0349381017881705
5,0.0291110788863109,0.0291110788863109
6,0.0310910118711136,0.0310910118711136

R burn gmv,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.152214136,0.152214136
2,0.175784875,0.175784875
3,0.203415537,0.203415537
4,0.173654317,0.173654317
5,0.177855107,0.177855107
6,0.213220436,0.213220436

Ted,Old_1_vs_New_Rs
month,Old priority,New priority
1,190387400.0,190387400.0
2,224054220.0,224054220.0
3,331624389.0,331624389.0
4,297844814.0,297844814.0
5,351900898.0,351900898.0
6,389383886.0,389383886.0

Healthy stores,Old_1_vs_New_Rs
month,Old priority,New priority
1,201.4516129032258,201.4516129032258
2,274.6896551724138,274.6896551724138
3,342.35483870967744,342.35483870967744
4,319.6666666666667,319.6666666666667
5,286.5806451612903,286.5806451612903
6,258.06666666666666,258.06666666666666

Eff online rs,Old_1_vs_New_Rs
month,Old priority,New priority
1,259,259
2,342,342
3,421,421
4,389,389
5,355,355
6,320,320

Exposure uv,Old_1_vs_New_Rs
month,Old priority,New priority
1,2326943,2326943
2,2490747,2490747
3,4340451,4340451
4,3936675,3936675
5,4141142,4141142
6,4061119,4061119

B p1p2,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.0058875528966545,0.0058875528966545
2,0.0061945271840134,0.0061945271840134
3,0.0053206452509197,0.0053206452509197
4,0.0059557875618383,0.0059557875618383
5,0.007001691803855,0.007001691803855
6,0.0069377430210737,0.0069377430210737

Imperfect orders,Old_1_vs_New_Rs
month,Old priority,New priority
1,492,492.0
2,532,532.0
3,834,834.0
4,687,687.0
5,747,747.0
6,989,989.0

Orders per eff online,Old_1_vs_New_Rs
month,Old priority,New priority
1,1.5088418430884185,1.5088418430884185
2,1.3708408953418028,1.3708408953418028
3,1.5100743124186011,1.5100743124186011
4,1.7034789298230617,1.7034789298230617
5,2.318322135463955,2.318322135463955
6,2.537372475536124,2.537372475536124

Ted gmv,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.377684221,0.377684221
2,0.395857996,0.395857996
3,0.393084696,0.393084696
4,0.372731756,0.372731756
5,0.350599473,0.350599473
6,0.381983132,0.381983132

Bad rating rate,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.0429184549356223,0.0429184549356223
2,0.0383936451897616,0.0383936451897616
3,0.0414996702348942,0.0414996702348942
4,0.0342716644086507,0.0342716644086507
5,0.0296075820474661,0.0296075820474661
6,0.0416837613850824,0.0416837613850824

P2c burn per order,Old_1_vs_New_Rs
month,Old priority,New priority
1,5639.438428524265,5639.438428524265
2,5273.296263606943,5273.296263606943
3,4843.527471969966,4843.527471969966
4,4703.241708063626,4703.241708063626
5,4091.282290279627,4091.282290279627
6,4343.686428161155,4343.686428161155

B cancel rate,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.0422535211267605,0.0422535211267605
2,0.0416159155501421,0.0416159155501421
3,0.0472739024052444,0.0472739024052444
4,0.0349381017881705,0.0349381017881705
5,0.0291110788863109,0.0291110788863109
6,0.0310910118711136,0.0310910118711136

R burn gmv,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.152214136,0.152214136
2,0.175784875,0.175784875
3,0.203415537,0.203415537
4,0.173654317,0.173654317
5,0.177855107,0.177855107
6,0.213220436,0.213220436

Ted,Old_1_vs_New_Rs
month,Old priority,New priority
1,190387400.0,190387400.0
2,224054220.0,224054220.0
3,331624389.0,331624389.0
4,297844814.0,297844814.0
5,351900898.0,351900898.0
6,389383886.0,389383886.0

Healthy stores,Old_1_vs_New_Rs
month,Old priority,New priority
1,201.4516129032258,201.4516129032258
2,274.6896551724138,274.6896551724138
3,342.35483870967744,342.35483870967744
4,319.6666666666667,319.6666666666667
5,286.5806451612903,286.5806451612903
6,258.06666666666666,258.06666666666666

Eff online rs,Old_1_vs_New_Rs
month,Old priority,New priority
1,259.03225806451616,259.03225806451616
2,342.0,342.0
3,421.06451612903226,421.06451612903226
4,389.9666666666666,389.9666666666666
5,355.2903225806452,355.2903225806452
6,320.2,320.2

Exposure uv,Old_1_vs_New_Rs
month,Old priority,New priority
1,2326943,2326943
2,2490747,2490747
3,4340451,4340451
4,3936675,3936675
5,4141142,4141142
6,4061119,4061119

B p1p2,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.0058875528966545,0.0058875528966545
2,0.0061945271840134,0.0061945271840134
3,0.0053206452509197,0.0053206452509197
4,0.0059557875618383,0.0059557875618383
5,0.007001691803855,0.007001691803855
6,0.0069377430210737,0.0069377430210737

Imperfect orders,Old_1_vs_New_Rs
month,Old priority,New priority
1,492,492.0
2,532,532.0
3,834,834.0
4,687,687.0
5,747,747.0
6,989,989.0

Orders per eff online,Old_1_vs_New_Rs
month,Old priority,New priority
1,1.5088418430884185,1.5088418430884185
2,1.3708408953418028,1.3708408953418028
3,1.5100743124186011,1.5100743124186011
4,1.7034789298230617,1.7034789298230617
5,2.318322135463955,2.318322135463955
6,2.537372475536124,2.537372475536124

Ted gmv,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.377684221,0.377684221
2,0.395857996,0.395857996
3,0.393084696,0.393084696
