Exposure uv,Old_3_vs_New_2
month,Old priority,New priority
1,974801,20758483
2,1198551,19500456
3,2031308,11557759
4,836530,14502401
5,1150899,14774031
6,1248935,17626844

B p1p2,Old_3_vs_New_2
month,Old priority,New priority
1,0.0078344195379364,0.0127662989631756
2,0.0086103970544432,0.012061717941365
3,0.0084029600631711,0.0093377098449621
4,0.0049167393877087,0.0090072671414891
5,0.0046641799150055,0.0088432195654659
6,0.0043877383530768,0.0098235963284181

Imperfect orders,Old_3_vs_New_2
month,Old priority,New priority
1,146,7098.0
2,206,5762.0
3,462,2665.0
4,86,3152.0
5,124,3020.0
6,120,3973.0

Orders per eff online,Old_3_vs_New_2
month,Old priority,New priority
1,1.6351039260969975,14.69293707135122
2,1.9862612612612611,14.170620437956204
3,2.7532863402552867,4.483572702525111
4,1.0426599749058971,4.422323462414578
5,1.0064469914040115,4.473856333422064
6,1.143873517786561,5.4041547974709925

Ted gmv,Old_3_vs_New_2
month,Old priority,New priority
1,0.16733877,0.433197902
2,0.336608569,0.42127917
3,0.411347349,0.340480316
4,0.294933449,0.363670202
5,0.299571972,0.338191901
6,0.367052491,0.370977015

Bad rating rate,Old_3_vs_New_2
month,Old priority,New priority
1,0.0207156308851224,0.0295341200363597
2,0.0232452659031636,0.0266333692062878
3,0.0317603099916966,0.0267987061249699
4,0.0294825511432009,0.0280124308917962
5,0.0279952550415183,0.0267575585002847
6,0.031559548491131,0.0267092643542207

P2c burn per order,Old_3_vs_New_2
month,Old priority,New priority
1,4792.623979912116,5267.270720562102
2,4855.075291983218,5118.602173533118
3,4746.375795737614,4787.013085305725
4,4466.761432009627,4616.655978503485
5,4559.313167259786,4027.846475533154
6,4166.666666666667,4217.038607904142

B cancel rate,Old_3_vs_New_2
month,Old priority,New priority
1,0.0561348378803028,0.0101940293802408
2,0.0438504907078722,0.0084473084730138
3,0.034079283887468,0.0249613821738146
4,0.0681998413957176,0.0221968533689211
5,0.0819870759289176,0.020854013897339
6,0.0771388499298737,0.0197496724488748

R burn gmv,Old_3_vs_New_2
month,Old priority,New priority
1,0.095388164,0.281061125
2,0.221907726,0.27138232
3,0.284471865,0.199215821
4,0.167126153,0.220607626
5,0.154821606,0.209160429
