Exposure uv,priority_4
month,Old priority,New priority
1,15978353,8461719
2,14919097,9495396
3,17518667,12723753
4,16139311,9962186
5,17604566,12731451
6,17785724,9668158

B p1p2,priority_4
month,Old priority,New priority
1,0.0067681568932667,0.0066331675632339
2,0.0067653558388956,0.0053043601341113
3,0.0067976633153652,0.0057277125703398
4,0.0066294651611831,0.0054880525218059
5,0.0068674229174408,0.0062763466630787
6,0.0075299717908587,0.0058709218446781

Imperfect orders,priority_4
month,Old priority,New priority
1,2751,1383.0
2,2396,1232.0
3,3100,1889.0
4,2601,1395.0
5,2918,2144.0
6,3173,1468.0

Orders per eff online,priority_4
month,Old priority,New priority
1,2.656138954430452,2.5186353361720024
2,2.537804737810488,2.010701380524414
3,2.8993971049926373,2.7001953954634272
4,2.4984787700923508,2.037075492104694
5,2.866722639005498,2.9069172000825936
6,3.289582040724237,2.472797862148944

Ted gmv,priority_4
month,Old priority,New priority
1,0.30609561,0.319032623
2,0.312519704,0.315269334
3,0.32954137,0.334083177
4,0.332354837,0.320398704
5,0.321860793,0.35221036
6,0.35591061,0.312574495

Bad rating rate,priority_4
month,Old priority,New priority
1,0.0306523251458233,0.0301803306061112
2,0.0263608043047295,0.0285464138423611
3,0.0296096130627263,0.0307701988421847
4,0.0281908702961334,0.0301781808142374
5,0.0281063411684679,0.0312255828159849
6,0.0280516452049861,0.0318088208306995

P2c burn per order,priority_4
month,Old priority,New priority
1,5067.54697918339,5438.025776423443
2,4877.511662418578,4873.512959933645
3,4765.206155733149,4781.192644097659
4,4617.066306737359,4604.012593709516
5,4176.041663517497,4145.416828855962
6,4276.439438624166,4222.608445649736

B cancel rate,priority_4
month,Old priority,New priority
1,0.0361737294886092,0.0378664810087414
2,0.0324165446403938,0.0346995006027208
3,0.0296409623247532,0.0287700016162922
4,0.0314975518490505,0.0330953545232273
5,0.0293093441671503,0.0256219631999575
6,0.0293630214652171,0.0299591637027418

R burn gmv,priority_4
month,Old priority,New priority
1,0.167431952,0.174978809
2,0.164977252,0.171740862
3,0.183473416,0.187571496
4,0.195045327,0.195550484
5,0.195657855,0.217535601
6,0.205527872,0.204723063

Ted,priority_4
month,Old priority,New priority
1,1229684551.0,652913321.0
2,1185132674.0,615107234.0
3,1525909925.0,959047558.0
4,1370340236.0,665161761.0
5,1503048940.0,1128986789.0
6,1913737327.0,666829249.0

Healthy stores,priority_4
month,Old priority,New priority
1,1010.9354838709676,674.52
2,1077.5172413793102,669.4827586206897
3,1041.5806451612902,677.1612903225806
4,1113.7333333333331,682.9
5,1070.483870967742,705.7096774193549
6,1058.0666666666666,590.5

Eff online rs,priority_4
month,Old priority,New priority
1,1134,760
2,1199,744
3,1161,759
4,1238,770
5,1191,781
6,1181,661

R burn,priority_4
month,Old priority,New priority
1,672628020.0,358101294.0
2,625624334.0,335075553.0
3,849556175.0,538458674.0
4,804196089.0,405971381.0
5,913697284.0,697295841.0
6,1105126817.0,436744931.0

Exposure uv,priority_4
month,Old priority,New priority
1,15978353,8461719
2,14919097,9495396
3,17518667,12723753
4,16139311,9962186
5,17604566,12731451
6,17785724,9668158

B p1p2,priority_4
month,Old priority,New priority
1,0.0067681568932667,0.0066331675632339
2,0.0067653558388956,0.0053043601341113
3,0.0067976633153652,0.0057277125703398
4,0.0066294651611831,0.0054880525218059
5,0.0068674229174408,0.0062763466630787
6,0.0075299717908587,0.0058709218446781

Imperfect orders,priority_4
month,Old priority,New priority
1,2751,1383.0
2,2396,1232.0
3,3100,1889.0
4,2601,1395.0
5,2918,2144.0
6,3173,1468.0

Orders per eff online,priority_4
month,Old priority,New priority
1,2.656138954430452,2.5186353361720024
2,2.537804737810488,2.010701380524414
3,2.8993971049926373,2.7001953954634272
4,2.4984787700923508,2.037075492104694
5,2.866722639005498,2.9069172000825936
6,3.289582040724237,2.472797862148944

Ted gmv,priority_4
month,Old priority,New priority
1,0.30609561,0.319032623
2,0.312519704,0.315269334
3,0.32954137,0.334083177
4,0.332354837,0.320398704
5,0.321860793,0.35221036
6,0.35591061,0.312574495

Bad rating rate,priority_4
month,Old priority,New priority
1,0.0306523251458233,0.0301803306061112
2,0.0263608043047295,0.0285464138423611
3,0.0296096130627263,0.0307701988421847
4,0.0281908702961334,0.0301781808142374
5,0.0281063411684679,0.0312255828159849
6,0.0280516452049861,0.0318088208306995

P2c burn per order,priority_4
month,Old priority,New priority
1,5067.54697918339,5438.025776423443
2,4877.511662418578,4873.512959933645
3,4765.206155733149,4781.192644097659
4,4617.066306737359,4604.012593709516
5,4176.041663517497,4145.416828855962
6,4276.439438624166,4222.608445649736

B cancel rate,priority_4
month,Old priority,New priority
1,0.0361737294886092,0.0378664810087414
2,0.0324165446403938,0.0346995006027208
3,0.0296409623247532,0.0287700016162922
4,0.0314975518490505,0.0330953545232273
5,0.0293093441671503,0.0256219631999575
6,0.0293630214652171,0.0299591637027418

R burn gmv,priority_4
month,Old priority,New priority
1,0.167431952,0.174978809
2,0.164977252,0.171740862
3,0.183473416,0.187571496
4,0.195045327,0.195550484
5,0.195657855,0.217535601
6,0.205527872,0.204723063

Ted,priority_4
month,Old priority,New priority
1,1229684551.0,652913321.0
2,1185132674.0,615107234.0
3,1525909925.0,959047558.0
4,1370340236.0,665161761.0
5,1503048940.0,1128986789.0
6,1913737327.0,666829249.0

Healthy stores,priority_4
