B2c gmv,Old_1_vs_New_Rs,,,B2c gmv,Old_2_vs_New_1,,,B2c gmv,Old_3_vs_New_2,,,B2c gmv,priority_4,,,B2c gmv,priority_5
month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority
1,8.992438%,8.992438%,,1,3.9232919999999996%,1.419907%,,1,1.314949%,3.9568520000000005%,,1,2.080249%,1.674305%,,1,1.460448%,1.23045%
2,9.340141000000001%,9.340141000000001%,,2,3.874019%,3.6173629999999997%,,2,2.578542%,3.8389020000000005%,,2,3.400308%,3.511262%,,2,3.869322%,3.908574%
3,7.650469%,7.650469%,,3,3.786549%,3.80324%,,3,2.6851380000000002%,3.4337489999999997%,,3,3.8671860000000002%,4.06377%,,3,3.8795129999999998%,3.3825760000000002%
4,8.177983%,8.177983%,,4,4.273545%,4.605492%,,4,2.7654620000000003%,3.9070430000000003%,,4,3.339673%,2.042406%,,4,2.3673480000000002%,0.8253550000000001%
5,6.866390999999999%,6.866390999999999%,,5,4.489217%,4.288239%,,5,3.931834%,3.553287%,,5,3.154818%,4.364181%,,5,1.557129%,1.117597%
6,6.490194000000001%,6.490194000000001%,,6,4.296898%,4.051735%,,6,8.302705000000001%,5.963022%,,6,5.761523%,1.077882%,,6,1.606163%,0.162144%
,,,
B2c per order,Old_1_vs_New_Rs,,,B2c per order,Old_2_vs_New_1,,,B2c per order,Old_3_vs_New_2,,,B2c per order,priority_4,,,B2c per order,priority_5
month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority
1,374134.31825685035%,374134.31825685035%,,1,183737.3490896221%,84502.1015761821%,,1,107175.78468298809%,185148.2250047088%,,1,89442.1565794403%,71517.2315912506%,,1,62395.587910062706%,60921.542725973406%
2,388826.6328331862%,388826.6328331862%,,2,177506.7808551325%,144078.7768327258%,,2,140796.9044109309%,176219.1483392662%,,2,146073.06485414898%,157838.3936594245%,,2,168220.8021550434%,172011.7117412088%
3,327446.0199888387%,327446.0199888387%,,3,178083.6551622395%,178665.4777297022%,,3,127416.05314143369%,153725.4681922388%,,3,171588.5375342571%,183516.9110244148%,,3,172904.3212466287%,153769.3842092953%
4,327909.7596467459%,327909.7596467459%,,4,197237.0174969193%,215552.40786366898%,,4,123338.2972322503%,173450.3691494111%,,4,148388.7904651063%,90048.71620617161%,,4,106989.5983935743%,36654.4620114185%
5,269909.88877575%,269909.88877575%,,5,206663.14705770378%,199976.0335760868%,,5,170028.6358244365%,153072.8429480914%,,5,139186.3785806062%,198734.0881646801%,,5,69378.8528138528%,49466.289075264096%
6,271434.2537129728%,271434.2537129728%,,6,198707.8469801937%,190648.01348758332%,,6,365865.9525454964%,266263.48062533746%,,6,265597.3500111452%,46887.2866668026%,,6,72313.2259552276%,7430.2007112783%
,,,
B2c total burn,Old_1_vs_New_Rs,,,B2c total burn,Old_2_vs_New_1,,,B2c total burn,Old_3_vs_New_2,,,B2c total burn,priority_4,,,B2c total burn,priority_5
month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority
1,4533011400.0%,4533011400.0%,,1,46722570500.0%,337754900.0%,,1,682924100.0%,45218010400.0%,,1,8357027900.0%,3426533600.0%,,1,1692792300.0%,1406617500.0%
2,5286486900.0%,5286486900.0%,,2,38800497200.0%,355730500.0%,,2,1241687900.0%,38316034300.0%,,2,12894599800.0%,6850659800.0%,,2,4496205600.0%,5253581700.0%
3,6454288500.0%,6454288500.0%,,3,43456329700.0%,35098833100.0%,,3,1841416800.0%,14684932800.0%,,3,17906636600.0%,11665803000.0%,,3,5769817200.0%,4602163900.0%
4,6534913600.0%,6534913600.0%,,4,52339012200.0%,41993920100.0%,,4,409976500.0%,20204192800.0%,,4,13769886200.0%,4240123900.0%,,4,2664041000.0%,834622100.0%
5,6891879100.0%,6891879100.0%,,5,65139397300.0%,46241658100.0%,,5,716670700.0%,18008866900.0%,,5,14732599800.0%,13989091200.0%,,5,1923181800.0%,1362450000.0%
6,6615938500.0%,6615938500.0%,,6,69956885900.0%,47889637100.0%,,6,1588224100.0%,41421012100.0%,,6,30979806100.0%,2299493200.0%,,6,2038292900.0%,181765000.0%
,,,
Bad rating rate,Old_1_vs_New_Rs,,,Bad rating rate,Old_2_vs_New_1,,,Bad rating rate,Old_3_vs_New_2,,,Bad rating rate,priority_4,,,Bad rating rate,priority_5
month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority
1,4.29184549356223%,4.29184549356223%,,1,2.97377010499823%,2.75206404803602%,,1,2.07156308851224%,2.95341200363597%,,1,3.06523251458233%,3.01803306061112%,,1,3.1146332473276797%,3.17034085495257%
2,3.83936451897616%,3.83936451897616%,,2,2.67995205548388%,4.25273390036452%,,2,2.32452659031636%,2.66333692062878%,,2,2.63608043047295%,2.85464138423611%,,2,2.96318467524693%,2.88127823980092%
3,4.1499670234894195%,4.1499670234894195%,,3,2.80712394784076%,2.88928480529396%,,3,3.17603099916966%,2.67987061249699%,,3,2.96096130627263%,3.07701988421847%,,3,3.08660473479172%,3.1908850947241802%
4,3.4271664408650695%,3.4271664408650695%,,4,2.88889475092421%,2.88830715532286%,,4,2.9482551143200904%,2.80124308917962%,,4,2.81908702961334%,3.01781808142374%,,4,3.06827309236947%,3.03030303030303%
5,2.96075820474661%,2.96075820474661%,,5,2.86996027868373%,2.89012091542839%,,5,2.79952550415183%,2.67575585002847%,,5,2.81063411684679%,3.12255828159849%,,5,3.1385281385281303%,2.9662709218313097%
6,4.168376138508241%,4.168376138508241%,,6,2.7714104738126197%,2.8065956989418503%,,6,3.1559548491130998%,2.67092643542207%,,6,2.80516452049861%,3.1808820830699496%,,6,3.04750416858835%,2.97592282222131%
,,,
B cancel rate,Old_1_vs_New_Rs,,,B cancel rate,Old_2_vs_New_1,,,B cancel rate,Old_3_vs_New_2,,,B cancel rate,priority_4,,,B cancel rate,priority_5
month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority
1,4.22535211267605%,4.22535211267605%,,1,1.05624215287337%,1.9809069212410502%,,1,5.613483788030281%,1.0194029380240799%,,1,3.6173729488609205%,3.7866481008741397%,,1,9.76429908320908%,8.18735575649805%
2,4.16159155501421%,4.16159155501421%,,2,0.83801714827304%,1.64750957854406%,,2,4.38504907078722%,0.84473084730138%,,2,3.24165446403938%,3.4699500602720796%,,2,8.64460695897419%,7.91333565056192%
3,4.72739024052444%,4.72739024052444%,,3,0.81593651817277%,0.62163485070974%,,3,3.4079283887467997%,2.4961382173814597%,,3,2.96409623247532%,2.87700016162922%,,3,8.08750065730662%,8.42832570478994%
4,3.49381017881705%,3.49381017881705%,,4,0.80213327199936%,0.58558182683859%,,4,6.819984139571759%,2.21968533689211%,,4,3.1497551849050502%,3.3095354523227303%,,4,7.99205325711895%,7.86076093993982%
