Exposure uv,Old_1_vs_New_Rs
month,Old priority,New priority
1,192092,192092
2,184005,184005
3,289296,289296
4,240438,240438
5,273797,273797
6,293467,293467

B p1p2,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.0052006330300064,0.0052006330300064
2,0.0053748539441862,0.0053748539441862
3,0.0053094408495105,0.0053094408495105
4,0.0055024580141242,0.0055024580141242
5,0.0070490180681307,0.0070490180681307
6,0.0076737759271059,0.0076737759271059

Imperfect orders,Old_1_vs_New_Rs
month,Old priority,New priority
1,46,46.0
2,33,33.0
3,39,39.0
4,32,32.0
5,49,49.0
6,65,65.0

Orders per eff online,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.8298298298298298,0.8298298298298298
2,0.7926605504587156,0.7926605504587156
3,1.0184774575018478,1.0184774575018478
4,0.9502407704654896,0.9502407704654896
5,1.568181818181818,1.568181818181818
6,2.0081383519837237,2.0081383519837237

Ted gmv,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.26330329,0.26330329
2,0.314128491,0.314128491
3,0.283359553,0.283359553
4,0.278288619,0.278288619
5,0.28411675,0.28411675
6,0.272877695,0.272877695

Bad rating rate,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.0554885404101326,0.0554885404101326
2,0.0335648148148148,0.0335648148148148
3,0.0261248185776487,0.0261248185776487
4,0.0320945945945945,0.0320945945945945
5,0.0237681159420289,0.0237681159420289
6,0.0283687943262411,0.0283687943262411

P2c burn per order,Old_1_vs_New_Rs
month,Old priority,New priority
1,415.648974668275,415.648974668275
2,508.954861111111,508.954861111111
3,399.634252539913,399.634252539913
4,445.60472972973,445.60472972973
5,504.791884057971,504.791884057971
6,555.479736575481,555.479736575481

Exposure uv,Old_1_vs_New_Rs
month,Old priority,New priority
1,192092,192092
2,184005,184005
3,289296,289296
4,240438,240438
5,273797,273797
6,293467,293467

B p1p2,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.0052006330300064,0.0052006330300064
2,0.0053748539441862,0.0053748539441862
3,0.0053094408495105,0.0053094408495105
4,0.0055024580141242,0.0055024580141242
5,0.0070490180681307,0.0070490180681307
6,0.0076737759271059,0.0076737759271059

Imperfect orders,Old_1_vs_New_Rs
month,Old priority,New priority
1,46,46.0
2,33,33.0
3,39,39.0
4,32,32.0
5,49,49.0
6,65,65.0

Orders per eff online,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.8298298298298298,0.8298298298298298
2,0.7926605504587156,0.7926605504587156
3,1.0184774575018478,1.0184774575018478
4,0.9502407704654896,0.9502407704654896
5,1.568181818181818,1.568181818181818
6,2.0081383519837237,2.0081383519837237

Ted gmv,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.26330329,0.26330329
2,0.314128491,0.314128491
3,0.283359553,0.283359553
4,0.278288619,0.278288619
5,0.28411675,0.28411675
6,0.272877695,0.272877695

Bad rating rate,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.0554885404101326,0.0554885404101326
