B2c gmv,Old_2_vs_New_1
month,Old priority,New priority
1,0.03177023,0.01153793
2,0.02419105,0.01276869
3,0.02720667,0.02730927
4,0.04627962,0.04838692
5,0.04943135,0.05077836
6,0.042251,0.04376465

B2c per order,Old_2_vs_New_1
month,Old priority,New priority
1,250.041129079339,92.837471783296
2,194.857048975121,87.08275862069
3,223.33573199492,223.620472729494
4,381.498414631053,396.399416500687
5,408.236584754263,422.189661056998
6,350.165887673379,367.826381471696

B2c total burn,Old_2_vs_New_1
month,Old priority,New priority
1,8565909.0,41127.0
2,6226657.0,12627.0
3,7386606.0,7322676.0
4,15039812.0,14130450.0
5,16280475.0,16080782.0
6,13859916.0,13086527.0

Bad rating rate,Old_2_vs_New_1
month,Old priority,New priority
1,0.0215132231887442,0.0316027088036117
2,0.0200907526208731,0.0206896551724137
3,0.0201668984700973,0.0211628901239846
4,0.0210536996169748,0.0209274272729823
5,0.0217402206619859,0.0221586284754128
6,0.021500214749501,0.0207712631401427

B cancel rate,Old_2_vs_New_1
month,Old priority,New priority
1,0.0110017534928446,0.0184804928131416
2,0.0100810736950778,0.0133333333333333
3,0.0105747261116644,0.0097119000384922
4,0.0086646153846153,0.0067617307849606
5,0.0070844554431423,0.0071337903021071
6,0.007763482336857,0.0072691765216447

B p1p2,Old_2_vs_New_1
month,Old priority,New priority
1,0.0136260913338088,0.0110260929372823
2,0.0130817483647814,0.0056575085746614
3,0.014112468957478,0.0142925326330455
4,0.017833837865691,0.0191720298744316
5,0.0163525812476738,0.0168193863725224
6,0.0162256528716238,0.0163470460806395

Daily online hours,Old_2_vs_New_1
month,Old priority,New priority
1,923.7321594982078,98.40222222222224
2,949.6575670498084,29.47253968253968
3,883.4186559139785,859.9268100358423
4,975.92475,773.7963425925925
5,955.59582437276,887.153548387097
6,987.5597037037038,887.7044629629631

Daily orders,Old_2_vs_New_1
month,Old priority,New priority
1,1105.0967741935483,40.27272727272727
2,1101.896551724138,5.178571428571429
3,1066.9032258064517,1056.3225806451612
4,1314.1,1188.2333333333331
5,1286.451612903226,1228.6774193548388
6,1319.3666666666666,1185.9333333333334

Eff online rs,Old_2_vs_New_1
month,Old priority,New priority
1,88.12903225806451,9.545454545454543
2,90.51724137931036,3.642857142857143
3,85.06451612903226,82.09677419354838
4,94.1,73.56666666666666
5,90.48387096774194,84.16129032258064
6,94.93333333333334,83.93333333333334

Exposure uv,Old_2_vs_New_1
month,Old priority,New priority
1,2715599,46526
2,2626866,28281
3,2525568,2461845
4,2371503,1984975
5,2625029,2439982
6,2630341,2348253

Healthy stores,Old_2_vs_New_1
month,Old priority,New priority
1,83.7741935483871,9.181818181818182
2,87.03448275862068,3.357142857142857
3,80.6774193548387,77.7741935483871
4,88.3,70.06666666666666
5,85.03225806451613,80.51612903225806
6,90.03333333333333,79.03333333333333

Imperfect orders,Old_2_vs_New_1
month,Old priority,New priority
1,741,17.0
2,700,4.0
3,680,712.0
4,820,731.0
5,792,773.0
6,774,659.0

Imperfect order rate,Old_2_vs_New_1
month,Old priority,New priority
1,0.0216299842372584,0.0383747178329571
2,0.0219058050383351,0.0275862068965517
3,0.0205599564612686,0.0217431136627374
4,0.020800040585445,0.0205066344993968
5,0.0198595787362086,0.0202945732363674
6,0.0195548369167024,0.0185226825566361

Orders per eff online,Old_2_vs_New_1
month,Old priority,New priority
1,12.539531478770131,4.219047619047619
2,12.173333333333334,1.4215686274509804
3,12.542282897231702,12.866797642436149
4,13.964930924548351,16.151789759855006
5,14.2174688057041,14.599080107320813
6,13.897823033707866,14.129467831612391

R burn,Old_2_vs_New_1
month,Old priority,New priority
1,47370593.0,568925.0
2,46070133.0,113455.0
3,49656610.0,48913725.0
4,64885677.0,59641784.0
5,66858935.0,65151986.0
6,67841012.0,63809591.0

R burn gmv,Old_2_vs_New_1
