Exposure uv,Old_3_vs_New_2
month,Old priority,New priority
1,153580,2573545
2,164935,2683328
3,176188,1668485
4,113180,1611683
5,154677,1712511
6,165755,1857231

B p1p2,Old_3_vs_New_2
month,Old priority,New priority
1,0.0088878760255241,0.0136958941848695
2,0.008427562373056,0.013057293033129
3,0.0067882035098871,0.009415128095248
4,0.0067149673087117,0.0104034105962524
5,0.0058509022026545,0.0095117637200578
6,0.0051763144399867,0.0098463788295586

Imperfect orders,Old_3_vs_New_2
month,Old priority,New priority
1,44,712.0
2,45,724.0
3,36,355.0
4,12,376.0
5,11,351.0
6,18,418.0

Orders per eff online,Old_3_vs_New_2
month,Old priority,New priority
1,1.3578826237054085,12.756145142411237
2,1.3588571428571428,12.03138847858198
3,1.258983890954151,3.1947109758951555
4,0.9925373134328358,2.997001798920647
5,0.917079207920792,2.954885696945175
6,0.8808104886769964,3.2610976594027443

Ted gmv,Old_3_vs_New_2
month,Old priority,New priority
1,0.213194228,0.252064009
2,0.229238552,0.248078657
3,0.201473765,0.207521541
4,0.219382958,0.22907924
5,0.148040242,0.238834261
6,0.207169004,0.236686162

Bad rating rate,Old_3_vs_New_2
month,Old priority,New priority
1,0.0271186440677966,0.0215330029974918
2,0.0344827586206896,0.0206255179399036
3,0.0383858267716535,0.0250531096622958
4,0.0120300751879699,0.0224089635854341
5,0.0161943319838056,0.0236888949746679
6,0.0243572395128552,0.0256156416285113

P2c burn per order,Old_3_vs_New_2
month,Old priority,New priority
1,406.708474576271,342.138924573316
2,409.322960470984,360.869187563304
3,363.620078740157,356.74939564867
4,371.658646616541,359.609377084167
5,418.396761133603,400.049500205395
6,514.914749661705,457.971971290682

B cancel rate,Old_3_vs_New_2
month,Old priority,New priority
1,0.0624024960998439,0.0102949029846318
2,0.0758150113722517,0.010420388233893
3,0.0626118067978533,0.0347265115640656
4,0.077445652173913,0.0310828666708613
5,0.0948991696322657,0.0247049669303592
6,0.0618181818181818,0.0259846667056826

R burn gmv,Old_3_vs_New_2
month,Old priority,New priority
1,0.133128124,0.176490975
2,0.123179758,0.179182447
3,0.13208148,0.143085335
4,0.158207092,0.161864929
5,0.082993823,0.167232428
6,0.134729708,0.157916307

Ted,Old_3_vs_New_2
month,Old priority,New priority
1,2005649.0,65106757.0
2,2320307.0,65102024.0
3,1660851.0,23352205.0
4,1258611.0,28664059.0
5,896536.0,29101810.0
6,1378897.0,31411938.0

Healthy stores,Old_3_vs_New_2
month,Old priority,New priority
1,24.096774193548388,78.3225806451613
2,26.689655172413797,89.6896551724138
3,22.806451612903224,121.74193548387096
4,19.266666666666666,151.3
5,22.580645161290324,146.3548387096774
6,24.5,151.86666666666667

Exposure uv,Old_3_vs_New_2
month,Old priority,New priority
1,153580,2573545
2,164935,2683328
3,176188,1668485
4,113180,1611683
5,154677,1712511
6,165755,1857231

B p1p2,Old_3_vs_New_2
month,Old priority,New priority
1,0.0088878760255241,0.0136958941848695
2,0.008427562373056,0.013057293033129
3,0.0067882035098871,0.009415128095248
4,0.0067149673087117,0.0104034105962524
5,0.0058509022026545,0.0095117637200578
6,0.0051763144399867,0.0098463788295586

Imperfect orders,Old_3_vs_New_2
month,Old priority,New priority
1,44,712.0
2,45,724.0
3,36,355.0
4,12,376.0
5,11,351.0
6,18,418.0

Orders per eff online,Old_3_vs_New_2
month,Old priority,New priority
1,1.3578826237054085,12.756145142411237
2,1.3588571428571428,12.03138847858198
3,1.258983890954151,3.1947109758951555
4,0.9925373134328358,2.997001798920647
5,0.917079207920792,2.954885696945175
6,0.8808104886769964,3.2610976594027443

Ted gmv,Old_3_vs_New_2
month,Old priority,New priority
1,0.213194228,0.252064009
2,0.229238552,0.248078657
3,0.201473765,0.207521541
4,0.219382958,0.22907924
5,0.148040242,0.238834261
6,0.207169004,0.236686162

Bad rating rate,Old_3_vs_New_2
month,Old priority,New priority
1,0.0271186440677966,0.0215330029974918
2,0.0344827586206896,0.0206255179399036
3,0.0383858267716535,0.0250531096622958
4,0.0120300751879699,0.0224089635854341
5,0.0161943319838056,0.0236888949746679
6,0.0243572395128552,0.0256156416285113

P2c burn per order,Old_3_vs_New_2
month,Old priority,New priority
1,406.708474576271,342.138924573316
2,409.322960470984,360.869187563304
