B2c gmv,priority_4
month,Old priority,New priority
1,0.01547771,0.01299184
2,0.01646605,0.0164299
3,0.02019045,0.01940479
4,0.01839394,0.01317646
5,0.02196248,0.01300802
6,0.01839372,0.00221345

B2c per order,priority_4
month,Old priority,New priority
1,125.135221313195,101.423594132029
2,138.54231929875,145.098389152857
3,171.54334251607,172.588253934721
4,153.472203888917,110.912671992898
5,185.066818269789,109.326870152614
6,156.743805101988,18.851768669287

B2c total burn,priority_4
month,Old priority,New priority
1,2982598.0,995574.0
2,2892348.0,1252054.0
3,3736214.0,1633893.0
4,3022942.0,999545.0
5,3824961.0,873959.0
6,3004622.0,134300.0

Bad rating rate,priority_4
month,Old priority,New priority
1,0.0275225508705684,0.0310717196414017
2,0.0233750059874503,0.0231776567389036
3,0.025941230486685,0.0248230696102249
4,0.0235568868355587,0.0224145583666222
5,0.0252564350687052,0.0248936702526895
6,0.0232667327455788,0.0216170690623245

B cancel rate,priority_4
month,Old priority,New priority
1,0.0313239703329651,0.0356531660011409
2,0.0295938191840238,0.028104072894939
3,0.0295429932856833,0.0269161496898138
4,0.027167379910564,0.0235368956743002
5,0.0244625986947195,0.025960296017855
6,0.0267489711934156,0.0250461376219351

B p1p2,priority_4
month,Old priority,New priority
1,0.0077609988856693,0.0074399959794528
2,0.0075350489218237,0.0058117020488266
3,0.0074641852789897,0.0058343281223941
4,0.008133832224074,0.0064278998529032
5,0.0081595178746625,0.0060068052772211
6,0.0077940475109011,0.0057883296107211

Daily online hours,priority_4
month,Old priority,New priority
1,2561.741720430108,1327.8612888888892
2,2641.144521072797,1491.41316091954
3,2465.1500806451613,1403.7350716845876
4,2569.4753518518514,1533.955509259259
5,2504.293127240144,1492.885152329749
6,2417.7724629629624,1349.5810185185185

Daily orders,priority_4
month,Old priority,New priority
1,768.8709677419355,392.64
2,719.8965517241379,297.55172413793105
3,702.5806451612904,305.38709677419354
4,656.5666666666667,300.4
5,666.7096774193549,257.8709677419355
6,638.9666666666667,237.46666666666667

Eff online rs,priority_4
month,Old priority,New priority
1,271.96774193548384,145.6
2,280.2758620689655,153.24137931034485
3,264.8709677419355,147.06451612903226
4,274.8,160.63333333333333
5,267.93548387096774,153.83870967741936
6,256.3333333333333,139.96666666666667

Exposure uv,priority_4
month,Old priority,New priority
1,3484603,1512232
2,3143178,1673348
3,3306322,1822832
4,2718030,1582632
5,2858012,1532928
6,2818048,1404032

Healthy stores,priority_4
month,Old priority,New priority
1,246.83870967741936,128.72
2,255.24137931034485,140.48275862068965
3,238.2258064516129,133.6451612903226
4,247.1,144.96666666666667
5,244.80645161290323,137.74193548387098
6,232.96666666666667,125.0

Imperfect orders,priority_4
month,Old priority,New priority
1,639,265.0
2,503,207.0
3,581,230.0
4,486,193.0
5,515,196.0
6,449,165.0

Imperfect order rate,priority_4
month,Old priority,New priority
1,0.0268093140339836,0.0269967400162999
2,0.0240935000239498,0.0239888747247653
3,0.0266758494031221,0.0242949191929861
4,0.0246738081941412,0.021415889924545
5,0.0249177472421134,0.0245183887915936
6,0.0234232354322082,0.0231611454239191

Orders per eff online,priority_4
month,Old priority,New priority
1,2.8270667773692324,2.696703296703297
2,2.5685285433070866,1.941719171917192
3,2.6525392765801974,2.0765518754112744
4,2.3892527899078115,1.8700975306080097
5,2.488321695160125,1.6762423988257495
6,2.4927178153446032,1.696594427244582

