B2c gmv,Old_1_vs_New_Rs,,,B2c gmv,Old_2_vs_New_1,,,B2c gmv,Old_3_vs_New_2,,,B2c gmv,priority_4,,,B2c gmv,priority_5
month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority
1,4.8543259999999995%,4.8543259999999995%,,1,3.177023%,1.153793%,,1,2.905253%,3.226631%,,1,1.547771%,1.299184%,,1,0.8450829999999999%,1.00671%
2,9.557628999999999%,9.557628999999999%,,2,2.419105%,1.276869%,,2,5.797594999999999%,2.4093%,,2,1.6466049999999999%,1.6429900000000002%,,2,2.3602950000000003%,2.8717%
3,12.110743%,12.110743%,,3,2.7206669999999997%,2.730927%,,3,2.457667%,2.115862%,,3,2.0190449999999998%,1.940479%,,3,5.793326%,1.914836%
4,15.242676999999999%,15.242676999999999%,,4,4.627962%,4.838692%,,4,1.809571%,2.412232%,,4,1.8393940000000002%,1.3176459999999999%,,4,0.9108609999999999%,0.541308%
5,15.067001999999999%,15.067001999999999%,,5,4.943135%,5.0778360000000005%,,5,1.385248%,2.364818%,,5,2.1962479999999998%,1.300802%,,5,0.38741000000000003%,0.095073%
6,12.711433%,12.711433%,,6,4.225099999999999%,4.3764650000000005%,,6,1.52687%,2.299838%,,6,1.8393719999999998%,0.22134500000000001%,,6,1.000901%,0.243773%
,,,
B2c per order,Old_1_vs_New_Rs,,,B2c per order,Old_2_vs_New_1,,,B2c per order,Old_3_vs_New_2,,,B2c per order,priority_4,,,B2c per order,priority_5
month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority
1,39943.3051869723%,39943.3051869723%,,1,25004.112907933897%,9283.747178329599%,,1,23162.2881355932%,25491.564201382498%,,1,12513.5221313195%,10142.3594132029%,,1,7508.746870858501%,8574.9642930014%
2,92537.962962963%,92537.962962963%,,2,19485.7048975121%,8708.275862069%,,2,49354.163162321296%,19405.8009269206%,,2,13854.231929874999%,14509.838915285702%,,2,21423.5980551053%,26095.039441747598%
3,108394.847605225%,108394.847605225%,,3,22333.573199492%,22362.0472729494%,,3,19940.7480314961%,17441.6526261812%,,3,17154.334251607%,17258.8253934721%,,3,51682.35090152569%,17668.2747603834%
4,128876.8581081081%,128876.8581081081%,,4,38149.841463105295%,39639.9416500687%,,4,15611.428571428602%,20130.4521808723%,,4,15347.2203888917%,11091.2671992898%,,4,8255.591054313101%,4957.8715919085%
5,126789.27536231879%,126789.27536231879%,,5,40823.6584754263%,42218.9661056998%,,5,11321.322537112%,19728.3102834452%,,5,18506.6818269789%,10932.687015261401%,,5,3507.5449700199997%,808.5641784733%
6,104485.05572441741%,104485.05572441741%,,6,35016.588767337904%,36782.6381471696%,,6,13751.962110960802%,18885.3050365054%,,6,15674.380510198798%,1885.1768669287%,,6,9425.4011553273%,2218.5125858124%
,,,
B2c total burn,Old_1_vs_New_Rs,,,B2c total burn,Old_2_vs_New_1,,,B2c total burn,Old_3_vs_New_2,,,B2c total burn,priority_4,,,B2c total burn,priority_5
month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority
1,33113000.0%,33113000.0%,,1,856590900.0%,4112700.0%,,1,27331500.0%,833421200.0%,,1,298259800.0%,99557400.0%,,1,50991900.0%,42025900.0%
2,79952800.0%,79952800.0%,,2,622665700.0%,1262700.0%,,2,58682100.0%,632260400.0%,,2,289234800.0%,125205400.0%,,2,132183600.0%,172018500.0%
