Exposure uv,Old_1_vs_New_Rs
month,Old priority,New priority
1,9380823,9380823
2,9522003,9522003
3,12114406,12114406
4,11957506,11957506
5,16209473,16209473
6,18926991,18926991

B p1p2,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.0078532555192652,0.0078532555192652
2,0.0074832994696599,0.0074832994696599
3,0.0080196255598499,0.0080196255598499
4,0.0090165959356407,0.0090165959356407
5,0.0084651117281851,0.0084651117281851
6,0.0081378492756719,0.0081378492756719

Imperfect orders,Old_1_vs_New_Rs
month,Old priority,New priority
1,1906,1906.0
2,1847,1847.0
3,2408,2408.0
4,2698,2698.0
5,3456,3456.0
6,3542,3542.0

Orders per eff online,Old_1_vs_New_Rs
month,Old priority,New priority
1,2.575806817322954,2.575806817322954
2,2.264176070652555,2.264176070652555
3,2.475843462298,2.475843462298
4,2.6867667635346035,2.6867667635346035
5,3.2397430319162552,3.2397430319162552
6,3.323550767068743,3.323550767068743

Ted gmv,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.266098306,0.266098306
2,0.270965151,0.270965151
3,0.259729814,0.259729814
4,0.278258815,0.278258815
5,0.289630828,0.289630828
6,0.289257298,0.289257298

Bad rating rate,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.0232977802555713,0.0232977802555713
2,0.0245023682010958,0.0245023682010958
3,0.0234120475430831,0.0234120475430831
4,0.0242661565732942,0.0242661565732942
5,0.0253910570390267,0.0253910570390267
6,0.0229036145427381,0.0229036145427381

P2c burn per order,Old_1_vs_New_Rs
month,Old priority,New priority
1,13.406486553894,13.406486553894
2,10.436072810575,10.436072810575
3,9.905927606893,9.905927606893
4,11.566774493996,11.566774493996
5,12.051120398167,12.051120398167
6,11.498988717327,11.498988717327

B cancel rate,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.025719072884669,0.025719072884669
2,0.0293488541287741,0.0293488541287741
3,0.0293373691618952,0.0293373691618952
4,0.0248382185001903,0.0248382185001903
5,0.0262710220404996,0.0262710220404996
6,0.0273837981407702,0.0273837981407702

R burn gmv,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.087770262,0.087770262
2,0.088116485,0.088116485
3,0.101196111,0.101196111
4,0.103811352,0.103811352
5,0.105159682,0.105159682
6,0.108172045,0.108172045

Ted,Old_1_vs_New_Rs
month,Old priority,New priority
1,4644552.7,4644552.7
2,4367281.58,4367281.58
3,5754800.14,5754800.14
4,6883281.89,6883281.89
5,9169967.71,9169967.71
6,10021432.54,10021432.54

Healthy stores,Old_1_vs_New_Rs
month,Old priority,New priority
1,637.0322580645161,637.0322580645161
2,715.6206896551724,715.6206896551724
3,873.1290322580645,873.1290322580645
4,956.6,956.6
5,956.483870967742,956.483870967742
6,1081.8,1081.8

Eff online rs,Old_1_vs_New_Rs
month,Old priority,New priority
1,853,853
2,983,983
3,1159,1159
4,1238,1238
5,1260,1260
6,1423,1423

R burn,Old_1_vs_New_Rs
month,Old priority,New priority
1,1531966.19,1531966.19
2,1420217.7,1420217.7
3,2242189.24,2242189.24
4,2567979.01,2567979.01
5,3329448.38,3329448.38
6,3747662.93,3747662.93

P2c gmv,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.05235391,0.05235391
2,0.04183234,0.04183234
3,0.03979651,0.03979651
4,0.04668938,0.04668938
5,0.0481803,0.0481803
6,0.04709703,0.04709703

Exposure uv,Old_1_vs_New_Rs
month,Old priority,New priority
1,9380823,9380823
2,9522003,9522003
3,12114406,12114406
4,11957506,11957506
5,16209473,16209473
6,18926991,18926991

B p1p2,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.0078532555192652,0.0078532555192652
2,0.0074832994696599,0.0074832994696599
3,0.0080196255598499,0.0080196255598499
4,0.0090165959356407,0.0090165959356407
5,0.0084651117281851,0.0084651117281851
6,0.0081378492756719,0.0081378492756719

Imperfect orders,Old_1_vs_New_Rs
month,Old priority,New priority
1,1906,1906.0
2,1847,1847.0
3,2408,2408.0
4,2698,2698.0
5,3456,3456.0
6,3542,3542.0

Orders per eff online,Old_1_vs_New_Rs
month,Old priority,New priority
1,2.575806817322954,2.575806817322954
2,2.264176070652555,2.264176070652555
3,2.475843462298,2.475843462298
4,2.6867667635346035,2.6867667635346035
5,3.2397430319162552,3.2397430319162552
6,3.323550767068743,3.323550767068743

Ted gmv,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.266098306,0.266098306
2,0.270965151,0.270965151
3,0.259729814,0.259729814
4,0.278258815,0.278258815
5,0.289630828,0.289630828
6,0.289257298,0.289257298

Bad rating rate,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.0232977802555713,0.0232977802555713
2,0.0245023682010958,0.0245023682010958
3,0.0234120475430831,0.0234120475430831
4,0.0242661565732942,0.0242661565732942
5,0.0253910570390267,0.0253910570390267
6,0.0229036145427381,0.0229036145427381

P2c burn per order,Old_1_vs_New_Rs
month,Old priority,New priority
1,13.406486553894,13.406486553894
2,10.436072810575,10.436072810575
3,9.905927606893,9.905927606893
4,11.566774493996,11.566774493996
5,12.051120398167,12.051120398167
6,11.498988717327,11.498988717327

B cancel rate,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.025719072884669,0.025719072884669
2,0.0293488541287741,0.0293488541287741
3,0.0293373691618952,0.0293373691618952
4,0.0248382185001903,0.0248382185001903
5,0.0262710220404996,0.0262710220404996
6,0.0273837981407702,0.0273837981407702

R burn gmv,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.087770262,0.087770262
2,0.088116485,0.088116485
3,0.101196111,0.101196111
4,0.103811352,0.103811352
5,0.105159682,0.105159682
6,0.108172045,0.108172045

Ted,Old_1_vs_New_Rs
month,Old priority,New priority
1,4644552.7,4644552.7
2,4367281.58,4367281.58
3,5754800.14,5754800.14
4,6883281.89,6883281.89
5,9169967.71,9169967.71
6,10021432.54,10021432.54

Healthy stores,Old_1_vs_New_Rs
month,Old priority,New priority
1,637.0322580645161,637.0322580645161
2,715.6206896551724,715.6206896551724
3,873.1290322580645,873.1290322580645
4,956.6,956.6
5,956.483870967742,956.483870967742
6,1081.8,1081.8

Eff online rs,Old_1_vs_New_Rs
month,Old priority,New priority
1,853.6129032258065,853.6129032258065
2,983.9310344827586,983.9310344827586
3,1159.774193548387,1159.774193548387
4,1238.8,1238.8
5,1260.354838709677,1260.354838709677
6,1423.1666666666667,1423.1666666666667

R burn,Old_1_vs_New_Rs
month,Old priority,New priority
1,1531966.19,1531966.19
