B2c gmv,Old_2_vs_New_1
month,Old priority,New priority
1,0.03345138,0.01100266
2,0.02505122,0.04579171
3,0.03215535,0.03287341
4,0.04409789,0.04799872
5,0.03452228,0.03814451
6,0.0327932,0.03569879

B2c per order,Old_2_vs_New_1
month,Old priority,New priority
1,8.092607215343,2.839141163898
2,6.105674333095,12.341134453782
3,7.983002403656,8.089694297581
4,10.87963477414,11.818143444364
5,8.552031854781,9.460484513512
6,8.140693754454,8.876899858955

B2c total burn,Old_2_vs_New_1
month,Old priority,New priority
1,15554339.05,29223.28
2,10554384.66,96927.27
3,15440220.32,13100596.56
4,22856339.28,19366533.48
5,19352880.35,16048595.64
6,18036610.63,14500557.95

Bad rating rate,Old_2_vs_New_1
month,Old priority,New priority
1,0.0160849679221536,0.0187506072087826
2,0.0158137796703611,0.0263559969442322
3,0.0161767237791325,0.0163719311505738
4,0.0159974334039242,0.0159503317239392
5,0.0172407164608076,0.0173528132224935
6,0.016307465525311,0.0162465503857935

B cancel rate,Old_2_vs_New_1
month,Old priority,New priority
1,0.0101345989577805,0.016655749976607
2,0.0092979119680945,0.013063840276066
3,0.0097280042388167,0.0085664522304683
4,0.0098472430864407,0.0084659911450613
5,0.0105945140828891,0.0087513733740563
6,0.0100000174451872,0.00814948280192

B p1p2,Old_2_vs_New_1
month,Old priority,New priority
1,0.0153210140935499,0.0088538739931358
2,0.0148238577701278,0.0084105005525182
3,0.0161887730279725,0.0175117167183182
4,0.0164767246756,0.0180448006493541
5,0.0162019259677696,0.0177226431834436
6,0.016183899392231,0.0177062947312821

Daily online hours,Old_2_vs_New_1
month,Old priority,New priority
1,37879.9107437276,807.9504480286738
2,38470.059779693474,751.8383333333335
3,37156.179390681005,26476.8107437276
4,42541.623629629634,27613.31675925926
5,41847.2306451613,26240.97435483871
6,44373.6436111111,27201.42583333334

Daily orders,Old_2_vs_New_1
month,Old priority,New priority
1,62001.3870967742,332.03225806451616
2,59607.55172413793,270.82758620689657
3,62391.51612903226,52239.29032258064
4,70027.9,54623.73333333333
5,72998.6129032258,54722.0
6,73853.7,54450.53333333333

Eff online rs,Old_2_vs_New_1
month,Old priority,New priority
1,4868.5161290322585,106.61290322580643
2,4925.689655172414,102.03448275862068
3,4712.774193548387,3286.2903225806454
4,5369.5,3415.8
5,5387.032258064516,3262.0967741935483
6,5699.833333333333,3398.833333333333

Exposure uv,Old_2_vs_New_1
month,Old priority,New priority
1,132426678,1240361
2,123371664,998157
3,125991389,97319699
4,134272135,95371073
5,147996973,101146820
6,144926939,97452913

Healthy stores,Old_2_vs_New_1
month,Old priority,New priority
1,4428.032258064516,95.61290322580643
2,4504.379310344828,89.55172413793103
3,4324.096774193548,3028.774193548388
4,4935.5,3169.7
5,4887.935483870968,3010.8387096774195
6,5198.3,3136.5

Imperfect orders,Old_2_vs_New_1
month,Old priority,New priority
1,37133,229.0
2,32875,222.0
3,37823,32102.0
4,39982,31188.0
5,44230,33468.0
6,40662,29857.0

Imperfect order rate,Old_2_vs_New_1
month,Old priority,New priority
1,0.0193195469612282,0.0222481297969493
2,0.0190180716514165,0.0282658517952635
3,0.0195554916740644,0.0198231710404602
4,0.019031462221962,0.0190320202695775
5,0.0195452233515705,0.0197290468774132
6,0.0183524996039467,0.0182777517942891

Orders per eff online,Old_2_vs_New_1
month,Old priority,New priority
1,12.73517134451777,3.1143721633888046
2,12.101361615737336,2.654275092936803
3,13.238808728507284,15.896127607361963
4,13.0417916007077,15.991490524425709
5,13.550803003628786,16.775100123609395
6,12.957168338255505,16.020359927426078

R burn,Old_2_vs_New_1
month,Old priority,New priority
1,74436411.42,420397.87
2,67072147.43,376918.02
3,77524675.96,68763386.54
4,87375634.35,71294289.36
5,94653890.68,75198535.46
6,93824729.11,74240925.36

R burn gmv,Old_2_vs_New_1
month,Old priority,New priority
1,0.160084008,0.158281217
2,0.159198194,0.178068798
3,0.161450614,0.172548395
4,0.168578215,0.176698343
5,0.168846591,0.178732868
6,0.170587112,0.18277304

R burn per order,Old_2_vs_New_1
month,Old priority,New priority
1,38.7277555288825,40.843084620616
2,38.8010009319578,47.9905805958747
3,40.0823085231294,42.4617896923463
4,41.5908679968984,43.5062960178482
5,41.8275250833312,44.3287746863619
6,42.3471128776667,45.4485449545643

Ted,Old_2_vs_New_1
month,Old priority,New priority
1,113347162.92,573500.61
2,94477214.59,551851.84
3,113343687.02,99269543.71
4,134541369.64,109837014.27
5,138612766.83,109820991.58
6,135953480.67,106566145.77

Ted gmv,Old_2_vs_New_1
month,Old priority,New priority
1,0.243766025,0.215924916
2,0.224245123,0.260713441
3,0.236046235,0.249097686
4,0.259577446,0.272224026
5,0.247261819,0.261023977
6,0.247183359,0.262354198

B2c gmv,Old_2_vs_New_1
month,Old priority,New priority
1,0.03345138,0.01100266
2,0.02505122,0.04579171
3,0.03215535,0.03287341
4,0.04409789,0.04799872
5,0.03452228,0.03814451
6,0.0327932,0.03569879

B2c per order,Old_2_vs_New_1
month,Old priority,New priority
1,8.092607215343,2.839141163898
2,6.105674333095,12.341134453782
3,7.983002403656,8.089694297581
4,10.87963477414,11.818143444364
5,8.552031854781,9.460484513512
6,8.140693754454,8.876899858955

B2c total burn,Old_2_vs_New_1
month,Old priority,New priority
1,15554339.05,29223.28
2,10554384.66,96927.27
3,15440220.32,13100596.56
4,22856339.28,19366533.48
5,19352880.35,16048595.64
6,18036610.63,14500557.95

Bad rating rate,Old_2_vs_New_1
month,Old priority,New priority
1,0.0160849679221536,0.0187506072087826
2,0.0158137796703611,0.0263559969442322
3,0.0161767237791325,0.0163719311505738
4,0.0159974334039242,0.0159503317239392
5,0.0172407164608076,0.0173528132224935
6,0.016307465525311,0.0162465503857935

B cancel rate,Old_2_vs_New_1
