Exposure uv,Old_3_vs_New_2
month,Old priority,New priority
1,3377453,126712466
2,3413610,124721840
3,4986259,42961843
4,3401978,47946693
5,4661615,56578754
6,4993107,61970219

B p1p2,Old_3_vs_New_2
month,Old priority,New priority
1,0.0042762993297019,0.0154134006041678
2,0.0060566379873506,0.0147764176667053
3,0.0071564674037189,0.0133675131208872
4,0.0035317688709333,0.0132427068536301
5,0.0034252077874298,0.0124102945073693
6,0.0033784575415668,0.0121690226720031

Imperfect orders,Old_3_vs_New_2
month,Old priority,New priority
1,328,35661.0
2,463,33283.0
3,854,11240.0
4,285,11949.0
5,366,13329.0
6,372,13883.0

Orders per eff online,Old_3_vs_New_2
month,Old priority,New priority
1,1.9454660748256185,12.860024037960525
2,2.5801033591731266,12.09932137225892
3,2.9455675074183976,5.06362140862313
4,1.17475947934352,5.130762403633643
5,1.140049342105263,5.181332266453291
6,1.1695680735752998,4.9836180602294045

Ted gmv,Old_3_vs_New_2
month,Old priority,New priority
1,0.170390743,0.244399447
2,0.181223963,0.224892183
3,0.19255646,0.181540908
4,0.183564016,0.216567216
5,0.180579913,0.200495569
6,0.20066309,0.209684309

Bad rating rate,Old_3_vs_New_2
month,Old priority,New priority
1,0.0204530638852672,0.0159881451644707
2,0.0209759083069048,0.0159038706518101
3,0.0230757122619235,0.0171126792487042
4,0.0229309182002119,0.0166740720892449
5,0.0209911274615884,0.017903224062872
6,0.0228884364249104,0.0175736521646682

P2c burn per order,Old_3_vs_New_2
month,Old priority,New priority
1,12.525015482399,12.249600898729
2,9.686905358037,9.769967690509
3,10.266639382969,9.465574842473
4,10.643523460834,10.468213438976
5,11.24770684556,10.254328864605
6,10.732688338131,10.467034388729

B cancel rate,Old_3_vs_New_2
month,Old priority,New priority
1,0.0649341300122381,0.0099292984391266
2,0.0466541715211995,0.0093669394537427
3,0.034837919061652,0.0247737359633742
4,0.0576873329309304,0.0215848433057663
5,0.0573462783171521,0.022655453805603
6,0.0637096774193548,0.021786667611878

R burn gmv,Old_3_vs_New_2
month,Old priority,New priority
1,0.096562197,0.160409291
2,0.108842121,0.159744575
3,0.133767071,0.10999962
4,0.090635618,0.126788195
5,0.110739128,0.129960116
