B2c gmv,priority_5
month,Old priority,New priority
1,0.02934519,0.03165732
2,0.03292624,0.03414732
3,0.02295952,0.02162799
4,0.00910611,0.00250279
5,0.00666877,0.00382705
6,0.00405946,0.00207778

B2c per order,priority_5
month,Old priority,New priority
1,7.304898418131,7.504715842839
2,8.366722689076,8.62085314412
3,5.910572091172,5.600203995294
4,2.329136588159,0.623837240018
5,1.76468910152,0.935721577153
6,1.066616076523,0.505259248863

B2c total burn,priority_5
month,Old priority,New priority
1,1331799.86,1036213.64
2,1485494.88,1587969.77
3,1292163.36,966332.0
4,349878.24,89742.73
5,297853.05,189380.69
6,158899.13,90001.83

Bad rating rate,priority_5
month,Old priority,New priority
1,0.0228559204896992,0.0225602027883396
2,0.0228839525086173,0.0223505844159369
3,0.0225826666483699,0.0231291255440357
4,0.0218415902222103,0.0225503281058836
5,0.023657315519744,0.0210978803300558
6,0.0234133243832857,0.0210857239095042

B cancel rate,priority_5
month,Old priority,New priority
1,0.0801092443122241,0.0791284182667291
2,0.074679611065654,0.0717151405645897
3,0.0689514601485678,0.0784460120488131
4,0.077625136663973,0.075718631650835
5,0.0841507136575796,0.068638816709974
6,0.0840580901654266,0.0700696334842309

B p1p2,priority_5
month,Old priority,New priority
1,0.001909210172858,0.002153643061296
2,0.0021599665864437,0.0023391858077631
3,0.0022205714029488,0.0018696997082989
4,0.0018740938826079,0.0019278789972296
5,0.0017833480217301,0.0022104696946617
6,0.0015610805126553,0.0019302064441834

Daily online hours,priority_5
month,Old priority,New priority
1,65672.99448028675,53131.80093333334
2,68894.59820881227,67793.6482375479
3,66910.52939964159,60341.95568996416
4,63781.33029629629,56963.18483333333
5,64962.20565412186,55286.175313620086
6,60857.010583333344,52039.81936111111

Daily orders,priority_5
month,Old priority,New priority
1,5881.1612903225805,5523.0
2,6122.344827586207,6351.758620689655
3,7052.225806451613,5566.225806451613
4,5007.266666666666,4795.2
5,5444.677419354839,6528.709677419355
6,4965.833333333333,5937.666666666667

Eff online rs,priority_5
month,Old priority,New priority
1,9318.548387096776,7691.44
2,9747.793103448275,9611.758620689656
3,9408.612903225809,8565.129032258064
4,9024.8,8114.266666666666
5,9192.387096774191,7836.806451612903
6,8644.766666666666,7427.433333333333

Exposure uv,priority_5
month,Old priority,New priority
1,112683770,75813863
2,97040853,92610856
3,114006692,108690716
4,93854423,87384115
5,113257198,106307723
6,114166437,107603516

Healthy stores,priority_5
month,Old priority,New priority
1,6814.1612903225805,5439.36
2,7140.517241379311,7021.344827586207
3,6942.1612903225805,6265.419354838709
4,6699.9,5930.933333333333
5,6836.419354838709,5736.709677419355
6,6412.0,5410.566666666667

Imperfect orders,priority_5
month,Old priority,New priority
1,4707,3529.0
2,4584,4667.0
3,5711,4602.0
4,3696,3572.0
5,4382,4607.0
6,3749,4001.0

Imperfect order rate,priority_5
month,Old priority,New priority
1,0.0258178108339366,0.0255585732391816
2,0.0258183702435397,0.0253364531137181
3,0.0261230725600245,0.0266700665882366
4,0.0246042418351995,0.024830385941497
5,0.0259620226915898,0.0227629823607885
6,0.025165296190636,0.0224611238982765

Orders per eff online,priority_5
month,Old priority,New priority
1,0.6311241886629165,0.7180709984086205
2,0.6280749665706826,0.6608320986148432
3,0.7495500005142851,0.6498706307269912
4,0.5548340868126348,0.5909591337068867
5,0.5923028873822658,0.833082929600191
6,0.574432315504949,0.7994237578705968

R burn,priority_5
month,Old priority,New priority
1,2775476.72,2350445.87
2,3198723.79,3328374.18
3,5037788.9,3216744.09
4,2877948.78,2925983.66
5,3243655.2,3685135.1
6,2838368.43,2930688.45

R burn gmv,priority_5
month,Old priority,New priority
1,0.061155501,0.071808371
2,0.070900232,0.071572556
3,0.089512844,0.071995674
4,0.074902997,0.081601302
5,0.072623736,0.074470083
6,0.072512893,0.067657893

R burn per order,priority_5
month,Old priority,New priority
1,15.223440180785,17.0229648379504
2,18.0161071372249,18.0692514155732
3,23.043691993834,18.64206411943
4,19.1584815401616,20.3396706428651
5,19.2176745563883,18.2080888383813
6,19.0526493035744,16.4525259641835

Ted,priority_5
month,Old priority,New priority
1,6572082.47,5224050.28
2,6468964.6,6751374.04
3,8624069.45,5969106.21
4,4898089.78,4606708.48
5,5428060.84,6027485.37
6,4710093.81,5024926.85

Ted gmv,priority_5
month,Old priority,New priority
1,0.144810797,0.159599737
2,0.143385651,0.14517992
3,0.153234882,0.133597767
4,0.127480242,0.1284742
5,0.121531431,0.121804852
6,0.120330584,0.116005494

B2c gmv,priority_5
month,Old priority,New priority
1,0.02934519,0.03165732
2,0.03292624,0.03414732
3,0.02295952,0.02162799
4,0.00910611,0.00250279
5,0.00666877,0.00382705
6,0.00405946,0.00207778

B2c per order,priority_5
month,Old priority,New priority
1,7.304898418131,7.504715842839
2,8.366722689076,8.62085314412
3,5.910572091172,5.600203995294
4,2.329136588159,0.623837240018
5,1.76468910152,0.935721577153
6,1.066616076523,0.505259248863

B2c total burn,priority_5
month,Old priority,New priority
1,1331799.86,1036213.64
2,1485494.88,1587969.77
3,1292163.36,966332.0
4,349878.24,89742.73
5,297853.05,189380.69
6,158899.13,90001.83

Bad rating rate,priority_5
month,Old priority,New priority
1,0.0228559204896992,0.0225602027883396
2,0.0228839525086173,0.0223505844159369
3,0.0225826666483699,0.0231291255440357
4,0.0218415902222103,0.0225503281058836
5,0.023657315519744,0.0210978803300558
6,0.0234133243832857,0.0210857239095042

B cancel rate,priority_5
month,Old priority,New priority
1,0.0801092443122241,0.0791284182667291
2,0.074679611065654,0.0717151405645897
3,0.0689514601485678,0.0784460120488131
4,0.077625136663973,0.075718631650835
5,0.0841507136575796,0.068638816709974
6,0.0840580901654266,0.0700696334842309

B p1p2,priority_5
month,Old priority,New priority
1,0.001909210172858,0.002153643061296
2,0.0021599665864437,0.0023391858077631
3,0.0022205714029488,0.0018696997082989
4,0.0018740938826079,0.0019278789972296
5,0.0017833480217301,0.0022104696946617
6,0.0015610805126553,0.0019302064441834

Daily online hours,priority_5
month,Old priority,New priority
1,65672.99448028675,53131.80093333334
2,68894.59820881227,67793.6482375479
3,66910.52939964159,60341.95568996416
4,63781.33029629629,56963.18483333333
5,64962.20565412186,55286.175313620086
6,60857.010583333344,52039.81936111111

Daily orders,priority_5
month,Old priority,New priority
1,5881.1612903225805,5523.0
2,6122.344827586207,6351.758620689655
3,7052.225806451613,5566.225806451613
4,5007.266666666666,4795.2
5,5444.677419354839,6528.709677419355
6,4965.833333333333,5937.666666666667

Eff online rs,priority_5
month,Old priority,New priority
1,9318.548387096776,7691.44
2,9747.793103448275,9611.758620689656
3,9408.612903225809,8565.129032258064
4,9024.8,8114.266666666666
5,9192.387096774191,7836.806451612903
6,8644.766666666666,7427.433333333333

Exposure uv,priority_5
month,Old priority,New priority
1,112683770,75813863
