B2c gmv,Old_1_vs_New_Rs,,,B2c gmv,Old_2_vs_New_1,,,B2c gmv,Old_3_vs_New_2,,,B2c gmv,priority_4,,,B2c gmv,priority_5
month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority
1,12.597413%,12.597413%,,1,3.3451380000000004%,1.100266%,,1,1.80798%,3.340917%,,1,2.344678%,2.427746%,,1,2.934519%,3.165732%
2,14.101632%,14.101632%,,2,2.505122%,4.579171%,,2,3.028189%,2.507461%,,2,2.764868%,2.911507%,,2,3.2926240000000004%,3.4147320000000003%
3,11.873719000000001%,11.873719000000001%,,3,3.215535%,3.287341%,,3,1.585862%,3.2347710000000003%,,3,2.669885%,2.317745%,,3,2.295952%,2.162799%
4,12.775808999999999%,12.775808999999999%,,4,4.409789%,4.799872000000001%,,4,4.807815%,4.615268%,,4,2.109286%,0.8384269999999999%,,4,0.9106110000000001%,0.250279%
5,13.629085%,13.629085%,,5,3.4522280000000003%,3.814451%,,5,2.472452%,2.819813%,,5,1.285787%,0.805531%,,5,0.666877%,0.38270499999999996%
6,13.398822%,13.398822%,,6,3.2793200000000002%,3.5698790000000002%,,6,2.389451%,3.095736%,,6,1.292193%,0.240683%,,6,0.405946%,0.207778%
,,,
B2c per order,Old_1_vs_New_Rs,,,B2c per order,Old_2_vs_New_1,,,B2c per order,Old_3_vs_New_2,,,B2c per order,priority_4,,,B2c per order,priority_5
month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority
1,3225.8725370813004%,3225.8725370813004%,,1,809.2607215342999%,283.91411638980003%,,1,406.1971968709%,809.0965063782%,,1,573.0067508023%,575.2275019696001%,,1,730.4898418130999%,750.4715842839%
2,3517.9874315078996%,3517.9874315078996%,,2,610.5674333095%,1234.1134453782001%,,2,696.7652033606%,611.3295981464%,,2,685.170523128%,746.5727196843%,,2,836.6722689075999%,862.085314412%
3,2955.5403195003%,2955.5403195003%,,3,798.3002403656%,808.9694297581%,,3,379.2494884307%,781.2242969824%,,3,673.4389017705%,602.5993123792999%,,3,591.0572091172%,560.0203995293999%
4,3165.0648265916%,3165.0648265916%,,4,1087.963477414%,1181.8143444364%,,4,1140.9545235572%,1107.4410437915%,,4,523.58305496%,214.1465058813%,,4,232.9136588159%,62.3837240018%
5,3408.9812845631004%,3408.9812845631004%,,5,855.2031854781%,946.0484513512%,,5,616.3942869509001%,682.9738146237%,,5,325.1410332611%,209.8145241404%,,5,176.46891015199998%,93.5721577153%
6,3271.393462956%,3271.393462956%,,6,814.0693754454%,887.6899858955%,,6,600.5517096117%,755.0647144856%,,6,327.53546542600003%,62.65223916790001%,,6,106.66160765229999%,50.5259248863%
,,,
B2c total burn,Old_1_vs_New_Rs,,,B2c total burn,Old_2_vs_New_1,,,B2c total burn,Old_3_vs_New_2,,,B2c total burn,priority_4,,,B2c total burn,priority_5
month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority
