B2c gmv,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.09867473,0.09867473
2,0.1314627,0.1314627
3,0.11122005,0.11122005
4,0.10003063,0.10003063
5,0.08249995,0.08249995
6,0.12942463,0.12942463

B2c per order,Old_1_vs_New_Rs
month,Old priority,New priority
1,3.58545233463,3.58545233463
2,4.858090307248,4.858090307248
3,4.162697530864,4.162697530864
4,3.757215189873,3.757215189873
5,3.057154646573,3.057154646573
6,4.730985237484,4.730985237484

B2c total burn,Old_1_vs_New_Rs
month,Old priority,New priority
1,22115.07,22115.07
2,28619.01,28619.01
3,20230.71,20230.71
4,13653.72,13653.72
5,8520.29,8520.29
6,14741.75,14741.75

Bad rating rate,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.0350194552529182,0.0350194552529182
2,0.0371753522322186,0.0371753522322186
3,0.0440329218106995,0.0440329218106995
4,0.0275178866263071,0.0275178866263071
5,0.0304987441693577,0.0304987441693577
6,0.0365853658536585,0.0365853658536585

B cancel rate,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.071988388969521,0.071988388969521
2,0.0725709112854556,0.0725709112854556
3,0.0769792046698285,0.0769792046698285
4,0.0609124537607891,0.0609124537607891
5,0.0625794155019059,0.0625794155019059
6,0.0399184149184149,0.0399184149184149

B p1p2,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.0054103074240644,0.0054103074240644
2,0.0047954922929091,0.0047954922929091
3,0.0041023887254,0.0041023887254
4,0.0055827633194371,0.0055827633194371
5,0.006795693336742,0.006795693336742
6,0.0083785655305671,0.0083785655305671

Daily online hours,Old_1_vs_New_Rs
month,Old priority,New priority
1,1574.9699283154123,1574.969928315412
2,1616.6553352490423,1616.655335249042
3,1364.5085752688174,1364.5085752688171
4,890.1975000000001,890.1975
5,634.0520519713263,634.0520519713261
6,471.267,471.267

Daily orders,Old_1_vs_New_Rs
month,Old priority,New priority
1,198.96774193548387,198.96774193548387
2,203.1379310344828,203.1379310344828
3,156.7741935483871,156.7741935483871
4,121.13333333333334,121.13333333333334
5,89.90322580645162,89.90322580645162
6,103.86666666666666,103.86666666666666

Eff online rs,Old_1_vs_New_Rs
month,Old priority,New priority
1,240.8709677419355,240.8709677419355
2,238.48275862068965,238.48275862068965
3,195.6129032258065,195.6129032258065
4,128.8,128.8
5,84.7741935483871,84.7741935483871
6,57.23333333333333,57.23333333333333

Exposure uv,Old_1_vs_New_Rs
month,Old priority,New priority
1,1325433,1325433
2,1437183,1437183
3,1391872,1391872
4,741210,741210
5,477214,477214
6,420239,420239

Healthy stores,Old_1_vs_New_Rs
month,Old priority,New priority
1,170.06451612903226,170.06451612903226
2,167.51724137931035,167.51724137931035
3,137.03225806451613,137.03225806451613
4,97.9,97.9
5,69.0,69.0
6,47.23333333333333,47.23333333333333

Imperfect orders,Old_1_vs_New_Rs
month,Old priority,New priority
1,215,215.0
2,200,200.0
3,195,195.0
4,102,102.0
5,86,86.0
6,114,114.0

Imperfect order rate,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.0348573281452658,0.0348573281452658
2,0.0339500933627567,0.0339500933627567
3,0.0401234567901234,0.0401234567901234
4,0.0280682443588332,0.0280682443588332
5,0.0308575529242913,0.0308575529242913
6,0.0365853658536585,0.0365853658536585

Orders per eff online,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.8260345520289273,0.8260345520289273
2,0.851792943898207,0.851792943898207
3,0.8014511873350924,0.8014511873350924
4,0.9404761904761904,0.9404761904761904
5,1.0605022831050228,1.0605022831050228
6,1.8147932440302847,1.8147932440302847

R burn,Old_1_vs_New_Rs
month,Old priority,New priority
1,29556.2,29556.2
2,24448.95,24448.95
3,22702.75,22702.75
4,23117.97,23117.97
5,17536.47,17536.47
6,16263.55,16263.55

R burn gmv,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.131876144,0.131876144
2,0.112307347,0.112307347
3,0.124810299,0.124810299
4,0.169368138,0.169368138
5,0.169801494,0.169801494
6,0.142785214,0.142785214

R burn per order,Old_1_vs_New_Rs
month,Old priority,New priority
1,4.7918612191958,4.7918612191958
2,4.1502206756069,4.1502206756069
3,4.6713477366255,4.6713477366255
4,6.3615767749037,6.3615767749037
5,6.2922389666308,6.2922389666308
6,5.2193677792041,5.2193677792041

Ted,Old_1_vs_New_Rs
month,Old priority,New priority
1,75573.94,75573.94
2,76645.88,76645.88
3,59158.52,59158.52
4,47735.38,47735.38
5,35861.63,35861.63
6,41898.0,41898.0

Ted gmv,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.337201662,0.337201662
2,0.352076282,0.352076282
3,0.325228995,0.325228995
4,0.349721555,0.349721555
5,0.347239686,0.347239686
6,0.367841885,0.367841885

B2c gmv,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.09867473,0.09867473
2,0.1314627,0.1314627
3,0.11122005,0.11122005
4,0.10003063,0.10003063
5,0.08249995,0.08249995
6,0.12942463,0.12942463

B2c per order,Old_1_vs_New_Rs
month,Old priority,New priority
1,3.58545233463,3.58545233463
2,4.858090307248,4.858090307248
3,4.162697530864,4.162697530864
4,3.757215189873,3.757215189873
5,3.057154646573,3.057154646573
6,4.730985237484,4.730985237484

B2c total burn,Old_1_vs_New_Rs
month,Old priority,New priority
1,22115.07,22115.07
2,28619.01,28619.01
3,20230.71,20230.71
4,13653.72,13653.72
5,8520.29,8520.29
6,14741.75,14741.75

Bad rating rate,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.0350194552529182,0.0350194552529182
2,0.0371753522322186,0.0371753522322186
3,0.0440329218106995,0.0440329218106995
4,0.0275178866263071,0.0275178866263071
5,0.0304987441693577,0.0304987441693577
6,0.0365853658536585,0.0365853658536585

B cancel rate,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.071988388969521,0.071988388969521
2,0.0725709112854556,0.0725709112854556
3,0.0769792046698285,0.0769792046698285
4,0.0609124537607891,0.0609124537607891
5,0.0625794155019059,0.0625794155019059
6,0.0399184149184149,0.0399184149184149

B p1p2,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.0054103074240644,0.0054103074240644
2,0.0047954922929091,0.0047954922929091
3,0.0041023887254,0.0041023887254
4,0.0055827633194371,0.0055827633194371
5,0.006795693336742,0.006795693336742
6,0.0083785655305671,0.0083785655305671

Daily online hours,Old_1_vs_New_Rs
month,Old priority,New priority
1,1574.9699283154123,1574.969928315412
2,1616.6553352490423,1616.655335249042
3,1364.5085752688174,1364.5085752688171
4,890.1975000000001,890.1975
5,634.0520519713263,634.0520519713261
6,471.267,471.267

Daily orders,Old_1_vs_New_Rs
month,Old priority,New priority
1,198.96774193548387,198.96774193548387
2,203.1379310344828,203.1379310344828
3,156.7741935483871,156.7741935483871
4,121.13333333333334,121.13333333333334
5,89.90322580645162,89.90322580645162
6,103.86666666666666,103.86666666666666

Eff online rs,Old_1_vs_New_Rs
month,Old priority,New priority
1,240.8709677419355,240.8709677419355
2,238.48275862068965,238.48275862068965
3,195.6129032258065,195.6129032258065
4,128.8,128.8
5,84.7741935483871,84.7741935483871
6,57.23333333333333,57.23333333333333

