Exposure uv,priority_5
month,Old priority,New priority
1,5501943,3168305
2,6403187,6094408
3,6901632,6623618
4,5702456,4764494
5,4944474,4110515
6,4981674,4326442

B p1p2,priority_5
month,Old priority,New priority
1,0.001689221425958,0.0020919703122016
2,0.001454744332783,0.001600483590859
3,0.0015586168604758,0.0016099962286472
4,0.0017267998209894,0.0016329121203636
5,0.0020794931877485,0.002017265476467
6,0.0022145166464124,0.0020573487406048

Imperfect orders,priority_5
month,Old priority,New priority
1,231,160.0
2,223,247.0
3,276,253.0
4,232,201.0
5,219,185.0
6,273,202.0

Orders per eff online,priority_5
month,Old priority,New priority
1,0.3074980654095222,0.3682546229463119
2,0.3240573735291591,0.3548286465528767
3,0.3587009209888512,0.3719025797691785
4,0.308080808080808,0.2868105082603593
5,0.312490571730276,0.2992427698202718
6,0.3657759761747187,0.333160694947973

Ted gmv,priority_5
month,Old priority,New priority
1,0.257691788,0.299169856
2,0.256914575,0.272677816
3,0.266258636,0.262127435
4,0.232515011,0.231490033
5,0.255061287,0.238802379
6,0.255089992,0.225466808

Bad rating rate,priority_5
month,Old priority,New priority
1,0.035364238410596,0.035654284114243
2,0.0296846011131725,0.0306455664405928
3,0.0309684684684684,0.030690245293782
4,0.0299730853927085,0.0286433742524394
5,0.0322230267921795,0.0320121951219512
6,0.0315503788307135,0.0296777840587902

Exposure uv,priority_5
month,Old priority,New priority
1,5501943,3168305
2,6403187,6094408
3,6901632,6623618
4,5702456,4764494
5,4944474,4110515
6,4981674,4326442

B p1p2,priority_5
month,Old priority,New priority
1,0.001689221425958,0.0020919703122016
2,0.001454744332783,0.001600483590859
3,0.0015586168604758,0.0016099962286472
4,0.0017267998209894,0.0016329121203636
5,0.0020794931877485,0.002017265476467
6,0.0022145166464124,0.0020573487406048

Imperfect orders,priority_5
month,Old priority,New priority
1,231,160.0
2,223,247.0
3,276,253.0
4,232,201.0
5,219,185.0
6,273,202.0

Orders per eff online,priority_5
month,Old priority,New priority
1,0.3074980654095222,0.3682546229463119
2,0.3240573735291591,0.3548286465528767
3,0.3587009209888512,0.3719025797691785
4,0.308080808080808,0.2868105082603593
5,0.312490571730276,0.2992427698202718
6,0.3657759761747187,0.333160694947973

Ted gmv,priority_5
month,Old priority,New priority
1,0.257691788,0.299169856
2,0.256914575,0.272677816
3,0.266258636,0.262127435
4,0.232515011,0.231490033
5,0.255061287,0.238802379
6,0.255089992,0.225466808

Bad rating rate,priority_5
month,Old priority,New priority
1,0.035364238410596,0.035654284114243
2,0.0296846011131725,0.0306455664405928
3,0.0309684684684684,0.030690245293782
4,0.0299730853927085,0.0286433742524394
5,0.0322230267921795,0.0320121951219512
6,0.0315503788307135,0.0296777840587902

Exposure uv,priority_5
month,Old priority,New priority
1,5501943,3168305
2,6403187,6094408
3,6901632,6623618
4,5702456,4764494
5,4944474,4110515
6,4981674,4326442

B p1p2,priority_5
month,Old priority,New priority
1,0.001689221425958,0.0020919703122016
2,0.001454744332783,0.001600483590859
3,0.0015586168604758,0.0016099962286472
4,0.0017267998209894,0.0016329121203636
5,0.0020794931877485,0.002017265476467
6,0.0022145166464124,0.0020573487406048

Imperfect orders,priority_5
month,Old priority,New priority
1,231,160.0
2,223,247.0
3,276,253.0
4,232,201.0
5,219,185.0
6,273,202.0

Orders per eff online,priority_5
month,Old priority,New priority
1,0.3074980654095222,0.3682546229463119
2,0.3240573735291591,0.3548286465528767
3,0.3587009209888512,0.3719025797691785
4,0.308080808080808,0.2868105082603593
5,0.312490571730276,0.2992427698202718
6,0.3657759761747187,0.333160694947973

Ted gmv,priority_5
month,Old priority,New priority
1,0.257691788,0.299169856
2,0.256914575,0.272677816
3,0.266258636,0.262127435
4,0.232515011,0.231490033
5,0.255061287,0.238802379
6,0.255089992,0.225466808

Bad rating rate,priority_5
month,Old priority,New priority
1,0.035364238410596,0.035654284114243
2,0.0296846011131725,0.0306455664405928
3,0.0309684684684684,0.030690245293782
4,0.0299730853927085,0.0286433742524394
5,0.0322230267921795,0.0320121951219512
6,0.0315503788307135,0.0296777840587902

B2c gmv,priority_5
month,Old priority,New priority
1,0.03023295,0.0435293
2,0.04742926,0.04669427
3,0.05752654,0.05988597
4,0.02368466,0.01166954
5,0.03733529,0.01904401
6,0.0188091,0.00524533

B2c per order,priority_5
month,Old priority,New priority
1,1.246964238411,1.800849355983
2,1.924883381924,1.916165536297
3,2.399725225225,2.464142612664
4,0.92328358209,0.44519515266
5,1.489260197924,0.734847560976
6,0.731336650458,0.196661955907

B2c total burn,priority_5
month,Old priority,New priority
1,9414.58,9647.15
2,14525.17,15256.51
3,21309.56,21598.21
4,7546.92,2828.77
5,12340.01,4820.6
6,6467.21,1391.58

Bad rating rate,priority_5
month,Old priority,New priority
1,0.035364238410596,0.035654284114243
2,0.0296846011131725,0.0306455664405928
3,0.0309684684684684,0.030690245293782
4,0.0299730853927085,0.0286433742524394
5,0.0322230267921795,0.0320121951219512
6,0.0315503788307135,0.0296777840587902

B cancel rate,priority_5
month,Old priority,New priority
1,0.066230677764566,0.0677909500751377
2,0.0685660243527603,0.0636763214245463
3,0.0597544891954955,0.0597245065789473
4,0.0500718470211119,0.0554067390384886
5,0.0612700776513136,0.0660201912858661
6,0.0579405583908736,0.0552292890166187

B p1p2,priority_5
month,Old priority,New priority
1,0.001689221425958,0.0020919703122016
2,0.001454744332783,0.001600483590859
3,0.0015586168604758,0.0016099962286472
4,0.0017267998209894,0.0016329121203636
5,0.0020794931877485,0.002017265476467
6,0.0022145166464124,0.0020573487406048

Daily online hours,priority_5
month,Old priority,New priority
1,5844.530824372761,4107.117311111111
2,5910.337404214561,5727.454224137931
3,5883.1574551971335,5520.461227598566
4,6518.716157407408,5342.989490740741
5,6344.851388888889,5159.6440053763445
6,6020.059064814815,5208.569962962964

Daily orders,priority_5
month,Old priority,New priority
1,243.5483870967742,214.28
2,260.2068965517241,274.55172413793105
3,286.4516129032258,282.741935483871
4,272.46666666666664,211.8
5,267.2903225806452,211.6129032258065
6,294.76666666666665,235.86666666666667

Eff online rs,priority_5
month,Old priority,New priority
1,792.0322580645161,581.88
2,802.9655172413793,773.7586206896551
3,798.5806451612904,760.258064516129
4,884.4,738.4666666666667
5,855.3548387096774,707.1612903225806
6,805.8666666666667,707.9666666666667

Exposure uv,priority_5
month,Old priority,New priority
1,5501943,3168305
2,6403187,6094408
3,6901632,6623618
4,5702456,4764494
5,4944474,4110515
6,4981674,4326442

Healthy stores,priority_5
month,Old priority,New priority
1,562.6774193548387,412.64
2,574.9655172413793,555.2758620689655
3,578.741935483871,550.258064516129
4,640.4,528.1
5,630.6451612903226,519.3870967741935
6,598.9666666666667,518.7

Imperfect orders,priority_5
month,Old priority,New priority
