B2c gmv,Old_1_vs_New_Rs,,,B2c gmv,Old_2_vs_New_1,,,B2c gmv,Old_3_vs_New_2,,,B2c gmv,priority_4,,,B2c gmv,priority_5
month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority
1,9.867473%,9.867473%,,1,8.594028%,3.7932859999999997%,,1,5.2893669999999995%,8.531286%,,1,5.824565000000001%,6.1425849999999995%,,1,3.023295%,4.35293%
2,13.14627%,13.14627%,,2,6.450091%,7.0436369999999995%,,2,5.325499000000001%,6.4891820000000004%,,2,5.454772%,5.04576%,,2,4.742926%,4.669427000000001%
3,11.122005%,11.122005%,,3,6.670139%,6.976465%,,3,8.328447%,6.095898%,,3,6.666694%,6.947722000000001%,,3,5.752654%,5.9885969999999995%
4,10.003063%,10.003063%,,4,7.080023000000001%,6.892548%,,4,4.925321%,5.614662%,,4,4.911722999999999%,2.733219%,,4,2.368466%,1.166954%
5,8.249995%,8.249995%,,5,7.828684%,7.32791%,,5,3.6539330000000003%,4.002982%,,5,4.380585%,5.629496%,,5,3.733529%,1.904401%
6,12.942463000000002%,12.942463000000002%,,6,7.3620779999999995%,7.152239000000001%,,6,4.656383%,6.050842%,,6,5.202269%,0.748888%,,6,1.8809099999999999%,0.524533%
,,,
B2c per order,Old_1_vs_New_Rs,,,B2c per order,Old_2_vs_New_1,,,B2c per order,Old_3_vs_New_2,,,B2c per order,priority_4,,,B2c per order,priority_5
month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority
1,358.545233463%,358.545233463%,,1,385.070853359%,149.7067404427%,,1,227.5622641509%,381.8263885667%,,1,253.61965381910002%,262.61242126850004%,,1,124.6964238411%,180.0849355983%
2,485.80903072480004%,485.80903072480004%,,2,271.4165733831%,269.3561497326%,,2,221.3395805444%,272.8463145423%,,2,228.24021990740002%,199.15322104019998%,,2,192.48833819240002%,191.6165536297%
3,416.26975308640004%,416.26975308640004%,,3,285.5284276918%,303.0235536674%,,3,369.0833333333%,269.5075966851%,,3,291.1973720081%,286.3465642894%,,3,239.97252252250001%,246.4142612664%
4,375.7215189873%,375.7215189873%,,4,294.6545794393%,290.8088685015%,,4,194.139375%,232.912723449%,,4,208.46832013340003%,110.8213058419%,,4,92.328358209%,44.519515266%
5,305.7154646573%,305.7154646573%,,5,320.9126452454%,302.49279353960003%,,5,145.0503738686%,166.1853850549%,,5,185.79449582680002%,239.665140974%,,5,148.9260197924%,73.4847560976%
6,473.0985237484%,473.0985237484%,,6,300.7356972586%,295.92253916420003%,,6,197.03134182169998%,257.76779416019997%,,6,222.23653706320002%,30.0764846479%,,6,73.1336650458%,19.6661955907%
,,,
B2c total burn,Old_1_vs_New_Rs,,,B2c total burn,Old_2_vs_New_1,,,B2c total burn,Old_3_vs_New_2,,,B2c total burn,priority_4,,,B2c total burn,priority_5
month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority
1,2211507.0%,2211507.0%,,1,18027092.0%,297617.0%,,1,361824.0%,16457481.0%,,1,5040437.0%,1792855.0%,,1,941458.0%,964715.0%
2,2861901.0%,2861901.0%,,2,8728757.0%,251848.0%,,2,496022.0%,8750727.0%,,2,3943991.0000000005%,1347869.0%,,2,1452517.0%,1525651.0%
3,2023071.0%,2023071.0%,,3,9506669.0%,9700390.0%,,3,1173685.0%,3512223.0000000005%,,3,5340851.0%,2200287.0%,,3,2130956.0%,2159821.0%
4,1365372.0%,1365372.0%,,4,8670211.0%,9129072.0%,,4,310623.0%,3544000.0%,,4,4000924.0%,451485.99999999994%,,4,754692.0%,282877.0%
5,852029.0000000001%,852029.0000000001%,,5,10826309.0%,11312323.0%,,5,368573.0%,2617586.0%,,5,4118135.0%,1309051.0%,,5,1234001.0%,482060.00000000006%
6,1474175.0%,1474175.0%,,6,11101959.0%,11598388.0%,,6,402338.0%,4458094.0%,,6,5195668.0%,163586.0%,,6,646721.0%,139158.0%
,,,
Bad rating rate,Old_1_vs_New_Rs,,,Bad rating rate,Old_2_vs_New_1,,,Bad rating rate,Old_3_vs_New_2,,,Bad rating rate,priority_4,,,Bad rating rate,priority_5
month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority
1,3.50194552529182%,3.50194552529182%,,1,2.4094841396988103%,3.5211267605633796%,,1,3.39622641509433%,2.38736021530323%,,1,2.89825903190097%,3.3543284019334902%,,1,3.5364238410596003%,3.5654284114243%
2,3.71753522322186%,3.71753522322186%,,2,2.20771144278606%,2.88770053475935%,,2,3.43596608656849%,2.21065103517086%,,2,3.0266203703703702%,2.89598108747044%,,2,2.96846011131725%,3.06455664405928%
3,4.403292181069951%,4.403292181069951%,,3,2.39675626971016%,2.29289016618767%,,3,3.0188679245283%,3.2688766114180403%,,3,2.9496755902077303%,2.7980218636127%,,3,3.09684684684684%,3.0690245293782%
4,2.7517886626307098%,2.7517886626307098%,,4,2.11384876805437%,2.1183741080529996%,,4,1.9375%,2.89826498422712%,,4,2.79804085035431%,2.72459499263622%,,4,2.99730853927085%,2.86433742524394%
5,3.04987441693577%,3.04987441693577%,,5,2.0393644771164303%,2.16594914030537%,,5,2.91223927587563%,2.69824138149958%,,5,2.76110985788405%,2.7828634199926703%,,5,3.22230267921795%,3.20121951219512%
6,3.65853658536585%,3.65853658536585%,,6,2.17520858164481%,2.23503597489411%,,6,3.42801175318315%,2.95461115929459%,,6,2.86581975276957%,2.94171722743151%,,6,3.1550378830713504%,2.96777840587902%
,,,
B cancel rate,Old_1_vs_New_Rs,,,B cancel rate,Old_2_vs_New_1,,,B cancel rate,Old_3_vs_New_2,,,B cancel rate,priority_4,,,B cancel rate,priority_5
month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority
1,7.1988388969521%,7.1988388969521%,,1,0.81115755493937%,6.703397612488519%,,1,6.647727272727271%,0.8022111365781299%,,1,2.72351347497504%,3.14042786615469%,,1,6.623067776456599%,6.779095007513771%
2,7.257091128545561%,7.257091128545561%,,2,1.00419664268585%,8.128544423440449%,,2,5.69696969696969%,1.01313772059044%,,2,2.9259803121770798%,3.10507346825616%,,2,6.85660243527603%,6.36763214245463%
3,7.69792046698285%,7.69792046698285%,,3,0.9554416746286799%,0.83260430178889%,,3,5.7323015190599%,2.86882306533744%,,3,2.54627262501278%,3.4478586982821198%,,3,5.97544891954955%,5.97245065789473%
4,6.09124537607891%,6.09124537607891%,,4,0.94942903752039%,0.95037281505928%,,4,5.12820512820512%,2.9830674246592%,,4,2.4886546625676997%,2.58877434135166%,,4,5.00718470211119%,5.54067390384886%
5,6.257941550190591%,6.257941550190591%,,5,0.93835674514569%,1.1678497824593501%,,5,6.705439616832019%,3.2630903041270196%,,5,2.57368376857838%,2.52172431419321%,,5,6.12700776513136%,6.60201912858661%
6,3.9918414918414897%,3.9918414918414897%,,6,0.85808069059988%,1.05659460772407%,,6,5.2470485351989495%,3.0375444745366598%,,6,2.64738422633159%,3.06707111560498%,,6,5.79405583908736%,5.52292890166187%
,,,
B p1p2,Old_1_vs_New_Rs,,,B p1p2,Old_2_vs_New_1,,,B p1p2,Old_3_vs_New_2,,,B p1p2,priority_4,,,B p1p2,priority_5
month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority
1,0.54103074240644%,0.54103074240644%,,1,1.28883451404943%,0.5162396673916%,,1,0.63093756758366%,1.2927314345754%,,1,0.61868415321833%,0.62949804497548%,,1,0.16892214259580002%,0.20919703122015998%
2,0.47954922929091%,0.47954922929091%,,2,1.40821530615379%,0.41472322856308996%,,2,0.7134566441981%,1.43503083201638%,,2,0.61462091616344%,0.49831995352680997%,,2,0.1454744332783%,0.16004835908589998%
3,0.41023887253999997%,0.41023887253999997%,,3,1.52315716892846%,1.69462398251123%,,3,0.82572308340132%,0.7229367326358099%,,3,0.64498109315916%,0.67656603099734%,,3,0.15586168604758%,0.16099962286472%
4,0.5582763319437101%,0.5582763319437101%,,4,1.98345529748647%,1.85094472821816%,,4,0.64160565929094%,0.86264172549951%,,4,0.8374013021828899%,0.48344782960142996%,,4,0.17267998209894%,0.16329121203636%
5,0.6795693336742%,0.6795693336742%,,5,2.01500881209788%,1.85060780036101%,,5,0.66993201489443%,0.86767205255099%,,5,0.94190840706633%,0.6802585975748999%,,5,0.20794931877484998%,0.20172654764669998%
6,0.83785655305671%,0.83785655305671%,,6,1.8664975590228199%,1.70731903302142%,,6,0.58434348005571%,0.96412346873107%,,6,0.9226848524417399%,0.7070036717502%,,6,0.22145166464124%,0.20573487406047997%
,,,
Daily online hours,Old_1_vs_New_Rs,,,Daily online hours,Old_2_vs_New_1,,,Daily online hours,Old_3_vs_New_2,,,Daily online hours,priority_4,,,Daily online hours,priority_5
month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority
1,157496.99283154123%,157496.9928315412%,,1,119678.14068100358%,42804.018817204305%,,1,30048.742831541214%,109536.09318996411%,,1,258075.335125448%,115050.22222222223%,,1,584453.0824372761%,410711.7311111111%
2,161665.53352490423%,161665.5335249042%,,2,115804.55172413793%,27909.800766283523%,,2,35013.28544061303%,112047.09674329504%,,2,262479.8534482758%,128501.89463601532%,,2,591033.740421456%,572745.4224137932%
3,136450.85752688174%,136450.8575268817%,,3,114016.21594982078%,92136.35304659497%,,3,38303.74551971325%,164237.65412186383%,,3,256047.00985663084%,97146.36738351252%,,3,588315.7455197134%,552046.1227598566%
4,89019.75000000001%,89019.75%,,4,77414.15092592592%,99039.17870370371%,,4,40289.28611111112%,195219.71203703704%,,4,241737.38703703706%,106111.20000000003%,,4,651871.6157407408%,534298.949074074%
5,63405.20519713262%,63405.205197132615%,,5,67297.41935483871%,97631.00448028672%,,5,58560.18458781362%,218666.80107526886%,,5,225082.89964157704%,86262.81720430109%,,5,634485.1388888889%,515964.40053763444%
6,47126.7%,47126.7%,,6,75687.31851851851%,108505.7037037037%,,6,50715.89814814815%,185356.4990740741%,,6,236043.70092592595%,80242.13333333333%,,6,602005.9064814815%,520856.9962962964%
,,,
Daily orders,Old_1_vs_New_Rs,,,Daily orders,Old_2_vs_New_1,,,Daily orders,Old_3_vs_New_2,,,Daily orders,priority_4,,,Daily orders,priority_5
month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority
1,19896.774193548386%,19896.774193548386%,,1,151016.12903225806%,6412.903225806451%,,1,5129.032258064516%,139038.70967741936%,,1,64109.67741935484%,27308.0%,,1,24354.83870967742%,21428.0%
2,20313.79310344828%,20313.79310344828%,,2,110896.55172413793%,3224.137931034483%,,2,7727.5862068965525%,110593.10344827586%,,2,59586.206896551725%,23337.931034482757%,,2,26020.689655172413%,27455.172413793105%
3,15677.41935483871%,15677.41935483871%,,3,107403.2258064516%,103264.51612903229%,,3,10258.064516129032%,42038.709677419356%,,3,59164.51612903226%,24787.09677419355%,,3,28645.16129032258%,28274.1935483871%
4,12113.333333333334%,12113.333333333334%,,4,98083.33333333334%,104640.00000000001%,,4,5333.333333333334%,50720.0%,,4,63973.333333333336%,13580.000000000002%,,4,27246.666666666664%,21180.0%
5,8990.322580645161%,8990.322580645161%,,5,108825.80645161291%,120635.48387096771%,,5,8196.774193548386%,50809.67741935484%,,5,71500.0%,17619.354838709678%,,5,26729.03225806452%,21161.290322580648%
6,10386.666666666666%,10386.666666666666%,,6,123053.33333333333%,130646.66666666667%,,6,6806.666666666666%,57650.0%,,6,77930.0%,18130.0%,,6,29476.666666666664%,23586.666666666668%
,,,
Eff online rs,Old_1_vs_New_Rs,,,Eff online rs,Old_2_vs_New_1,,,Eff online rs,Old_3_vs_New_2,,,Eff online rs,priority_4,,,Eff online rs,priority_5
month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority
1,24087.09677419355%,24087.09677419355%,,1,12577.41935483871%,6122.58064516129%,,1,5254.8387096774195%,11345.16129032258%,,1,31741.93548387097%,14940.0%,,1,79203.2258064516%,58188.0%
2,23848.275862068964%,23848.275862068964%,,2,12351.724137931036%,4268.9655172413795%,,2,5979.310344827586%,11948.275862068964%,,2,32827.58620689655%,15162.068965517241%,,2,80296.55172413793%,77375.8620689655%
3,19561.290322580648%,19561.290322580648%,,3,12248.387096774193%,9783.870967741936%,,3,6329.032258064516%,22190.32258064516%,,3,32141.93548387097%,11203.225806451612%,,3,79858.06451612903%,76025.80645161291%
4,12880.000000000002%,12880.000000000002%,,4,8206.666666666666%,10376.666666666668%,,4,6800.0%,26106.666666666668%,,4,29076.666666666664%,12770.0%,,4,88440.0%,73846.66666666667%
5,8477.41935483871%,8477.41935483871%,,5,7112.903225806451%,10767.741935483871%,,5,9164.516129032258%,29203.225806451617%,,5,26983.870967741932%,9674.193548387097%,,5,85535.48387096774%,70716.12903225806%
6,5723.333333333333%,5723.333333333333%,,6,8006.666666666666%,11930.0%,,6,7753.333333333333%,24040.0%,,6,28483.333333333332%,9506.666666666666%,,6,80586.66666666667%,70796.66666666667%
,,,
Exposure uv,Old_1_vs_New_Rs,,,Exposure uv,Old_2_vs_New_1,,,Exposure uv,Old_3_vs_New_2,,,Exposure uv,priority_4,,,Exposure uv,priority_5
month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority
1,1325433,1325433,,1,3889871,447854,,1,319049,3570966,,1,3696555,1259575,,1,5501943,3168305
2,1437183,1437183,,2,2441175,270783,,2,375636,2388102,,2,3254201,1563052,,2,6403187,6094408
3,1391872,1391872,,3,2332064,2001742,,3,455964,2091331,,3,3258080,1299208,,3,6901632,6623618
4,741210,741210,,4,1571500,1804646,,4,316082,2036419,,4,2618219,967426,,4,5702456,4764494
5,477214,477214,,5,1787883,2177771,,5,504081,2135830,,5,2692937,906273,,5,4944474,4110515
6,420239,420239,,6,2138283,2488990,,6,452987,2100872,,6,2916272,899571,,6,4981674,4326442
,,,
Healthy stores,Old_1_vs_New_Rs,,,Healthy stores,Old_2_vs_New_1,,,Healthy stores,Old_3_vs_New_2,,,Healthy stores,priority_4,,,Healthy stores,priority_5
month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority
1,17006.451612903227%,17006.451612903227%,,1,11422.58064516129%,4974.193548387097%,,1,3890.3225806451615%,10370.967741935485%,,1,26080.645161290322%,11872.0%,,1,56267.741935483864%,41264.0%
2,16751.724137931036%,16751.724137931036%,,2,11358.620689655172%,3403.448275862069%,,2,4682.758620689656%,10986.206896551725%,,2,26793.103448275862%,12606.896551724138%,,2,57496.55172413793%,55527.58620689654%
3,13703.225806451614%,13703.225806451614%,,3,10896.774193548388%,8629.032258064517%,,3,4832.258064516129%,17819.354838709678%,,3,26112.90322580645%,9325.806451612903%,,3,57874.1935483871%,55025.8064516129%
4,9790.0%,9790.0%,,4,7500.0%,9183.333333333332%,,4,5406.666666666667%,21566.666666666664%,,4,24233.33333333333%,10360.0%,,4,64040.0%,52810.0%
5,6900.0%,6900.0%,,5,6519.354838709677%,9512.903225806453%,,5,7022.58064516129%,23290.32258064516%,,5,22974.19354838709%,8161.290322580645%,,5,63064.51612903226%,51938.709677419356%
6,4723.333333333333%,4723.333333333333%,,6,7216.666666666667%,10533.333333333332%,,6,6160.0%,19996.666666666668%,,6,23946.666666666668%,7823.333333333333%,,6,59896.66666666667%,51870.00000000001%
,,,
Imperfect orders,Old_1_vs_New_Rs,,,Imperfect orders,Old_2_vs_New_1,,,Imperfect orders,Old_3_vs_New_2,,,Imperfect orders,priority_4,,,Imperfect orders,priority_5
month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority
1,215,21500.0%,,1,1109,7100.0%,,1,55,101100.0%,,1,552,21200.0%,,1,231,16000.0%
2,200,20000.0%,,2,685,3300.0%,,2,80,69100.0%,,2,515,19500.0%,,2,223,24700.0%
3,195,19500.0%,,3,806,72100.0%,,3,108,43700.0%,,3,526,23700.0%,,3,276,25300.0%
4,102,10200.0%,,4,631,67100.0%,,4,46,41000.0%,,4,526,11900.0%,,4,232,20100.0%
5,86,8600.0%,,5,728,85900.0%,,5,70,38900.0%,,5,602,15300.0%,,5,219,18500.0%
6,114,11400.0%,,6,810,86000.0%,,6,60,46500.0%,,6,604,16400.0%,,6,273,20200.0%
,,,
Imperfect order rate,Old_1_vs_New_Rs,,,Imperfect order rate,Old_2_vs_New_1,,,Imperfect order rate,Old_3_vs_New_2,,,Imperfect order rate,priority_4,,,Imperfect order rate,priority_5
month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority
1,3.48573281452658%,3.48573281452658%,,1,2.36889885720388%,3.57142857142857%,,1,3.4591194968553403%,2.34559881212008%,,1,2.7774982389051%,3.1053171231873398%,,1,3.05960264900662%,2.98674631323501%
2,3.39500933627567%,3.39500933627567%,,2,2.1299751243781%,3.52941176470588%,,2,3.5698348951361%,2.15452731354452%,,2,2.98032407407407%,2.88120567375886%,,2,2.95520805724887%,3.10223561919115%
3,4.0123456790123395%,4.0123456790123395%,,3,2.4207839014866996%,2.2522803948519297%,,3,3.39622641509433%,3.3532842234499602%,,3,2.8678916089635202%,3.08433107756376%,,3,3.1081081081081%,2.88648031945236%
