B2c gmv,Old_1_vs_New_Rs
month,Old priority,New priority
1,,0.08992438
2,,0.09340141
3,,0.07650469
4,0.14817976,0.08177983
5,0.07374734,0.06866391

B2c per order,Old_1_vs_New_Rs
month,Old priority,New priority
1,,3741.343183
2,,3888.266328
3,,3274.4602
4,5861.9315,3279.097596
5,2902.772278,2699.098888

B2c total burn,Old_1_vs_New_Rs
month,Old priority,New priority
1,,45330114.0
2,,52864869.0
3,,64542885.0
4,45611689.0,65349136.0
5,64920502.0,68918791.0

Bad rating rate,Old_1_vs_New_Rs
month,Old priority,New priority
1,,0.04291845494
2,,0.03839364519
3,,0.04149967023
4,0.03033029174,0.03427166441
5,0.02745361055,0.02960758205

B cancel rate,Old_1_vs_New_Rs
month,Old priority,New priority
1,,0.04225352113
2,,0.04161591555
3,,0.04727390241
4,0.03772266853,0.03493810179
5,0.02867783985,0.02911107889

B p1p2,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.0,0.005887552897
2,0.0,0.006194527184
3,0.0,0.005320645251
4,0.005492202291,0.005955787562
5,0.006402006394,0.007001691804

Daily online hours,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.0,1833.302312
2,0.0,2496.231868
3,0.0,3056.949695
4,968.1468981,2873.053769
5,2320.194319,2648.697482

Daily orders,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.0,390.8387097
2,0.0,468.8275862
3,0.0,635.8387097
4,259.3666667,664.3
5,721.4516129,823.6774194

Exposure uv,Old_1_vs_New_Rs
month,Old priority,New priority
1,406285,2326943
2,345059,2490747
3,408993,4340451
4,1657987,3936675
5,3968912,4141142

Healthy stores,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.0,201.4516129
2,0.0,274.6896552
3,0.0,342.3548387
4,101.7,319.6666667
5,249.3225806,286.5806452

Imperfect orders,Old_1_vs_New_Rs
month,Old priority,New priority
1,,492.0
2,,532.0
3,,834.0
4,254.0,687.0
5,624.0,746.0

Orders per eff online,Old_1_vs_New_Rs
month,Old priority,New priority
1,,1.508841843
2,,1.370840895
3,,1.510074312
4,2.004379186,1.70347893
5,2.333333333,2.318322135

R burn,Old_1_vs_New_Rs
month,Old priority,New priority
1,,76729850.0
2,,99493615.0
3,,171610734.0
4,35191535.0,138764774.0
5,153393431.0,178515305.0

