B2c gmv,Old_2_vs_New_1
month,Old priority,New priority
1,0.0395543,0.0408289
2,0.03824366,0.03949262
3,0.03780883,0.03906951
4,0.04496405,0.04472646
5,0.04483866,0.04280897

B2c per order,Old_2_vs_New_1
month,Old priority,New priority
1,1822.404023,1895.433978
2,1734.23488,1819.438528
3,1763.092806,1846.649629
4,2070.873311,2093.408154
5,2062.720658,1996.672081

B2c total burn,Old_2_vs_New_1
month,Old priority,New priority
1,463202253.0,336687833.0
2,400459113.0,327424338.0
3,478000906.0,391607907.0
4,577376046.0,432341119.0
5,652572621.0,463195976.0

Bad rating rate,Old_2_vs_New_1
month,Old priority,New priority
1,0.02980670493,0.02806942482
2,0.02703170877,0.02740068571
3,0.02866311344,0.02911856798
4,0.02903790422,0.02959932212
5,0.02880533561,0.02898906821

B cancel rate,Old_2_vs_New_1
month,Old priority,New priority
1,0.01063286543,0.009039100753
2,0.008790768859,0.007121979996
3,0.008814527359,0.00686448084
4,0.008161199074,0.006061896124
5,0.006930839967,0.005156514907

B p1p2,Old_2_vs_New_1
month,Old priority,New priority
1,0.0127684912,0.01409278352
2,0.01216006335,0.01339204102
3,0.01195549924,0.01309426117
4,0.01227245195,0.01318564015
5,0.01190154554,0.01277564579

Daily online hours,Old_2_vs_New_1
month,Old priority,New priority
1,5213.580932,2850.768584
2,5160.888573,3093.27249
3,5255.907796,3122.311219
4,5368.987963,3189.752519
5,5339.300681,3181.725116

Daily orders,Old_2_vs_New_1
month,Old priority,New priority
1,8199.064516,5730.032258
2,7962.551724,6205.482759
3,8745.645161,6840.774194
4,9293.6,6884.166667
5,10205.32258,7483.354839

Exposure uv,Old_2_vs_New_1
month,Old priority,New priority
1,21634741,13649752
2,20554087,14484872
3,24694410,17569758
4,24825031,17089121
5,28836927,19671804

Healthy stores,Old_2_vs_New_1
month,Old priority,New priority
1,558.2258065,298.5483871
2,558.2758621,324.2068966
3,565.0,326.0
4,581.7333333,335.4666667
5,579.0,334.8709677

Imperfect orders,Old_2_vs_New_1
month,Old priority,New priority
1,7474.0,4933.0
2,6204.0,4855.0
3,7590.0,5965.0
4,7589.0,5646.0
5,8253.0,6026.0

Orders per eff online,Old_2_vs_New_1
month,Old priority,New priority
1,13.58549361,17.7559976
2,13.42055097,18.0482399
3,14.53232204,19.77286713
4,15.1197397,19.47430457
5,16.75218427,21.22646171

R burn,Old_2_vs_New_1
month,Old priority,New priority
1,3317179171.0,2412744723.0
2,2866749780.0,2428656477.0
3,3508495874.0,2955727966.0
4,3585542997.0,2848235530.0
5,4077733684.0,3198321224.0

R burn gmv,Old_2_vs_New_1
month,Old priority,New priority
1,0.283264366,0.292584743
2,0.273773299,0.292934866
