B2c gmv,priority_4
month,Old priority,New priority
1,0.01698183,0.01400512
2,0.019027,0.01527228
3,0.02302534,0.0182731
4,0.02008359,0.01482541
5,0.02197914,0.0130791

B2c per order,priority_4
month,Old priority,New priority
1,135.872094,114.532961
2,159.1600314,129.372549
3,196.1770978,158.6894642
4,169.6880032,125.6305035
5,185.2432693,109.8866083

B2c total burn,priority_4
month,Old priority,New priority
1,3109297.0,1045915.0
2,3246228.0,1049082.0
3,4103044.0,1403767.0
4,3435673.0,1032934.0
5,3839352.0,877994.0

Bad rating rate,priority_4
month,Old priority,New priority
1,0.02735535745,0.03120893561
2,0.02368111394,0.0247872734
3,0.02529285202,0.02814831562
4,0.02350965575,0.02444660667
5,0.02518575702,0.02478097622

B cancel rate,priority_4
month,Old priority,New priority
1,0.02778808493,0.02522055008
2,0.02806985039,0.02378441711
3,0.02696842391,0.02422293676
4,0.02593875831,0.02211928199
5,0.02439579446,0.02596639643

B p1p2,priority_4
month,Old priority,New priority
1,0.008102606234,0.005874285882
2,0.007791267944,0.005770052095
3,0.007608485065,0.005702796233
4,0.008437749398,0.006279242566
5,0.008146965246,0.006008106963

Daily online hours,priority_4
month,Old priority,New priority
1,2272.406765,1218.039418
2,2419.136523,1299.766389
3,2321.327294,1292.954023
4,2491.332324,1388.164287
5,2514.005833,1490.77853

Daily orders,priority_4
month,Old priority,New priority
1,738.1935484,294.5806452
2,703.3103448,279.6206897
3,674.6774194,285.3548387
4,674.9,274.0666667
5,668.5806452,257.7419355

Exposure uv,priority_4
month,Old priority,New priority
1,3186629,1772641
2,2954333,1610904
3,3117572,1771061
4,2691476,1477726
5,2869903,1532263

Healthy stores,priority_4
month,Old priority,New priority
1,221.516129,111.9032258
2,237.3793103,117.7931034
3,226.2258065,116.0645161
4,242.4666667,126.6
5,245.7419355,137.483871

Imperfect orders,priority_4
month,Old priority,New priority
1,616.0,260.0
2,513.0,203.0
3,524.0,230.0
4,511.0,189.0
5,515.0,198.0

Orders per eff online,priority_4
month,Old priority,New priority
1,3.017007251,2.361520559
2,2.709351753,2.099145742
3,2.684852375,2.157560976
4,2.509854965,1.915210808
5,2.485727992,1.677866443

R burn,priority_4
month,Old priority,New priority
1,27537098.0,8609041.0
2,24271802.0,7513508.0
3,25115189.0,8784939.0
4,25924539.0,8282409.0
5,26930515.0,8282065.0

R burn gmv,priority_4
month,Old priority,New priority
1,0.15039744,0.115277652
2,0.142263409,0.109379809
3,0.140940647,0.114355238
4,0.15154464,0.118875063
5,0.154169106,0.123374393

R burn per order,priority_4
month,Old priority,New priority
1,1203.33412,942.7333552
2,1190.027554,926.5640646
3,1200.82185,993.0973321
4,1280.413839,1007.347239
5,1299.359018,1036.553817

Ted,priority_4
month,Old priority,New priority
1,39201313.0,13335116.0
2,35534820.0,12044996.0
3,37036502.0,13852672.0
4,36881807.0,12584619.0
5,39378051.0,12745795.0

Ted gmv,priority_4
month,Old priority,New priority
1,0.214103066,0.17856122
2,0.208278916,0.175348101
3,0.207840306,0.180322892
4,0.215596512,0.18062346
5,0.225427509,0.189868676

Bad rating rate,priority_4
month,Old priority,New priority
1,0.02735535745,0.03120893561
2,0.02368111394,0.0247872734
3,0.02529285202,0.02814831562
4,0.02350965575,0.02444660667
5,0.02518575702,0.02478097622

B cancel rate,priority_4
month,Old priority,New priority
1,0.02778808493,0.02522055008
2,0.02806985039,0.02378441711
3,0.02696842391,0.02422293676
4,0.02593875831,0.02211928199
5,0.02439579446,0.02596639643

B p1p2,priority_4
month,Old priority,New priority
1,0.008102606234,0.005874285882
2,0.007791267944,0.005770052095
3,0.007608485065,0.005702796233
4,0.008437749398,0.006279242566
5,0.008146965246,0.006008106963

Daily online hours,priority_4
month,Old priority,New priority
1,2272.406765,1218.039418
2,2419.136523,1299.766389
3,2321.327294,1292.954023
4,2491.332324,1388.164287
5,2514.005833,1490.77853

Daily orders,priority_4
month,Old priority,New priority
1,738.1935484,294.5806452
2,703.3103448,279.6206897
3,674.6774194,285.3548387
4,674.9,274.0666667
5,668.5806452,257.7419355

Exposure uv,priority_4
month,Old priority,New priority
1,3186629,1772641
2,2954333,1610904
3,3117572,1771061
4,2691476,1477726
5,2869903,1532263

Healthy stores,priority_4
month,Old priority,New priority
1,221.516129,111.9032258
2,237.3793103,117.7931034
3,226.2258065,116.0645161
4,242.4666667,126.6
5,245.7419355,137.483871

Imperfect orders,priority_4
month,Old priority,New priority
1,616.0,260.0
2,513.0,203.0
3,524.0,230.0
4,511.0,189.0
5,515.0,198.0

Orders per eff online,priority_4
month,Old priority,New priority
1,3.017007251,2.361520559
2,2.709351753,2.099145742
3,2.684852375,2.157560976
4,2.509854965,1.915210808
5,2.485727992,1.677866443

Ted gmv,priority_4
month,Old priority,New priority
1,0.214103066,0.17856122
2,0.208278916,0.175348101
3,0.207840306,0.180322892
4,0.215596512,0.18062346
5,0.225427509,0.189868676

Bad rating rate,priority_4
month,Old priority,New priority
1,0.02735535745,0.03120893561
2,0.02368111394,0.0247872734
3,0.02529285202,0.02814831562
4,0.02350965575,0.02444660667
5,0.02518575702,0.02478097622

B cancel rate,priority_4
month,Old priority,New priority
1,0.02778808493,0.02522055008
2,0.02806985039,0.02378441711
3,0.02696842391,0.02422293676
4,0.02593875831,0.02211928199
5,0.02439579446,0.02596639643

B p1p2,priority_4
month,Old priority,New priority
1,0.008102606234,0.005874285882
2,0.007791267944,0.005770052095
3,0.007608485065,0.005702796233
4,0.008437749398,0.006279242566
5,0.008146965246,0.006008106963

Daily orders,priority_4
month,Old priority,New priority
1,738.1935484,294.5806452
2,703.3103448,279.6206897
3,674.6774194,285.3548387
4,674.9,274.0666667
5,668.5806452,257.7419355

Exposure uv,priority_4
month,Old priority,New priority
1,3186629,1772641
2,2954333,1610904
3,3117572,1771061
4,2691476,1477726
5,2869903,1532263

Healthy stores,priority_4
month,Old priority,New priority
1,221.516129,111.9032258
2,237.3793103,117.7931034
3,226.2258065,116.0645161
4,242.4666667,126.6
5,245.7419355,137.483871

Imperfect orders,priority_4
month,Old priority,New priority
1,616.0,260.0
2,513.0,203.0
3,524.0,230.0
4,511.0,189.0
5,515.0,198.0

Orders per eff online,priority_4
month,Old priority,New priority
1,3.017007251,2.361520559
2,2.709351753,2.099145742
3,2.684852375,2.157560976
4,2.509854965,1.915210808
5,2.485727992,1.677866443

Ted gmv,priority_4
month,Old priority,New priority
1,0.214103066,0.17856122
2,0.208278916,0.175348101
3,0.207840306,0.180322892
4,0.215596512,0.18062346
5,0.225427509,0.189868676

Bad rating rate,priority_4
month,Old priority,New priority
1,0.02735535745,0.03120893561
2,0.02368111394,0.0247872734
3,0.02529285202,0.02814831562
4,0.02350965575,0.02444660667
5,0.02518575702,0.02478097622

B cancel rate,priority_4
month,Old priority,New priority
1,0.02778808493,0.02522055008
2,0.02806985039,0.02378441711
3,0.02696842391,0.02422293676
4,0.02593875831,0.02211928199
5,0.02439579446,0.02596639643

B p1p2,priority_4
month,Old priority,New priority
1,0.008102606234,0.005874285882
2,0.007791267944,0.005770052095
3,0.007608485065,0.005702796233
4,0.008437749398,0.006279242566
5,0.008146965246,0.006008106963

Daily orders,priority_4
month,Old priority,New priority
1,738.1935484,294.5806452
2,703.3103448,279.6206897
3,674.6774194,285.3548387
4,674.9,274.0666667
5,668.5806452,257.7419355

Exposure uv,priority_4
month,Old priority,New priority
1,3186629,1772641
2,2954333,1610904
3,3117572,1771061
4,2691476,1477726
5,2869903,1532263

Healthy stores,priority_4
month,Old priority,New priority
1,221.516129,111.9032258
2,237.3793103,117.7931034
3,226.2258065,116.0645161
4,242.4666667,126.6
5,245.7419355,137.483871

Imperfect orders,priority_4
month,Old priority,New priority
1,616.0,260.0
2,513.0,203.0
