B2c gmv,Old_1_vs_New_Rs
month,Old priority,New priority
1,,0.12597413
2,,0.14101632
3,,0.11873719
4,0.2238641,0.12775809
5,0.15035879,0.13629085

B2c per order,Old_1_vs_New_Rs
month,Old priority,New priority
1,,32.25872537
2,,35.17987432
3,,29.5554032
4,58.27390641,31.65064827
5,37.73261896,34.08981285

B2c total burn,Old_1_vs_New_Rs
month,Old priority,New priority
1,,2198786.98
2,,2272830.96
3,,2630844.66
4,1912724.43,3160348.88
5,4106705.05,4315088.51

Bad rating rate,Old_1_vs_New_Rs
month,Old priority,New priority
1,,0.02329778026
2,,0.0245023682
3,,0.02341204754
4,0.02476921671,0.02426615657
5,0.02545090364,0.02539105704

B cancel rate,Old_1_vs_New_Rs
month,Old priority,New priority
1,,0.02571907288
2,,0.02934885413
3,,0.02933736916
4,0.02679651933,0.0248382185
5,0.02632834526,0.02627102204

B p1p2,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.0,0.007853255519
2,0.0,0.00748329947
3,0.0,0.00801962556
4,0.004928616633,0.009016595936
5,0.00646399815,0.008465111728

Daily online hours,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.0,6062.451658
2,0.0,6961.306571
3,0.0,8192.263504
4,2638.537944,8692.251056
5,7254.420977,8797.669919

Daily orders,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.0,2198.741935
2,0.0,2227.793103
3,0.0,2871.419355
4,1094.1,3328.366667
5,3510.870968,4083.225806

Exposure uv,Old_1_vs_New_Rs
month,Old priority,New priority
1,4084141,9380823
2,3195205,9522003
3,3815397,12114406
4,7195934,11957506
5,18233452,16209473

Healthy stores,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.0,637.0322581
2,0.0,715.6206897
3,0.0,873.1290323
4,265.0666667,956.6
5,779.2258065,956.483871

Imperfect orders,Old_1_vs_New_Rs
month,Old priority,New priority
1,,1906
2,,1847
3,,2408
4,915.0,2698
5,2958.0,3445

Orders per eff online,Old_1_vs_New_Rs
month,Old priority,New priority
1,,2.575806817
2,,2.264176071
3,,2.475843462
4,2.877443675,2.686766764
5,3.391934428,3.239743032

R burn,Old_1_vs_New_Rs
month,Old priority,New priority
1,,1531966.19
2,,1420217.7
3,,2242189.24
4,550325.74,2567979.01
5,2771264.32,3329448.38

R burn gmv,Old_1_vs_New_Rs
month,Old priority,New priority
1,,0.087770262
2,,0.088116485
3,,0.101196111
4,0.064409788,0.103811352
5,0.101464299,0.105159682

R burn per order,Old_1_vs_New_Rs
month,Old priority,New priority
1,,22.47570003
2,,21.98275238
3,,25.18917519
4,16.76646681,25.71811008
5,25.46252028,26.30311566

Ted,Old_1_vs_New_Rs
month,Old priority,New priority
1,,4644552.7
2,,4367281.58
3,,5754800.14
4,2842427.87,6883281.89
5,8193332.38,9169967.71

Ted gmv,Old_1_vs_New_Rs
month,Old priority,New priority
1,,0.266098306
2,,0.270965151
3,,0.259729814
4,0.332676022,0.278258815
5,0.299982473,0.289630828

Bad rating rate,Old_1_vs_New_Rs
month,Old priority,New priority
1,,0.02329778026
2,,0.0245023682
3,,0.02341204754
4,0.02476921671,0.02426615657
5,0.02545090364,0.02539105704

B cancel rate,Old_1_vs_New_Rs
month,Old priority,New priority
1,,0.02571907288
2,,0.02934885413
3,,0.02933736916
4,0.02679651933,0.0248382185
5,0.02632834526,0.02627102204

B p1p2,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.0,0.007853255519
2,0.0,0.00748329947
3,0.0,0.00801962556
4,0.004928616633,0.009016595936
5,0.00646399815,0.008465111728

Daily online hours,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.0,6062.451658
2,0.0,6961.306571
3,0.0,8192.263504
4,2638.537944,8692.251056
5,7254.420977,8797.669919

Daily orders,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.0,2198.741935
2,0.0,2227.793103
3,0.0,2871.419355
4,1094.1,3328.366667
5,3510.870968,4083.225806

Exposure uv,Old_1_vs_New_Rs
month,Old priority,New priority
1,4084141,9380823
2,3195205,9522003
3,3815397,12114406
4,7195934,11957506
5,18233452,16209473

Healthy stores,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.0,637.0322581
2,0.0,715.6206897
3,0.0,873.1290323
4,265.0666667,956.6
5,779.2258065,956.483871

Imperfect orders,Old_1_vs_New_Rs
month,Old priority,New priority
1,,1906
2,,1847
3,,2408
4,915.0,2698
5,2958.0,3445

Orders per eff online,Old_1_vs_New_Rs
month,Old priority,New priority
1,,2.575806817
2,,2.264176071
3,,2.475843462
4,2.877443675,2.686766764
5,3.391934428,3.239743032

Ted gmv,Old_1_vs_New_Rs
month,Old priority,New priority
1,,0.266098306
2,,0.270965151
3,,0.259729814
4,0.332676022,0.278258815
5,0.299982473,0.289630828

Bad rating rate,Old_1_vs_New_Rs
month,Old priority,New priority
1,,0.02329778026
2,,0.0245023682
3,,0.02341204754
4,0.02476921671,0.02426615657
5,0.02545090364,0.02539105704

B cancel rate,Old_1_vs_New_Rs
month,Old priority,New priority
1,,0.02571907288
2,,0.02934885413
3,,0.02933736916
4,0.02679651933,0.0248382185
5,0.02632834526,0.02627102204

B p1p2,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.0,0.007853255519
2,0.0,0.00748329947
3,0.0,0.00801962556
4,0.004928616633,0.009016595936
5,0.00646399815,0.008465111728

Daily orders,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.0,2198.741935
2,0.0,2227.793103
3,0.0,2871.419355
4,1094.1,3328.366667
5,3510.870968,4083.225806

Exposure uv,Old_1_vs_New_Rs
month,Old priority,New priority
1,4084141,9380823
2,3195205,9522003
3,3815397,12114406
4,7195934,11957506
5,18233452,16209473

Healthy stores,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.0,637.0322581
2,0.0,715.6206897
3,0.0,873.1290323
4,265.0666667,956.6
5,779.2258065,956.483871

Imperfect orders,Old_1_vs_New_Rs
month,Old priority,New priority
1,,1906
2,,1847
3,,2408
4,915.0,2698
5,2958.0,3445

Orders per eff online,Old_1_vs_New_Rs
month,Old priority,New priority
1,,2.575806817
2,,2.264176071
3,,2.475843462
4,2.877443675,2.686766764
5,3.391934428,3.239743032

Ted gmv,Old_1_vs_New_Rs
month,Old priority,New priority
1,,0.266098306
2,,0.270965151
3,,0.259729814
4,0.332676022,0.278258815
5,0.299982473,0.289630828

Bad rating rate,Old_1_vs_New_Rs
month,Old priority,New priority
1,,0.02329778026
2,,0.0245023682
3,,0.02341204754
4,0.02476921671,0.02426615657
5,0.02545090364,0.02539105704

B cancel rate,Old_1_vs_New_Rs
month,Old priority,New priority
1,,0.02571907288
2,,0.02934885413
3,,0.02933736916
4,0.02679651933,0.0248382185
5,0.02632834526,0.02627102204

B p1p2,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.0,0.007853255519
2,0.0,0.00748329947
3,0.0,0.00801962556
4,0.004928616633,0.009016595936
5,0.00646399815,0.008465111728

Daily orders,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.0,2198.741935
2,0.0,2227.793103
3,0.0,2871.419355
4,1094.1,3328.366667
5,3510.870968,4083.225806

Exposure uv,Old_1_vs_New_Rs
month,Old priority,New priority
1,4084141,9380823
2,3195205,9522003
3,3815397,12114406
4,7195934,11957506
5,18233452,16209473

Healthy stores,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.0,637.0322581
2,0.0,715.6206897
3,0.0,873.1290323
4,265.0666667,956.6
5,779.2258065,956.483871

Imperfect orders,Old_1_vs_New_Rs
month,Old priority,New priority
1,,1906
2,,1847
3,,2408
4,915.0,2698
5,2958.0,3445

Orders per eff online,Old_1_vs_New_Rs
month,Old priority,New priority
1,,2.575806817
2,,2.264176071
3,,2.475843462
4,2.877443675,2.686766764
5,3.391934428,3.239743032

Ted gmv,Old_1_vs_New_Rs
month,Old priority,New priority
1,,0.266098306
2,,0.270965151
3,,0.259729814
4,0.332676022,0.278258815
5,0.299982473,0.289630828




