B2c gmv,Old_3_vs_New_2
month,Old priority,New priority
1,0.05774542,0.02879274
2,0.07026995,0.02392623
3,0.06544388,0.02729858
4,0.03932463,0.04509272
5,0.02778521,0.02831894

B2c per order,Old_3_vs_New_2
month,Old priority,New priority
1,13.38011363,6.716832868
2,17.0404915,5.662765602
3,16.15703157,6.619362745
4,9.690486169,10.85457436
5,6.899114448,6.860072182

B2c total burn,Old_3_vs_New_2
month,Old priority,New priority
1,505152.81,3851700.64
2,578643.97,3037263.97
3,374148.38,3753973.0
4,80925.25,6202564.3
5,98319.28,4425020.96

Bad rating rate,Old_3_vs_New_2
month,Old priority,New priority
1,0.02209037453,0.01643240792
2,0.02297022705,0.01626528599
3,0.02452822041,0.01693821413
4,0.02706262723,0.01640288122
5,0.02168268893,0.01785005581

B cancel rate,Old_3_vs_New_2
month,Old priority,New priority
1,0.03817132712,0.02166566355
2,0.03658936775,0.02112886367
3,0.04793362432,0.02358208554
4,0.08684965178,0.02265739685
5,0.0564516129,0.02263008916

B p1p2,Old_3_vs_New_2
month,Old priority,New priority
1,0.00752877742,0.013050279
2,0.006480204065,0.01238241546
3,0.004575306415,0.01283020357
4,0.002533853827,0.01309189837
5,0.003346491823,0.01242084788

Daily online hours,Old_3_vs_New_2
month,Old priority,New priority
1,2158.613925,22419.01139
2,3084.784713,25048.28661
3,3297.223862,25117.02002
4,2963.231472,26434.22273
5,2913.227975,27093.2311

Daily orders,Old_3_vs_New_2
month,Old priority,New priority
1,1217.870968,18498.06452
2,1170.931034,18495.06897
3,747.0,18294.19355
4,278.3666667,19047.46667
5,459.7096774,20807.74194

Exposure uv,Old_3_vs_New_2
month,Old priority,New priority
1,5440724,47286422
2,5782071,46858628
3,5708033,47805321
4,4027462,47054826
5,4903045,56314191

Healthy stores,Old_3_vs_New_2
month,Old priority,New priority
1,248.0967742,2892.064516
2,348.4827586,3218.068966
3,374.5806452,3199.258065
4,339.7666667,3367.0
5,334.3225806,3456.483871

Imperfect orders,Old_3_vs_New_2
month,Old priority,New priority
1,1032.0,11486
2,968.0,10794
3,691.0,11961
4,237.0,11347
5,376.0,13212

Orders per eff online,Old_3_vs_New_2
month,Old priority,New priority
1,3.756616915,5.489617936
2,2.640307908,4.965900674
3,1.605004159,4.919927128
4,0.6663209128,4.880920451
5,1.124161868,5.172029475

R burn,Old_3_vs_New_2
month,Old priority,New priority
1,976088.81,15464276.39
2,864073.25,14211323.45
3,542381.92,15595567.04
4,177016.06,16503298.42
5,394407.85,20244232.49

R burn gmv,Old_3_vs_New_2
month,Old priority,New priority
1,0.111579427,0.115600601
2,0.104932194,0.111950547
3,0.094870323,0.113409649
4,0.086018771,0.119979177
5,0.111460378,0.129557631

R burn per order,Old_3_vs_New_2
month,Old priority,New priority
1,25.85391773,26.96755788
2,25.44610095,26.49601562
3,23.42194239,27.49958922
4,21.19698958,28.88100328
5,27.6758017,31.38446064

Ted,Old_3_vs_New_2
month,Old priority,New priority
1,1934107.93,26118404.87
2,1773400.34,22172252.76
3,1143136.12,24738830.43
4,357844.97,28620451.89
5,650560.43,31281662.74

Ted gmv,Old_3_vs_New_2
month,Old priority,New priority
1,0.221093258,0.19524375
2,0.21535997,0.174663242
3,0.199950789,0.17989869
4,0.17389035,0.208071028
5,0.183849565,0.20019421

Bad rating rate,Old_3_vs_New_2
month,Old priority,New priority
1,0.02209037453,0.01643240792
2,0.02297022705,0.01626528599
3,0.02452822041,0.01693821413
4,0.02706262723,0.01640288122
5,0.02168268893,0.01785005581

B cancel rate,Old_3_vs_New_2
month,Old priority,New priority
1,0.03817132712,0.02166566355
2,0.03658936775,0.02112886367
3,0.04793362432,0.02358208554
4,0.08684965178,0.02265739685
5,0.0564516129,0.02263008916

B p1p2,Old_3_vs_New_2
month,Old priority,New priority
1,0.00752877742,0.013050279
2,0.006480204065,0.01238241546
3,0.004575306415,0.01283020357
4,0.002533853827,0.01309189837
5,0.003346491823,0.01242084788

Daily online hours,Old_3_vs_New_2
month,Old priority,New priority
1,2158.613925,22419.01139
2,3084.784713,25048.28661
3,3297.223862,25117.02002
4,2963.231472,26434.22273
5,2913.227975,27093.2311

Daily orders,Old_3_vs_New_2
month,Old priority,New priority
1,1217.870968,18498.06452
2,1170.931034,18495.06897
3,747.0,18294.19355
4,278.3666667,19047.46667
5,459.7096774,20807.74194

Exposure uv,Old_3_vs_New_2
month,Old priority,New priority
1,5440724,47286422
2,5782071,46858628
3,5708033,47805321
4,4027462,47054826
5,4903045,56314191

Healthy stores,Old_3_vs_New_2
month,Old priority,New priority
1,248.0967742,2892.064516
2,348.4827586,3218.068966
3,374.5806452,3199.258065
4,339.7666667,3367.0
5,334.3225806,3456.483871

Imperfect orders,Old_3_vs_New_2
month,Old priority,New priority
1,1032.0,11486
2,968.0,10794
3,691.0,11961
4,237.0,11347
5,376.0,13212

Orders per eff online,Old_3_vs_New_2
month,Old priority,New priority
1,3.756616915,5.489617936
2,2.640307908,4.965900674
3,1.605004159,4.919927128
4,0.6663209128,4.880920451
5,1.124161868,5.172029475

Ted gmv,Old_3_vs_New_2
month,Old priority,New priority
1,0.221093258,0.19524375
2,0.21535997,0.174663242
3,0.199950789,0.17989869
4,0.17389035,0.208071028
5,0.183849565,0.20019421

Bad rating rate,Old_3_vs_New_2
month,Old priority,New priority
1,0.02209037453,0.01643240792
2,0.02297022705,0.01626528599
3,0.02452822041,0.01693821413
4,0.02706262723,0.01640288122
5,0.02168268893,0.01785005581

B cancel rate,Old_3_vs_New_2
month,Old priority,New priority
1,0.03817132712,0.02166566355
2,0.03658936775,0.02112886367
3,0.04793362432,0.02358208554
4,0.08684965178,0.02265739685
5,0.0564516129,0.02263008916

B p1p2,Old_3_vs_New_2
month,Old priority,New priority
1,0.00752877742,0.013050279
2,0.006480204065,0.01238241546
3,0.004575306415,0.01283020357
4,0.002533853827,0.01309189837
5,0.003346491823,0.01242084788

Daily orders,Old_3_vs_New_2
month,Old priority,New priority
1,1217.870968,18498.06452
2,1170.931034,18495.06897
3,747.0,18294.19355
4,278.3666667,19047.46667
5,459.7096774,20807.74194

Exposure uv,Old_3_vs_New_2
month,Old priority,New priority
1,5440724,47286422
2,5782071,46858628
3,5708033,47805321
4,4027462,47054826
5,4903045,56314191

Healthy stores,Old_3_vs_New_2
month,Old priority,New priority
1,248.0967742,2892.064516
2,348.4827586,3218.068966
3,374.5806452,3199.258065
4,339.7666667,3367.0
5,334.3225806,3456.483871

Imperfect orders,Old_3_vs_New_2
month,Old priority,New priority
1,1032.0,11486
2,968.0,10794
3,691.0,11961
4,237.0,11347
5,376.0,13212

Orders per eff online,Old_3_vs_New_2
month,Old priority,New priority
1,3.756616915,5.489617936
2,2.640307908,4.965900674
3,1.605004159,4.919927128
4,0.6663209128,4.880920451
5,1.124161868,5.172029475

Ted gmv,Old_3_vs_New_2
month,Old priority,New priority
1,0.221093258,0.19524375
2,0.21535997,0.174663242
3,0.199950789,0.17989869
4,0.17389035,0.208071028
5,0.183849565,0.20019421

Bad rating rate,Old_3_vs_New_2
month,Old priority,New priority
1,0.02209037453,0.01643240792
2,0.02297022705,0.01626528599
3,0.02452822041,0.01693821413
4,0.02706262723,0.01640288122
5,0.02168268893,0.01785005581

B cancel rate,Old_3_vs_New_2
month,Old priority,New priority
1,0.03817132712,0.02166566355
2,0.03658936775,0.02112886367
3,0.04793362432,0.02358208554
4,0.08684965178,0.02265739685
5,0.0564516129,0.02263008916

B p1p2,Old_3_vs_New_2
month,Old priority,New priority
1,0.00752877742,0.013050279
2,0.006480204065,0.01238241546
3,0.004575306415,0.01283020357
4,0.002533853827,0.01309189837
5,0.003346491823,0.01242084788

Daily orders,Old_3_vs_New_2
month,Old priority,New priority
1,1217.870968,18498.06452
2,1170.931034,18495.06897
3,747.0,18294.19355
4,278.3666667,19047.46667
5,459.7096774,20807.74194

Exposure uv,Old_3_vs_New_2
month,Old priority,New priority
1,5440724,47286422
2,5782071,46858628
3,5708033,47805321
4,4027462,47054826
5,4903045,56314191

Healthy stores,Old_3_vs_New_2
month,Old priority,New priority
1,248.0967742,2892.064516
2,348.4827586,3218.068966
3,374.5806452,3199.258065
4,339.7666667,3367.0
5,334.3225806,3456.483871

Imperfect orders,Old_3_vs_New_2
month,Old priority,New priority
1,1032.0,11486
2,968.0,10794
3,691.0,11961
4,237.0,11347
5,376.0,13212

Orders per eff online,Old_3_vs_New_2
month,Old priority,New priority
1,3.756616915,5.489617936
2,2.640307908,4.965900674
3,1.605004159,4.919927128
4,0.6663209128,4.880920451
5,1.124161868,5.172029475

Ted gmv,Old_3_vs_New_2
month,Old priority,New priority
1,0.221093258,0.19524375
2,0.21535997,0.174663242
3,0.199950789,0.17989869
4,0.17389035,0.208071028
5,0.183849565,0.20019421




