B2c gmv,priority_5
month,Old priority,New priority
1,0.03488418,0.02498974
2,0.0390299,0.03094858
3,0.02874343,0.0212082
4,0.00657488,0.00637876
5,0.00690361,0.00390007

B2c per order,priority_5
month,Old priority,New priority
1,8.900271166,6.028450547
2,10.14394023,7.611382459
3,7.661980366,5.299402891
4,1.717351392,1.535738744
5,1.825917854,0.9529076689

B2c total burn,priority_5
month,Old priority,New priority
1,2488578.12,1592734.72
2,2249530.33,1613605.47
3,1560163.09,986467.95
4,240341.61,267485.76
5,311410.29,193850.96

Bad rating rate,priority_5
month,Old priority,New priority
1,0.02377980523,0.02217991469
2,0.0238139258,0.02114632616
3,0.02479079087,0.02132185853
4,0.02323703635,0.01933124347
5,0.02371152155,0.02108823139

B cancel rate,priority_5
month,Old priority,New priority
1,0.06905069006,0.06596584886
2,0.07229309253,0.06769651703
3,0.08038097232,0.07498844331
4,0.08660599653,0.06741053332
5,0.08399006912,0.06857567146

B p1p2,priority_5
month,Old priority,New priority
1,0.002561284795,0.002607829044
2,0.002486764052,0.002552605153
3,0.002072534364,0.00206547409
4,0.001784880394,0.002228236195
5,0.001867954699,0.002218751672

Daily online hours,priority_5
month,Old priority,New priority
1,75764.70619,61219.00174
2,76487.84043,61469.03646
3,71870.47928,56540.37896
4,67693.56875,55742.29981
5,65554.7216,55274.52712

Daily orders,priority_5
month,Old priority,New priority
1,9019.580645,8522.677419
2,7646.931034,7310.310345
3,6568.516129,6004.741935
4,4664.966667,5805.8
5,5501.612903,6562.290323

Exposure uv,priority_5
month,Old priority,New priority
1,126614971,116406787
2,104627940,96537453
3,115701821,105062078
4,93753621,89969367
5,109214640,106446793

Healthy stores,priority_5
month,Old priority,New priority
1,7929.516129,6364.516129
2,8001.551724,6369.655172
3,7534.83871,5848.225806
4,7139.366667,5802.466667
5,6904.322581,5735.548387

Imperfect orders,priority_5
month,Old priority,New priority
1,7519.0,6557
2,5924.0,5028
3,5761.0,4500
4,3598.0,3780
5,4422.0,4596

Orders per eff online,priority_5
month,Old priority,New priority
1,0.8393254346,0.9709561715
2,0.7029030755,0.8278268272
3,0.6435183283,0.7416865223
4,0.484713828,0.7304455041
5,0.5925516724,0.8376230612

R burn,priority_5
month,Old priority,New priority
1,5467951.31,4810004.87
2,4075642.38,3569242.97
3,3722253.77,2956237.98
4,2294321.08,3029697.57
5,3286825.46,3706739.98

R burn gmv,priority_5
month,Old priority,New priority
1,0.076648187,0.075468154
2,0.070713383,0.068457249
3,0.068576392,0.063556524
4,0.062764342,0.072249498
5,0.072865202,0.074575589

R burn per order,priority_5
month,Old priority,New priority
1,19.55584556,18.20571632
2,18.37853536,16.83613116
3,18.28003462,15.88120131
4,16.39397981,17.39466034
5,19.27191709,18.22111664

Ted,priority_5
month,Old priority,New priority
1,11751910.01,9783313.82
2,8602339.94,7231363.95
3,7411145.99,5746080.92
4,4101753.55,5113683.06
5,5505497.14,6059674.79

Ted gmv,priority_5
month,Old priority,New priority
1,0.164734934,0.153498521
2,0.149252683,0.138695876
3,0.136538153,0.123535701
4,0.112209169,0.121946507
5,0.122050643,0.121914085

Bad rating rate,priority_5
month,Old priority,New priority
1,0.02377980523,0.02217991469
2,0.0238139258,0.02114632616
3,0.02479079087,0.02132185853
4,0.02323703635,0.01933124347
5,0.02371152155,0.02108823139

B cancel rate,priority_5
month,Old priority,New priority
1,0.06905069006,0.06596584886
2,0.07229309253,0.06769651703
3,0.08038097232,0.07498844331
4,0.08660599653,0.06741053332
5,0.08399006912,0.06857567146

B p1p2,priority_5
month,Old priority,New priority
1,0.002561284795,0.002607829044
2,0.002486764052,0.002552605153
3,0.002072534364,0.00206547409
4,0.001784880394,0.002228236195
5,0.001867954699,0.002218751672

Daily online hours,priority_5
month,Old priority,New priority
1,75764.70619,61219.00174
2,76487.84043,61469.03646
3,71870.47928,56540.37896
4,67693.56875,55742.29981
5,65554.7216,55274.52712

Daily orders,priority_5
month,Old priority,New priority
1,9019.580645,8522.677419
2,7646.931034,7310.310345
3,6568.516129,6004.741935
4,4664.966667,5805.8
5,5501.612903,6562.290323

Exposure uv,priority_5
month,Old priority,New priority
1,126614971,116406787
2,104627940,96537453
3,115701821,105062078
4,93753621,89969367
5,109214640,106446793

Healthy stores,priority_5
month,Old priority,New priority
1,7929.516129,6364.516129
2,8001.551724,6369.655172
3,7534.83871,5848.225806
4,7139.366667,5802.466667
5,6904.322581,5735.548387

Imperfect orders,priority_5
month,Old priority,New priority
1,7519.0,6557
2,5924.0,5028
3,5761.0,4500
4,3598.0,3780
5,4422.0,4596

Orders per eff online,priority_5
month,Old priority,New priority
1,0.8393254346,0.9709561715
2,0.7029030755,0.8278268272
3,0.6435183283,0.7416865223
4,0.484713828,0.7304455041
5,0.5925516724,0.8376230612

Ted gmv,priority_5
month,Old priority,New priority
1,0.164734934,0.153498521
2,0.149252683,0.138695876
3,0.136538153,0.123535701
4,0.112209169,0.121946507
5,0.122050643,0.121914085

Bad rating rate,priority_5
month,Old priority,New priority
1,0.02377980523,0.02217991469
2,0.0238139258,0.02114632616
3,0.02479079087,0.02132185853
4,0.02323703635,0.01933124347
5,0.02371152155,0.02108823139

B cancel rate,priority_5
month,Old priority,New priority
1,0.06905069006,0.06596584886
2,0.07229309253,0.06769651703
3,0.08038097232,0.07498844331
4,0.08660599653,0.06741053332
5,0.08399006912,0.06857567146

B p1p2,priority_5
month,Old priority,New priority
1,0.002561284795,0.002607829044
2,0.002486764052,0.002552605153
3,0.002072534364,0.00206547409
4,0.001784880394,0.002228236195
5,0.001867954699,0.002218751672

Daily orders,priority_5
month,Old priority,New priority
1,9019.580645,8522.677419
2,7646.931034,7310.310345
3,6568.516129,6004.741935
4,4664.966667,5805.8
5,5501.612903,6562.290323

Exposure uv,priority_5
month,Old priority,New priority
1,126614971,116406787
2,104627940,96537453
3,115701821,105062078
4,93753621,89969367
5,109214640,106446793

Healthy stores,priority_5
month,Old priority,New priority
1,7929.516129,6364.516129
2,8001.551724,6369.655172
3,7534.83871,5848.225806
4,7139.366667,5802.466667
5,6904.322581,5735.548387

Imperfect orders,priority_5
month,Old priority,New priority
1,7519.0,6557
2,5924.0,5028
3,5761.0,4500
4,3598.0,3780
5,4422.0,4596

Orders per eff online,priority_5
month,Old priority,New priority
1,0.8393254346,0.9709561715
2,0.7029030755,0.8278268272
3,0.6435183283,0.7416865223
4,0.484713828,0.7304455041
5,0.5925516724,0.8376230612

Ted gmv,priority_5
month,Old priority,New priority
1,0.164734934,0.153498521
2,0.149252683,0.138695876
3,0.136538153,0.123535701
4,0.112209169,0.121946507
5,0.122050643,0.121914085

Bad rating rate,priority_5
month,Old priority,New priority
1,0.02377980523,0.02217991469
2,0.0238139258,0.02114632616
3,0.02479079087,0.02132185853
4,0.02323703635,0.01933124347
5,0.02371152155,0.02108823139

B cancel rate,priority_5
month,Old priority,New priority
1,0.06905069006,0.06596584886
2,0.07229309253,0.06769651703
3,0.08038097232,0.07498844331
4,0.08660599653,0.06741053332
5,0.08399006912,0.06857567146

B p1p2,priority_5
month,Old priority,New priority
1,0.002561284795,0.002607829044
2,0.002486764052,0.002552605153
3,0.002072534364,0.00206547409
4,0.001784880394,0.002228236195
5,0.001867954699,0.002218751672

Daily orders,priority_5
month,Old priority,New priority
1,9019.580645,8522.677419
2,7646.931034,7310.310345
3,6568.516129,6004.741935
4,4664.966667,5805.8
5,5501.612903,6562.290323

Exposure uv,priority_5
month,Old priority,New priority
1,126614971,116406787
2,104627940,96537453
3,115701821,105062078
4,93753621,89969367
5,109214640,106446793

Healthy stores,priority_5
month,Old priority,New priority
1,7929.516129,6364.516129
2,8001.551724,6369.655172
3,7534.83871,5848.225806
4,7139.366667,5802.466667
5,6904.322581,5735.548387

Imperfect orders,priority_5
month,Old priority,New priority
1,7519.0,6557
2,5924.0,5028
3,5761.0,4500
4,3598.0,3780
5,4422.0,4596

Orders per eff online,priority_5
month,Old priority,New priority
1,0.8393254346,0.9709561715
2,0.7029030755,0.8278268272
3,0.6435183283,0.7416865223
4,0.484713828,0.7304455041
5,0.5925516724,0.8376230612

Ted gmv,priority_5
month,Old priority,New priority
1,0.164734934,0.153498521
2,0.149252683,0.138695876
3,0.136538153,0.123535701
4,0.112209169,0.121946507
5,0.122050643,0.121914085




