B2c gmv,Old_1_vs_New_Rs
month,Old priority,New priority
1,,0.09867473
2,,0.1314627
3,,0.11122005
4,0.22463175,0.10003063
5,0.10285823,0.08249995

B2c per order,Old_1_vs_New_Rs
month,Old priority,New priority
1,,3.585452335
2,,4.858090307
3,,4.162697531
4,7.987294686,3.75721519
5,3.776972091,3.057154647

B2c total burn,Old_1_vs_New_Rs
month,Old priority,New priority
1,,22115.07
2,,28619.01
3,,20230.71
4,6613.48,13653.72
5,7172.47,8520.29

Bad rating rate,Old_1_vs_New_Rs
month,Old priority,New priority
1,,0.03501945525
2,,0.03717535223
3,,0.04403292181
4,0.02657004831,0.02751788663
5,0.02948920484,0.03049874417

B cancel rate,Old_1_vs_New_Rs
month,Old priority,New priority
1,,0.07198838897
2,,0.07257091129
3,,0.07697920467
4,0.06451612903,0.06091245376
5,0.07351598174,0.0625794155

B p1p2,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.0,0.005410307424
2,0.0,0.004795492293
3,0.0,0.004102388725
4,0.00365619384,0.005582763319
5,0.00493458827,0.006795693337

Daily online hours,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.0,1574.969928
2,0.0,1616.655335
3,0.0,1364.508575
4,206.3813704,890.1975
5,491.0921057,634.052052

Daily orders,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.0,198.9677419
2,0.0,203.137931
3,0.0,156.7741935
4,27.6,121.1333333
5,61.25806452,89.90322581

Exposure uv,Old_1_vs_New_Rs
month,Old priority,New priority
1,152045,1325433
2,139897,1437183
3,141034,1391872
4,258192,741210
5,457181,477214

Healthy stores,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.0,170.0645161
2,0.0,167.5172414
3,0.0,137.0322581
4,22.3,97.9
5,52.90322581,69.0

Imperfect orders,Old_1_vs_New_Rs
month,Old priority,New priority
1,,215.0
2,,200.0
3,,195.0
4,17.0,102.0
5,58.0,85.0

Orders per eff online,Old_1_vs_New_Rs
month,Old priority,New priority
1,,0.826034552
2,,0.8517929439
3,,0.8014511873
4,0.8752642706,0.9404761905
5,0.9368524914,1.060502283

R burn,Old_1_vs_New_Rs
month,Old priority,New priority
1,,29556.2
2,,24448.95
3,,22702.75
4,1687.69,23117.97
5,9255.16,17536.47

R burn gmv,Old_1_vs_New_Rs
month,Old priority,New priority
1,,0.131876144
2,,0.112307347
3,,0.124810299
4,0.057323642,0.169368138
5,0.13272546,0.169801494

R burn per order,Old_1_vs_New_Rs
month,Old priority,New priority
1,,4.791861219
2,,4.150220676
3,,4.671347737
4,2.038272947,6.361576775
5,4.873701948,6.292238967

Ted,Old_1_vs_New_Rs
month,Old priority,New priority
1,,75573.94
2,,76645.88
3,,59158.52
4,10357.62,47735.38
5,23667.81,35861.63

Ted gmv,Old_1_vs_New_Rs
month,Old priority,New priority
1,,0.337201662
2,,0.352076282
3,,0.325228995
4,0.351804243,0.349721555
5,0.339412929,0.347239686

Bad rating rate,Old_1_vs_New_Rs
month,Old priority,New priority
1,,0.03501945525
2,,0.03717535223
3,,0.04403292181
4,0.02657004831,0.02751788663
5,0.02948920484,0.03049874417

B cancel rate,Old_1_vs_New_Rs
month,Old priority,New priority
1,,0.07198838897
2,,0.07257091129
3,,0.07697920467
4,0.06451612903,0.06091245376
5,0.07351598174,0.0625794155

B p1p2,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.0,0.005410307424
2,0.0,0.004795492293
3,0.0,0.004102388725
4,0.00365619384,0.005582763319
5,0.00493458827,0.006795693337

Daily online hours,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.0,1574.969928
2,0.0,1616.655335
3,0.0,1364.508575
4,206.3813704,890.1975
5,491.0921057,634.052052

Daily orders,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.0,198.9677419
2,0.0,203.137931
3,0.0,156.7741935
4,27.6,121.1333333
5,61.25806452,89.90322581

Exposure uv,Old_1_vs_New_Rs
month,Old priority,New priority
1,152045,1325433
2,139897,1437183
3,141034,1391872
4,258192,741210
5,457181,477214

Healthy stores,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.0,170.0645161
2,0.0,167.5172414
3,0.0,137.0322581
4,22.3,97.9
5,52.90322581,69.0

Imperfect orders,Old_1_vs_New_Rs
month,Old priority,New priority
1,,215.0
2,,200.0
3,,195.0
4,17.0,102.0
5,58.0,85.0

Orders per eff online,Old_1_vs_New_Rs
month,Old priority,New priority
1,,0.826034552
2,,0.8517929439
3,,0.8014511873
4,0.8752642706,0.9404761905
5,0.9368524914,1.060502283

Ted gmv,Old_1_vs_New_Rs
month,Old priority,New priority
1,,0.337201662
2,,0.352076282
3,,0.325228995
4,0.351804243,0.349721555
5,0.339412929,0.347239686

Bad rating rate,Old_1_vs_New_Rs
month,Old priority,New priority
1,,0.03501945525
2,,0.03717535223
3,,0.04403292181
4,0.02657004831,0.02751788663
5,0.02948920484,0.03049874417

B cancel rate,Old_1_vs_New_Rs
month,Old priority,New priority
1,,0.07198838897
2,,0.07257091129
3,,0.07697920467
4,0.06451612903,0.06091245376
5,0.07351598174,0.0625794155

B p1p2,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.0,0.005410307424
2,0.0,0.004795492293
3,0.0,0.004102388725
4,0.00365619384,0.005582763319
5,0.00493458827,0.006795693337

Daily orders,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.0,198.9677419
2,0.0,203.137931
3,0.0,156.7741935
4,27.6,121.1333333
5,61.25806452,89.90322581

Exposure uv,Old_1_vs_New_Rs
month,Old priority,New priority
1,152045,1325433
2,139897,1437183
3,141034,1391872
4,258192,741210
5,457181,477214

Healthy stores,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.0,170.0645161
2,0.0,167.5172414
3,0.0,137.0322581
4,22.3,97.9
5,52.90322581,69.0

Imperfect orders,Old_1_vs_New_Rs
month,Old priority,New priority
1,,215.0
2,,200.0
3,,195.0
4,17.0,102.0
5,58.0,85.0

Orders per eff online,Old_1_vs_New_Rs
month,Old priority,New priority
1,,0.826034552
2,,0.8517929439
3,,0.8014511873
4,0.8752642706,0.9404761905
5,0.9368524914,1.060502283

Ted gmv,Old_1_vs_New_Rs
month,Old priority,New priority
1,,0.337201662
2,,0.352076282
3,,0.325228995
4,0.351804243,0.349721555
5,0.339412929,0.347239686

Bad rating rate,Old_1_vs_New_Rs
month,Old priority,New priority
1,,0.03501945525
2,,0.03717535223
3,,0.04403292181
4,0.02657004831,0.02751788663
5,0.02948920484,0.03049874417

B cancel rate,Old_1_vs_New_Rs
month,Old priority,New priority
1,,0.07198838897
2,,0.07257091129
3,,0.07697920467
4,0.06451612903,0.06091245376
5,0.07351598174,0.0625794155

B p1p2,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.0,0.005410307424
2,0.0,0.004795492293
3,0.0,0.004102388725
4,0.00365619384,0.005582763319
5,0.00493458827,0.006795693337

Daily orders,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.0,198.9677419
2,0.0,203.137931
3,0.0,156.7741935
4,27.6,121.1333333
5,61.25806452,89.90322581

Exposure uv,Old_1_vs_New_Rs
month,Old priority,New priority
1,152045,1325433
2,139897,1437183
3,141034,1391872
4,258192,741210
5,457181,477214

Healthy stores,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.0,170.0645161
2,0.0,167.5172414
3,0.0,137.0322581
4,22.3,97.9
5,52.90322581,69.0

Imperfect orders,Old_1_vs_New_Rs
month,Old priority,New priority
1,,215.0
2,,200.0
3,,195.0
4,17.0,102.0
5,58.0,85.0

Orders per eff online,Old_1_vs_New_Rs
month,Old priority,New priority
1,,0.826034552
2,,0.8517929439
3,,0.8014511873
4,0.8752642706,0.9404761905
5,0.9368524914,1.060502283

Ted gmv,Old_1_vs_New_Rs
month,Old priority,New priority
1,,0.337201662
2,,0.352076282
3,,0.325228995
4,0.351804243,0.349721555
5,0.339412929,0.347239686




