B2c gmv,Old_2_vs_New_1
month,Old priority,New priority
1,0.08574115,0.08540854
2,0.06616652,0.06531817
3,0.07291734,0.07332453
4,0.07255999,0.06954809
5,0.07828684,0.07338132

B2c per order,Old_2_vs_New_1
month,Old priority,New priority
1,3.719896777,3.771275679
2,2.690946651,2.735286739
3,3.048491106,3.138202358
4,2.995468328,2.898076692
5,3.209126452,3.026246463

B2c total burn,Old_2_vs_New_1
month,Old priority,New priority
1,126491.37,143557.38
2,67085.3,81990.22
3,86208.28,107781.56
4,88713.79,96511.75
5,108263.09,113357.14

Bad rating rate,Old_2_vs_New_1
month,Old priority,New priority
1,0.02208563698,0.02256606946
2,0.02085840353,0.02215179316
3,0.02220729163,0.02358421895
4,0.02032685035,0.02192060537
5,0.02039364477,0.02170430883

B cancel rate,Old_2_vs_New_1
month,Old priority,New priority
1,0.007609222263,0.008951731855
2,0.008611994724,0.01004216422
3,0.007927287638,0.009246248103
4,0.008793276875,0.01067595177
5,0.009383567451,0.01158536585

B p1p2,Old_2_vs_New_1
month,Old priority,New priority
1,0.01512745874,0.01446793372
2,0.01718918531,0.01572399001
3,0.019085414,0.01707313637
4,0.02122774913,0.01891864221
5,0.02015008812,0.01850796235

Daily online hours,Old_2_vs_New_1
month,Old priority,New priority
1,661.9218638,880.7716935
2,670.8327395,938.0806322
3,670.2187366,975.3505108
4,679.6613426,996.7485556
5,672.9741935,976.2226882

Daily orders,Old_2_vs_New_1
month,Old priority,New priority
1,1096.903226,1227.935484
2,859.6551724,1033.62069
3,912.2258065,1107.903226
4,987.2,1110.066667
5,1088.258065,1208.322581

Exposure uv,Old_2_vs_New_1
month,Old priority,New priority
1,2392735,2794041
2,1534395,2023405
3,1561559,2129720
4,1472695,1875346
5,1787883,2180575

Healthy stores,Old_2_vs_New_1
month,Old priority,New priority
1,62.38709677,84.93548387
2,64.06896552,92.72413793
3,62.4516129,93.90322581
4,64.26666667,96.16666667
5,65.19354839,95.22580645

Imperfect orders,Old_2_vs_New_1
month,Old priority,New priority
1,795.0,907.0
2,534.0,680.0
3,645.0,841.0
4,618.0,749.0
5,723.0,851.0

Orders per eff online,Old_2_vs_New_1
month,Old priority,New priority
1,15.9943556,13.1352657
2,12.40915879,10.29007896
3,12.97797155,10.49984714
4,13.89770061,10.23102919
5,15.29977324,11.21497006

R burn,Old_2_vs_New_1
month,Old priority,New priority
1,437236.79,490748.31
2,294596.79,363842.65
3,354282.6,434816.41
4,382807.85,425793.67
5,397323.84,437886.26

R burn gmv,Old_2_vs_New_1
month,Old priority,New priority
1,0.296377398,0.291967541
2,0.290562083,0.289858181
3,0.299661992,0.295808577
4,0.313102772,0.306834526
5,0.287311487,0.283464049

R burn per order,Old_2_vs_New_1
month,Old priority,New priority
1,12.85839284,12.89203778
2,11.81695909,12.1382035
3,12.52811627,12.6602536
4,12.92571076,12.78582878
5,11.77744368,11.6900598

Ted,Old_2_vs_New_1
month,Old priority,New priority
1,685620.64,776797.27
2,434483.96,537869.53
3,508162.64,629946.82
4,536649.91,599143.01
5,596005.53,656643.87

Ted gmv,Old_2_vs_New_1
month,Old priority,New priority
1,0.464742368,0.462150524
2,0.428533401,0.428498098
3,0.429817973,0.428557129
4,0.438931894,0.431753157
5,0.430981527,0.425075978

Bad rating rate,Old_2_vs_New_1
month,Old priority,New priority
1,0.02208563698,0.02256606946
2,0.02085840353,0.02215179316
3,0.02220729163,0.02358421895
4,0.02032685035,0.02192060537
5,0.02039364477,0.02170430883

B cancel rate,Old_2_vs_New_1
month,Old priority,New priority
1,0.007609222263,0.008951731855
2,0.008611994724,0.01004216422
3,0.007927287638,0.009246248103
4,0.008793276875,0.01067595177
5,0.009383567451,0.01158536585

B p1p2,Old_2_vs_New_1
month,Old priority,New priority
1,0.01512745874,0.01446793372
2,0.01718918531,0.01572399001
3,0.019085414,0.01707313637
4,0.02122774913,0.01891864221
5,0.02015008812,0.01850796235

Daily online hours,Old_2_vs_New_1
month,Old priority,New priority
1,661.9218638,880.7716935
2,670.8327395,938.0806322
3,670.2187366,975.3505108
4,679.6613426,996.7485556
5,672.9741935,976.2226882

Daily orders,Old_2_vs_New_1
month,Old priority,New priority
1,1096.903226,1227.935484
2,859.6551724,1033.62069
3,912.2258065,1107.903226
4,987.2,1110.066667
5,1088.258065,1208.322581

Exposure uv,Old_2_vs_New_1
month,Old priority,New priority
1,2392735,2794041
2,1534395,2023405
3,1561559,2129720
4,1472695,1875346
5,1787883,2180575

Healthy stores,Old_2_vs_New_1
month,Old priority,New priority
1,62.38709677,84.93548387
2,64.06896552,92.72413793
3,62.4516129,93.90322581
4,64.26666667,96.16666667
5,65.19354839,95.22580645

Imperfect orders,Old_2_vs_New_1
month,Old priority,New priority
1,795.0,907.0
2,534.0,680.0
3,645.0,841.0
4,618.0,749.0
5,723.0,851.0

Orders per eff online,Old_2_vs_New_1
month,Old priority,New priority
1,15.9943556,13.1352657
2,12.40915879,10.29007896
3,12.97797155,10.49984714
4,13.89770061,10.23102919
5,15.29977324,11.21497006

Ted gmv,Old_2_vs_New_1
month,Old priority,New priority
1,0.464742368,0.462150524
2,0.428533401,0.428498098
3,0.429817973,0.428557129
4,0.438931894,0.431753157
5,0.430981527,0.425075978

Bad rating rate,Old_2_vs_New_1
month,Old priority,New priority
1,0.02208563698,0.02256606946
2,0.02085840353,0.02215179316
3,0.02220729163,0.02358421895
4,0.02032685035,0.02192060537
5,0.02039364477,0.02170430883

B cancel rate,Old_2_vs_New_1
month,Old priority,New priority
1,0.007609222263,0.008951731855
2,0.008611994724,0.01004216422
3,0.007927287638,0.009246248103
4,0.008793276875,0.01067595177
5,0.009383567451,0.01158536585

B p1p2,Old_2_vs_New_1
