B2c gmv,priority_5
month,Old priority,New priority
1,0.04858327,0.03782258
2,0.07397127,0.04837031
3,0.06797173,0.05794796
4,0.02042522,0.01161416
5,0.0370443,0.01920023

B2c per order,priority_5
month,Old priority,New priority
1,1.995282441,1.539109707
2,2.945579448,1.921614094
3,2.777483087,2.374034694
4,0.7803296976,0.4410234103
5,1.473682528,0.7423826166

B2c total burn,priority_5
month,Old priority,New priority
1,28646.27,16077.54
2,41506.16,17179.23
3,36129.5,20117.57
4,6295.7,2788.15
5,12449.67,4885.62

Bad rating rate,priority_5
month,Old priority,New priority
1,0.03315455875,0.03331418725
2,0.03378042722,0.0322147651
3,0.03513222632,0.03139013453
4,0.02925136341,0.02831382474
5,0.03267045455,0.03160613888

B cancel rate,priority_5
month,Old priority,New priority
1,0.0653455412,0.05859341041
2,0.06742356971,0.0702471104
3,0.06299212598,0.06375803562
4,0.05901893478,0.05621301775
5,0.06139068699,0.06605650617

B p1p2,priority_5
month,Old priority,New priority
1,0.002322894915,0.002181060043
2,0.00202561438,0.001718838645
3,0.001799503165,0.001546862277
4,0.001642543112,0.00157664746
5,0.002139513442,0.002020910957

Daily online hours,priority_5
month,Old priority,New priority
1,8111.582151,5725.464444
2,8191.498132,5857.312682
3,7785.554839,5778.636828
4,7136.166731,5562.524509
5,6439.118647,5146.039919

Daily orders,priority_5
month,Old priority,New priority
1,463.1290323,336.9677419
2,485.8965517,308.2758621
3,419.6129032,273.3548387
4,268.9333333,210.7333333
5,272.516129,212.2903226

Exposure uv,priority_5
month,Old priority,New priority
1,7507012,5864121
2,8494213,6465412
3,8750193,6758197
4,6024195,4956720
5,4893636,4112007

Healthy stores,priority_5
month,Old priority,New priority
1,794.516129,559.8387097
2,805.2758621,578.0344828
3,767.0645161,570.4516129
4,704.6333333,549.4666667
5,640.3548387,518.0645161

Imperfect orders,priority_5
month,Old priority,New priority
1,428.0,301.0
2,459.0,285.0
3,420.0,244.0
4,226.0,181.0
5,221.0,185.0

Orders per eff online,priority_5
month,Old priority,New priority
1,0.4189867507,0.4253257329
2,0.4344648969,0.3801020408
3,0.3971908397,0.3457646483
4,0.2777184951,0.2762146103
5,0.3140403702,0.3013416365

R burn,priority_5
month,Old priority,New priority
1,81152.79,62015.94
2,62791.98,41940.39
3,59650.64,36795.66
4,33504.97,28497.36
5,41060.65,30781.97

R burn gmv,priority_5
month,Old priority,New priority
1,0.137632842,0.145893138
2,0.111906338,0.118088514
3,0.112222895,0.105988614
4,0.108700598,0.118707033
5,0.122176971,0.120971519

R burn per order,priority_5
month,Old priority,New priority
1,5.652489378,5.936812177
2,4.456176283,4.691318792
3,4.585688807,4.342183148
4,4.152822261,4.507649478
5,4.860398911,4.677400091

Ted,priority_5
month,Old priority,New priority
1,177092.3,129068.48
2,164005.32,96990.48
3,142002.44,86956.94
4,66426.45,51887.04
5,85501.33,60934.58

Ted gmv,priority_5
month,Old priority,New priority
1,0.300343545,0.30363493
2,0.292286288,0.27308906
3,0.267154299,0.250476429
4,0.215508171,0.216137796
5,0.254411304,0.239469687

Bad rating rate,priority_5
month,Old priority,New priority
1,0.03315455875,0.03331418725
2,0.03378042722,0.0322147651
3,0.03513222632,0.03139013453
4,0.02925136341,0.02831382474
5,0.03267045455,0.03160613888

B cancel rate,priority_5
month,Old priority,New priority
1,0.0653455412,0.05859341041
2,0.06742356971,0.0702471104
3,0.06299212598,0.06375803562
4,0.05901893478,0.05621301775
5,0.06139068699,0.06605650617

B p1p2,priority_5
month,Old priority,New priority
1,0.002322894915,0.002181060043
2,0.00202561438,0.001718838645
3,0.001799503165,0.001546862277
4,0.001642543112,0.00157664746
5,0.002139513442,0.002020910957

Daily online hours,priority_5
month,Old priority,New priority
1,8111.582151,5725.464444
2,8191.498132,5857.312682
3,7785.554839,5778.636828
4,7136.166731,5562.524509
5,6439.118647,5146.039919

Daily orders,priority_5
month,Old priority,New priority
1,463.1290323,336.9677419
2,485.8965517,308.2758621
3,419.6129032,273.3548387
4,268.9333333,210.7333333
5,272.516129,212.2903226

Exposure uv,priority_5
month,Old priority,New priority
1,7507012,5864121
2,8494213,6465412
3,8750193,6758197
4,6024195,4956720
5,4893636,4112007

Healthy stores,priority_5
month,Old priority,New priority
1,794.516129,559.8387097
2,805.2758621,578.0344828
3,767.0645161,570.4516129
4,704.6333333,549.4666667
5,640.3548387,518.0645161

Imperfect orders,priority_5
month,Old priority,New priority
1,428.0,301.0
2,459.0,285.0
3,420.0,244.0
4,226.0,181.0
5,221.0,185.0

Orders per eff online,priority_5
month,Old priority,New priority
