Active rs,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,113.25806451612904,29.61290322580645,528.6129032258065,446.8387096774193,590.4,502.96
2,154.0,16.82758620689655,519.4137931034483,451.2068965517241,541.3793103448276,605.2413793103449
3,205.8709677419355,322.1935483870968,574.9354838709677,107.48387096774194,592.2258064516129,544.8709677419355
4,199.06666666666663,330.2,737.3333333333334,84.5,533.9666666666667,460.53333333333336
5,189.51612903225808,349.7741935483871,699.4193548387096,89.3225806451613,588.7741935483871,502.9354838709677
6,187.16666666666663,418.6,822.6333333333333,147.93333333333334,483.4333333333333,468.4
7,168.93548387096774,497.1935483870968,843.4193548387096,118.38709677419357,452.2258064516129,432.0967741935484
8,176.6451612903226,530.7741935483871,885.3870967741935,113.38709677419357,472.1612903225807,353.48387096774195
9,199.8333333333333,538.9333333333333,966.1666666666666,121.13333333333334,435.5,359.1
