Aop,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,41605.43785077583,59512.43107330498,46791.79578341372,44209.35654850657,42714.57939555852,49511.59643120101
2,41629.62996469549,39829.78250303767,45903.52408087052,42766.436323571805,44952.034951501046,44008.813404492175
3,42800.7785500482,46977.18055484856,44768.98291582485,50184.27239413681,45159.27785992952,45459.25243075279
4,40096.65467409304,46803.33826095883,44394.27740290512,51556.33805062786,44089.53337439208,44410.54290733421
5,39308.84307198245,46633.60225051463,43079.21812340096,52159.591720779215,45537.54343595062,44261.278618886834
6,41822.21047017314,47053.42078234353,44652.43974184259,52370.00791795849,43499.48090451237,45824.707844499855
7,39159.94123887274,46285.846752755584,43954.21372538556,54469.62597415914,42895.26983952275,44740.4977800869
8,40330.64813271996,46001.17327136388,43462.4454894977,50106.26606696652,43433.16104353458,45022.65110878904
9,41255.364339059,45957.833894446856,44290.25646389376,49503.11289520105,45268.23892192377,44038.92897815509
