Asp,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,25891.72045229449,41507.01576182137,26521.688034852963,31275.13683805493,29087.23507680748,38734.43219715016
2,25150.20807590468,25389.161603888213,26565.32555166165,29456.36031138021,30780.03684077137,31441.15431209482
3,25976.447516615088,26569.62373122932,29526.02545877081,33732.34843241042,30072.32281965769,31974.58388185372
4,25151.35817150885,26389.64663278924,28249.40157446516,34414.141319513656,29963.304032960263,32617.16552481335
5,25527.18340252213,26634.33118545555,28510.175454105007,33676.36542207792,29498.74885993948,33187.32055331663
6,25846.831541806845,27027.063110583847,28087.41091769304,31036.49110422132,29902.65263136431,35398.38298655112
7,24897.098980674324,26406.34674002771,28082.17410213992,24427.1198728466,29196.29588130407,34693.947005478934
8,24218.747962473284,25606.91101062807,26921.33110235756,25255.100049975008,28042.933008156408,34111.864913502846
9,24356.30657206871,25739.91523824823,27300.119189449164,25294.254964041796,27963.799763060168,32264.175121648204
