B2c gmv,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,0.0899243795002805,0.0141990673296635,0.0395685230508588,0.0285861448708836,0.0167430494700568,0.0123044997772647
2,0.0934014146085216,0.0361736288220347,0.0383890239077967,0.0320563205993892,0.0351126247854445,0.0390857417945403
3,0.0765046877841127,0.0380323969253752,0.0343374939924981,0.0557030663367976,0.0406376983249442,0.0338257617508183
4,0.0817798298416682,0.0460549216942229,0.0390704341406986,0.0736243576599025,0.0204240574381931,0.0082535496330005
5,0.0686639106323964,0.0428823903634594,0.0355328739972977,0.0905619502532943,0.0436418113867304,0.0111759738125044
6,0.0649019386257823,0.0405173545977602,0.0596302200203921,0.1163208734879062,0.0107788152161463,0.0016214398434337
7,0.066013966255944,0.0499667133213712,0.0526094292731889,0.2321963300766178,0.0120760385218721,9.98811481689e-05
8,0.0912571478512809,0.0538171837900865,0.0558136972059631,0.1748100237505818,0.0175461990031194,0.0003647183086195
9,0.0936131394457434,0.0452245203101022,0.0487023581011515,0.1588020526092562,0.0366768181587635,0.0002547981441609
