B2c per order,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,3741.343182568504,845.0210157618213,1851.4822500470875,1263.7750709441584,715.1723159125063,609.215427259734
2,3888.2663283318634,1440.787768327258,1762.1914833926617,1370.9345936817826,1578.3839365942447,1720.1171174120882
3,3274.4601998883877,1786.654777297022,1537.2546819223885,2795.417854234528,1835.169110244148,1537.6938420929532
4,3279.0975964674594,2155.5240786366903,1734.5036914941109,3795.802272274267,900.4871620617155,366.5446201141853
5,2699.0988877575,1999.760335760868,1530.7284294809135,4723.674350649351,1987.340881646801,494.66289075264126
6,2714.3425371297285,1906.4801348758328,2662.634806253375,6091.7250655855,468.872866668026,74.30200711278258
7,2585.1030395276966,2312.751635531861,2312.4060982443034,12647.647251845776,518.0049309881788,4.468732287927451
8,3680.459919585612,2475.6535965046046,2425.799772381503,8759.07756121939,762.0868870043919,16.42058516196447
9,3862.044174757282,2078.4209923677167,2157.039930696397,7861.195938305667,1660.2949673068597,11.221037374469406
