B2c total burn,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,45330114.0,3377549.0,452180104.0,52550295.0,34265336.0,14066175.0
2,52864869.0,3557305.0,383160343.0,66569842.0,68506598.0,52535817.0
3,64542885.0,350988331.0,146849328.0,27462185.0,116658030.0,46021639.0
4,65349136.0,419939201.0,202041928.0,19043540.0,42401239.0,8346221.0
5,68918791.0,462416581.0,180088669.0,29097834.0,139890912.0,13624500.0
6,66159385.0,478896371.0,414210121.0,127713016.0,22994932.0,1817650.0
7,56047619.0,635976634.0,346657423.0,246679712.0,23531410.0,94612.0
8,101606457.0,746790810.0,411371977.0,175269142.0,37653951.0,282861.0
9,103425543.0,608089865.0,372249009.0,173803181.0,72875327.0,216768.0
