B cancel rate,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,0.0422535211267605,0.0198090692124105,0.0101940293802408,0.0425612387923554,0.0378664810087414,0.0818735575649805
2,0.0416159155501421,0.0164750957854406,0.0084473084730138,0.03306437636003,0.0346995006027208,0.0791333565056192
3,0.0472739024052444,0.0062163485070974,0.0249613821738146,0.0321140142517814,0.0287700016162922,0.0842832570478994
4,0.0349381017881705,0.0058558182683859,0.0221968533689211,0.040634110787172,0.0330953545232273,0.0786076093993982
5,0.0291110788863109,0.0051239497977388,0.020854013897339,0.0418722895169732,0.0256219631999575,0.0757551644014387
6,0.0310910118711136,0.0059548074688448,0.0197496724488748,0.0183212996389891,0.0299591637027418,0.082228862717525
7,0.0337536619538912,0.0061291134637707,0.0192833810363237,0.0246853823814133,0.0320806599450045,0.0839106374257019
8,0.026211921870256,0.0058545840147179,0.0169106951301017,0.0192371950928445,0.0305527335666177,0.0820497178587768
9,0.027500172306844,0.0063605958459001,0.0165060990035818,0.0152352179542511,0.0288331358943983,0.0681921572195432
