B p1,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,0.0767414586433788,0.0921867058810408,0.1143531056676925,0.0771301706628008,0.0811904767813726,0.0451643277603044
2,0.0666840108609987,0.0758771493380077,0.0752216255866016,0.0685642685953201,0.059348235713392,0.0424915262287144
3,0.0626010983651238,0.078013612177888,0.0726057707207772,0.0571960192463427,0.0609948181169502,0.0377135115393023
4,0.0674937605974585,0.0825488286738091,0.0744438110627336,0.0597156797490737,0.063100909780243,0.0372928611340115
5,0.0699485794015274,0.0794048333643003,0.0740352446803448,0.0619590019064913,0.0654278919189965,0.038545053156561
6,0.0675737401440342,0.0782175518868675,0.0750733937396847,0.0666629110936645,0.0632182469504532,0.0354524695381191
7,0.0656213776305595,0.0760394828566146,0.0744574694140861,0.0672314611531131,0.0598563694709226,0.0316795707920595
8,0.0728125272182362,0.0802538222476113,0.0764116969742481,0.069151379266127,0.0628747776283247,0.0348958512915049
9,0.0701066602806194,0.0797652527169632,0.0750202597288044,0.069347999754194,0.0598554412508018,0.0355074348064553
