B p1p2,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,0.0058875528966545,0.0068986283997253,0.0127662989631756,0.0054799897725516,0.0066331675632339,0.0025058888729614
2,0.0061945271840134,0.0069477933165443,0.012061717941365,0.0086274275817774,0.0053043601341113,0.0026530681642218
3,0.0053206452509197,0.0129479312210752,0.0093377098449621,0.0053588150585141,0.0057277125703398,0.0021039567527587
4,0.0059557875618383,0.0133699704317598,0.0090072671414891,0.0041392549341118,0.0054880525218059,0.0020212498130489
5,0.007001691803855,0.0127797349407203,0.0088432195654659,0.0046323935586046,0.0062763466630787,0.0022339842747611
6,0.0069377430210737,0.0128173464898213,0.0098235963284181,0.0068619683852287,0.0058709218446781,0.001955867425865
7,0.0070974523935517,0.0138433710241305,0.0104065920676578,0.0092195892601868,0.0059304291883691,0.001640203271351
8,0.0075365552284851,0.0140679734333431,0.0101746017944336,0.0085211795746598,0.0061670716362216,0.0017706523316689
9,0.0066166139036313,0.0139280994365486,0.0096334525538488,0.0087941463072047,0.005993311043243,0.0020000010085309
