Daily online hours,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,1833.3023118279607,436.2712634408607,4665.60217741936,5923.435528673848,6180.910211111124,11002.268311111158
2,2496.2318678161,269.1661781609195,4620.696561302676,4266.278342911884,6406.55637931033,14757.73469348658
3,3056.9496953404923,2933.9222043010664,5194.976191756285,1768.644999999999,6435.714632616447,12940.1578405018
4,2873.053768518512,2959.264314814829,6881.344074074023,1497.380833333336,6354.02112962966,12500.19933333342
5,2648.697482078844,3173.2550000000074,6445.116756272423,1409.7954480286794,6575.950591397834,12823.10146953407
6,2411.5254351851763,3882.948712962962,7336.2374074073905,1927.347370370368,5420.96056481482,11814.179083333356
7,2096.792616487453,4515.479005376333,7695.623458781359,1368.0249014336932,5259.65938172043,11314.288154121858
8,2205.083315412181,4829.20120071683,8247.279731182787,1334.725976702512,5716.71273297489,10075.6531362007
9,2452.019962962954,4910.122148148138,9077.939083333356,1383.8402870370371,5391.091268518521,9514.370611111126
