Daily orders,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,390.8387096774193,128.93548387096774,7878.258064516129,1341.354838709677,1916.48,923.56
2,468.82758620689657,85.13793103448276,7497.724137931034,1674.4137931034484,1496.655172413793,1053.1724137931035
3,635.8387096774194,6337.096774193548,3081.516129032258,316.9032258064516,2050.5806451612902,965.451612903226
4,664.3,6494.0,3882.8,167.23333333333332,1569.5666666666666,759.0
5,823.6774193548387,7459.225806451613,3795.129032258064,198.70967741935485,2270.6774193548385,888.483870967742
6,812.4666666666667,8373.133333333333,5185.466666666666,698.8333333333334,1634.7666666666669,815.4333333333333
7,699.3870967741935,8870.548387096775,4835.870967741936,629.1612903225806,1465.3870967741937,682.9677419354839
8,890.5483870967741,9730.774193548386,5470.387096774193,645.483870967742,1593.8387096774193,555.6774193548387
9,892.6666666666666,9752.433333333332,5752.466666666666,736.9666666666667,1463.1,643.9333333333333
