Exposure per eff online,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,289.781195516812,344.67929708951124,1248.8559138491155,362.09158498089386,444.8151711086579,302.94704073987964
2,251.13399879007864,396.28210313447926,1270.8847758081336,381.9733906091522,439.8867784675252,238.162943627328
3,332.5251666283613,1631.75669220818,542.4649863888106,305.39324072748104,540.4703508622887,316.93635815388984
4,336.49670912043763,1594.258336681398,550.5847000759302,242.0905947441217,430.9836037205278,276.28355557253656
5,375.988923188669,1797.9730324711063,561.8143134197817,272.0931810067833,525.7671278133388,284.14904789592265
6,422.7689985425776,1650.1921193751457,612.340860140346,469.8899159663866,487.47834417385167,332.24346174057155
7,400.787341192629,1341.3670957613815,510.32424936304704,439.5877192982456,445.9468117255968,340.1310049019608
8,453.2413679349021,1355.5869514060478,556.0813186813186,497.4811521360912,423.4634818557648,284.87813235260523
9,459.8606549118388,1351.266714464958,562.2854682701415,527.1623602005399,414.1853738948,299.0999220733516
