Imperfect order rate,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,0.0406074612083195,0.0322742056542406,0.0290632446995815,0.0279207349333846,0.0288654199365503,0.0304907098618389
2,0.03912915563401,0.0368570271364925,0.0264999954009032,0.0256806293504674,0.0283851346681105,0.0296313273524982
3,0.0423113997260412,0.0276864342071774,0.0278978718058768,0.0276872964169381,0.0297162094135414,0.0337799458718968
4,0.0344723769381303,0.0270044143311774,0.0270595103190137,0.0314929240582021,0.0296260114256588,0.0304787000439174
5,0.0292551108326153,0.0261464477849469,0.0256695764519885,0.0272727272727272,0.0304584392891136,0.0282467414588098
6,0.0407401329285304,0.025808737469844,0.0258028849862436,0.0261865013117099,0.030177599249638,0.0272247884560356
7,0.0350076103500761,0.0234629273383832,0.0250813810768984,0.0236874487284659,0.0293437823320932,0.0256470810504439
8,0.0381425000905567,0.0224628216433397,0.0256807915934474,0.0203398300849575,0.0269384120301969,0.0242075931731104
9,0.0339058999253174,0.0226473392965174,0.0242272880039866,0.0201275498665701,0.0298225229535461,0.0284190910032094
