Imperfect orders,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,492.0,129.0,7098.0,1161.0,1383.0,704.0
2,532.0,91.0,5762.0,1247.0,1232.0,905.0
3,834.0,5439.0,2665.0,272.0,1889.0,1011.0
4,687.0,5261.0,3152.0,158.0,1395.0,694.0
5,747.0,6046.0,3020.0,168.0,2144.0,778.0
6,993.0,6483.0,4014.0,549.0,1480.0,666.0
7,759.0,6452.0,3760.0,462.0,1333.0,543.0
8,1053.0,6776.0,4355.0,407.0,1331.0,417.0
9,908.0,6626.0,4181.0,445.0,1309.0,549.0
