Orders per eff online,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,1.5088418430884185,2.1949478308621635,14.69293707135122,1.7271141385612228,2.5186353361720024,0.5964762716680875
2,1.3708408953418028,2.4964610717896867,14.170620437956204,2.8970825129765525,2.010701380524414,0.5110519886886535
3,1.5100743124186011,19.549208876505126,4.483572702525111,1.4068451954747243,2.7001953954634272,0.530863102628685
4,1.7034789298230617,19.568099638409,4.422323462414578,0.8673928077455049,2.037075492104694,0.4349902571352156
5,2.318322135463955,21.21042010640249,4.473856333422064,1.0996072831131738,2.9069172000825936,0.5004542481284977
6,2.537372475536124,19.52234398072589,5.4041547974709925,2.9362745098039214,2.472797862148944,0.4944217632078904
7,2.481515394300103,17.2676295133438,4.834779243396652,3.640164240388205,2.28805278533293,0.4324346405228758
8,3.035737849131295,17.746440757736206,5.176495726495727,3.8681616083510537,2.2695911805236566,0.393494300660164
9,2.69823677581864,17.480611818127503,4.9531873367584165,4.263208638642499,2.192567061291773,0.4856087076745179
