P2c burn per order,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,5639.438428524266,4957.641981486115,5267.270720562103,4767.664566398922,5438.025776423442,5212.162934730824
2,5273.296263606943,5625.489671931956,5118.602173533119,4857.444746488735,4873.512959933645,4925.839434221728
3,4843.527471969966,4988.539124459149,4787.013085305724,4590.434751628664,4781.19264409766,4948.516789735708
4,4703.241708063626,4718.438897443793,4616.655978503485,4395.0047837353,4604.012593709517,4741.254194115064
5,4091.282290279627,4228.612032728468,4027.846475533154,4111.628733766233,4145.416828855961,4403.408343317721
6,4343.686428161155,4362.892847759104,4217.038607904143,4136.735368471262,4222.608445649736,4475.036667620488
7,3940.692910843596,3891.5520370053855,3754.389855381824,3551.3190627563577,3845.198758447619,3920.262610995655
8,4085.938457637556,4336.336822982623,4161.697857083889,4110.084057971015,4426.521443461717,4577.089341692789
9,4407.684876773712,4273.236607615877,4220.243594052407,4127.94436654756,4340.371152575582,4354.7327880733
