P2c gmv,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,0.1355457055577917,0.0833043095715497,0.1125682533096793,0.1078428852762838,0.127310764927932,0.1052715587947846
2,0.1266717063802638,0.1412382724285004,0.1115078259463352,0.1135807695019804,0.1084158473624542,0.1119284764382882
3,0.1131644712094731,0.106190688022129,0.1069270010959668,0.0914715812869886,0.1058739836125696,0.1088560969469018
4,0.117297608648196,0.1008141528524194,0.1039921415232084,0.0852466437670465,0.1044241624109272,0.1067596539859472
5,0.1040804554534372,0.0906773620020272,0.0934985974906818,0.078827855014215,0.0910329481142645,0.0994866953852239
6,0.1038607567445292,0.0927221182906269,0.094441392951536,0.0789905431168115,0.0970726169105091,0.0976555416961072
7,0.1006307156286486,0.0840765009181495,0.0854159257366829,0.0651981540031343,0.08964155658265,0.0876222394812174
8,0.1013110040828395,0.0942657874702954,0.0957538815456098,0.0820273466890933,0.1019157099577638,0.1016619241419854
9,0.1068390728669601,0.0929816800641732,0.0952860500478887,0.0833875715106338,0.0958811576492211,0.0988837124134741
