R burn,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,76729850.0,48774401.0,3211902772.0,287031401.0,358101294.0,114424140.0
2,99493615.0,18207254.0,2708663371.0,343873027.0,335075553.0,180860639.0
3,171610734.0,2678077696.0,851975670.0,89065085.0,538458674.0,209456847.0
4,138764774.0,2637809936.0,1140811233.0,44909122.0,405971381.0,152230624.0
5,178515305.0,3184327531.0,1060072522.0,59431207.0,697295841.0,170102451.0
6,217351488.0,3455672012.0,1506692629.0,232817507.0,436744931.0,143768713.0
7,167746901.0,3760501216.0,1469923689.0,270004400.0,424096036.0,129611161.0
8,230394268.0,4097146630.0,1687954237.0,239759908.0,504051828.0,108821401.0
9,231093423.0,4056893596.0,1831502623.0,270165737.0,496156510.0,143123199.0
