R burn gmv,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,0.1522141362891698,0.2050454349479493,0.2810611253055033,0.1561384424479197,0.1749788089261218,0.1000934372808321
2,0.1757848749330227,0.1851464656712053,0.2713823202405169,0.1655900580174792,0.1717408616213044,0.1345571962219523
3,0.2034155372055714,0.2901911685812327,0.1992158210651096,0.1806556302074115,0.18757149554524,0.1539501321041523
4,0.1736543174149624,0.289289806137254,0.2206076262838658,0.1736234576302618,0.1955504838857792,0.150540347643161
5,0.1778551070205946,0.2952999131954849,0.2091604294783459,0.1849693008705471,0.2175356006948726,0.1395324993811748
6,0.2132204362903081,0.2923694911101331,0.2169054023920701,0.212049927452318,0.204723062796515,0.1282492886404917
7,0.1975755341570029,0.2954509272184047,0.2230785819735079,0.2541515484846162,0.2176410197140457,0.1368294886081729
8,0.2069270438094661,0.2952592483049483,0.2290164910320095,0.2391318559197221,0.2348808942247288,0.140313289263373
9,0.2091686463980486,0.301717028005763,0.2396205079179792,0.246847458909814,0.2497064897637679,0.168232974846735
