R burn per order,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,6332.9357873885765,12202.752314235677,13151.354777951568,6902.780073108557,7474.146226415094,4955.785872060288
2,7317.859296852014,7374.34345889024,12457.404872283085,7081.696672021088,7720.101214201783,5921.702540763538
3,8706.343361574754,13632.362921863069,8918.689689825913,9066.071355863192,8470.593285930026,6998.4579170704
4,6962.957198053088,13539.728652089108,9793.71615844236,8951.389675104643,8621.729585660585,6685.578568291612
5,6991.2784914232,13770.89869656974,9010.467764281888,9647.923214285714,9906.036865508377,6175.886831499837
6,8917.349963075409,13756.98468912474,9685.35540999203,11105.05637968042,8905.346960830291,5876.986183215468
7,7737.04630782713,13675.196340190629,9805.243669619513,13843.539786710418,9335.770268782882,6121.819431324391
8,8345.501793023508,13582.271841248585,9953.616757674752,11982.0043978011,10201.61970491206,6317.276268431441
9,8629.3287154593,13866.26105621503,10612.853749695782,12219.717626306028,11303.77303898116,7408.800031059117
