Ted,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,190387400.0,71967645.0,4950487335.0,537830724.0,652913321.0,248833945.0
2,224054220.0,35653893.0,4204781859.0,646310671.0,615107234.0,383841444.0
3,331624389.0,4009064538.0,1456113997.0,161623701.0,959047558.0,403582645.0
4,297844814.0,3976995403.0,1880619716.0,86002401.0,665161761.0,268535203.0
5,351900898.0,4624551444.0,1714033301.0,113856674.0,1128986789.0,305010027.0
6,389383886.0,5030500889.0,2576922144.0,447257180.0,666829249.0,255059185.0
7,309232683.0,5466604070.0,2379409204.0,585949039.0,622303290.0,212705573.0
8,444801228.0,6152010788.0,2805075260.0,497271832.0,760415777.0,187949203.0
9,452556767.0,5915217115.0,2932055950.0,535233640.0,759543748.0,227464695.0
