Ted gmv,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,0.3776842213472421,0.3025488118491627,0.4331979016660416,0.2925674725950872,0.3190326233241107,0.2176694958528814
2,0.3958579959218083,0.3625583669217405,0.4212791700946489,0.3112271481188489,0.3152693337692032,0.2855714144547809
3,0.3930846961991574,0.434414253528737,0.3404803161535746,0.3278302778311978,0.3340831774827539,0.2966319908018725
4,0.3727317559048267,0.4361588806838965,0.3636702019477729,0.3324944590572109,0.3203987037348996,0.2655535512621088
5,0.3505994731064284,0.4288596655609715,0.3381919009663255,0.3543591061380565,0.3522103601958676,0.2501951685789033
6,0.3819831316606196,0.4256089639985203,0.3709770153639983,0.4073613440570357,0.3125744949231705,0.2275262701800327
7,0.3642202160415956,0.4294941414579256,0.3611039369833798,0.5515460325643684,0.3193586148185679,0.2245516092375594
8,0.3994951957435865,0.4433422195653303,0.3805840697835824,0.4959692263593973,0.3543428031856121,0.242339931713978
9,0.4096208587107522,0.4399232283800386,0.3836089160670195,0.4890370830297042,0.3822644655717526,0.2673714854043701
