Ted per order,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,15713.717398481343,18005.41531148361,20270.10774856076,12934.219710451636,13627.344318751044,10777.164234050846
2,16479.42188879082,14440.620899149451,19338.198529208865,13310.076012191605,14171.998110729672,12567.659092397354
3,16824.331033433107,20407.55682361924,15242.957457054026,16451.923961726385,15086.955040271834,13484.66854889906
4,14945.296502584171,20413.691628169592,16144.875828439956,17142.19673111421,14126.229341431816,11793.37738252086
5,13781.659669460329,19999.271065059074,14569.042669295955,18483.22629870129,16038.794576011136,11073.9580655702
6,15975.378928366292,20026.35767175968,16565.028824149547,21333.51681373718,13596.828273148052,10426.324857948735
7,14262.84225819842,19879.50001272788,15872.039623245637,30042.506101312552,13698.97395821868,10046.550774607971
8,16111.900170246676,20394.262260735806,16541.114387140144,24851.166016991505,15390.228035378168,10910.786195286197
9,16899.057766990292,20217.918656198624,16990.137274444587,24208.85793115925,17304.4391588636,11774.753856506884
