Total p2c burn,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,68327436.0,19815695.0,1286404459.0,198249028.0,260546691.0,120343630.0
2,71695736.0,13889334.0,1112958145.0,235867802.0,211525083.0,150444988.0
3,95470770.0,979998511.0,457288999.0,45096431.0,303930854.0,148104159.0
4,93730904.0,919246266.0,537766555.0,22049739.0,216789141.0,107958358.0
5,104466802.0,977807332.0,473872110.0,25327633.0,291800036.0,121283076.0
6,105873013.0,1095932506.0,656019394.0,86726657.0,207089386.0,109472822.0
7,85438163.0,1070126220.0,562828092.0,69264927.0,174675844.0,82999800.0
8,112800503.0,1308073348.0,705749046.0,82242782.0,218709998.0,78844941.0
9,118037801.0,1250233654.0,728304318.0,91264722.0,190511911.0,84124728.0
