Tri gmv,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,0.1712246756161731,0.1672022513596823,0.1400669746075778,0.1670287837265168,0.1639251927044773,0.1897141601240231
2,0.1693445854109943,0.1639434489821118,0.1422921717694216,0.165210763958227,0.1646498964997711,0.1772356552850813
3,0.1657647790641362,0.1387945561742181,0.1572422161619553,0.1618236501237179,0.1628506527436017,0.1724524639766151
4,0.1723312486909813,0.1383289126856025,0.1515004563981278,0.1656307150239086,0.1587938374854891,0.1712776538829872
5,0.1723351889509492,0.137701179000421,0.1557515857982202,0.1624613937335833,0.1552837896900563,0.1724541185999
6,0.1614110816369815,0.1374162425946401,0.1554422726563176,0.1554515754751499,0.1580809176952632,0.1749316055059599
7,0.163065656572307,0.139719627905544,0.1556834287258574,0.1514012438454146,0.1571360541533853,0.1749357819018254
8,0.158982021618894,0.1404070700241482,0.1544487646385379,0.1551831564408542,0.154096576300617,0.1731367830345618
9,0.1601253824590328,0.1374653884455207,0.1506050124794816,0.1509423811524279,0.150552655819497,0.1667981049482063
