Tri per order,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,7123.877599867943,9950.61245934451,6553.985271838379,7384.235053628974,7001.995658707631,9393.050933344884
2,7049.752427184466,6529.831915755367,6531.712133337012,7065.475616788171,7401.347902218739,7799.9308820640435
3,7094.86160012176,6520.176925426317,7039.574089001016,8121.00213762215,7354.217876919203,7839.560092218249
4,6909.906568317527,6474.254891694897,6725.75328800522,8539.313135339844,7001.146197464268,7606.533596837944
5,6774.296898253308,6421.502010932553,6709.656537667128,8473.919967532467,7071.24231790996,7633.039792324728
6,6750.568228440141,6465.904285134199,6940.876713121288,8141.000238492727,6876.437860652896,8016.189715079917
7,6385.641529449749,6467.041285588046,6842.942699717168,8246.769124282198,6740.393444427323,7826.713961836387
8,6411.847973340095,6458.889956705365,6712.721014022714,7775.648525737131,6692.901414722014,7795.076976663182
9,6606.030993278567,6317.6114884148565,6670.33462746416,7472.117734859107,6815.253593967147,7345.609897504917
